Articulo,Precio,URL Link
"ABRAZADERA MINI SIN FIN A INOX 10-16mm 3/8-5/8"" C/10 PZAS FIERO AB-04",$46.00,
"ABRAZADERA MINI SIN FIN A INOX 13-19mm 1/2-3/4"" C/10 PZAS FIERO AB-06",$46.00,
"ABRAZADERA SIN FIN A INOX 10-16mm 3/8-5/8"" C/10 PZAS FIERO AB-4",$76.00,
"ABRAZADERA SIN FIN A INOX 13-19mm 1/2-3/4"" C/10 PZAS FIERO AB-6",$76.00,
"ABRAZADERA SIN FIN A INOX 16-23mm 5/8-1"" C/10 PZAS FIERO AB-8",$84.00,
"ABRAZADERA SIN FIN A INOX 16-32mm 5/8-1 1/4"" C/10 PZAS FIERO AB-12",$84.00,
"ABRAZADERA SIN FIN A INOX 19-27mm 3/4-1 1/8"" C/10 PZAS FIERO AB-10",$84.00,
"ABRAZADERA SIN FIN A INOX 19-38mm 3/4-1 1/2"" C/10 PZAS FIERO AB-16",$97.00,
ACEITE LUBRICANTE P/MOTORES A 2 TIEMPOS LIQUIDO 16 Oz TRUPER ACT-2T-16,$109.00,
ACEITE LUBRICANTE P/MOTORES A 2 TIEMPOS LIQUIDO 4 Oz TRUPER ACT-2T-4,$35.00,
"ADAPTADOR RCA EXT ESPIGA GALVANIZADO 19mm 3/4""",$15.70,
"ADAPTADOR RCA EXT ESPIGA GALVANIZADO 25mm 1""",$24.17,
,$18.58,
APAGADOR DE PASO CAFÉ BAQUELITA ROYER 228,$89.00,
ARCO PRETUL APS-12 DE SOLERA,$38.23,
"BRIDA GALVANIZADA 19mm 3/4"" ARXFLUX",$32.00,
BROCHA 100mm 4 MANGO DE PLASTICO PRETUL BRP-4,$39.00,
BROCHA 125mm 5 MANGO DE PLASTICO PRETUL BRP-5,$6.00,
BROCHA 13mm 1/2 MANGO DE PLASTICO PRETUL BRP-1/2,$43.00,
BROCHA 150mm 6 MANGO DE PLASTICO PRETUL BRP-6,$8.50,
BROCHA 25mm 1 MANGO DE PLASTICO PRETUL BRP-1,$10.00,
BROCHA 38mm 1 1/2 MANGO DE PLASTICO PRETUL BRP-1 1/2,$13.50,
BROCHA 51mm 2 MANGO DE PLASTICO PRETUL BRP-2,$16.00,
BROCHA 63mm 2 1/2 MANGO DE PLASTICO PRETUL BRP-2 1/2,$20.00,
BROCHA 76mm 3 MANGO DE PLASTICO PRETUL BRP-3,$3.79,
,$655.52,
"CAJA CUADRADA GALVANIZADA STD. 4x4 S/TAPA KNOCK OUTS 1/2""",$78.00,
CALENTADOR DE DEPOSITO 40Lts LEÑA CORONA C/18,$73.13,
CAUTIN PRETUL CAU-30P TIPO LAPIZ 30W,$20.00,
CESPOL P/LAVABO FLEXIBLE CHICO 2218 FLEXIMATIC,$20.00,
CINTA ADHESIVA CANELA 48mm x 50mts TRUPER CCA-50,$24.00,
CINTA ADHESIVA TRANSPARENTE 48mm x 50mts TRUPER CTR-50,$32.00,
"CINTA MASKING TAPE 19mm 3/4"" x 50mts TRUPER MSK-3/4",$24.23,
"CINTA MASKING TAPE 25mm 1"" x 50mts TRUPER MSK-1",$9.01,
CLAVIJA MOVIL T/BISAGRA 502 MARFIL ROYER,$13.40,
CLAVIJA SENCILLA 2P REDONDA NEGRA PVC IUSA 416,$63.00,
