Estado,Latitud,Longitud
Aguascalientes,22.021666666667,-102.35638888889
Baja California,29.95,-115.11666666667
Baja California Sur,25.846111111111,-111.97277777778
Campeche,18.836388888889,-90.403333333333
Chiapas,16.41,-92.408611111111
Chihuahua,28.814166666667,-106.43944444444
Coahuila de Zaragoza,27.302222222222,-102.04472222222
Colima,19.096666666667,-103.96083333333
Durango,24.934722222222,-104.91194444444
Guanajuato,21.018888888889,-101.26277777778
Jalisco,20.566666666667,-103.67638888889
Michoacán,19.168611111111,-101.89972222222
Morelos,18.7475,-99.070277777778
Nayarit,21.743888888889,-105.22833333333
Nuevo León,25.566666666667,-99.970555555556
Oaxaca,16.898055555556,-96.414166666667
Puebla,19.003611111111,-97.888333333333
Quintana Roo,19.6,-87.916666666667
San Luis Potosí,22.603333333333,-100.42972222222
Sinaloa,25.002777777778,-107.50277777778
Sonora,29.646111111111,-110.86888888889
Tabasco,17.972222222222,-92.588888888889
Tamaulipas,24.287222222222,-98.563333333333
Tlaxcala,19.428888888889,-98.160833333333
Veracruz de Ignacio de la Llave,19.434722222222,-96.383055555556
Yucatán,20.833333333333,-89
Zacatecas,23.292777777778,-102.70055555556
Ciudad de México,19.419444444444,-99.145555555556
Estado de Guerrero,17.613055555556,-99.95
Estado de Hidalgo,20.478333333333,-98.863611111111
Estado de México,19.354166666667,-99.630833333333
Querétaro,20.591,-100.391
