business_status,formatted_address,name,place_id,rating,types,latitude,longitude,state,car_dealer,hospital,restaurant,shopping_mall,stadium,supermarket
OPERATIONAL,"Av LIC.Adolfo López M.Ote 1001, San Luís, 20250 Aguascalientes, Ags., Mexico",BBVA Aguascalientes Quijote,ChIJkySim3PuKYQR6VtatBtbYKY,3.2,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.877871,-102.2737974,Aguascalientes,20,20,20,20,20,20
OPERATIONAL,"Av, 5 de Mayo 112, 20000 Aguascalientes, Ags., Mexico",BBVA Bancomer AGS Office Center,ChIJQeb3zXzuKYQRL0tIOCJIxj4,3.8,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8815281,-102.2969801,Aguascalientes,20,20,20,20,20,18
OPERATIONAL,"Av Aguascalientes Sur 603, Cd Industrial, Desarrollo Especial Quinta Real, 20235 Aguascalientes, Ags., Mexico",BBVA Aguascalientes,ChIJkfpGScXtKYQR3SfdWyirAw0,3.4,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8586303,-102.2875215,Aguascalientes,20,20,20,20,20,18
OPERATIONAL,"Avenida Universidad 117, Bosques del Prado Sur, 20120 Aguascalientes, Ags., Mexico",BBVA Bosques,ChIJuSceueLuKYQRGVX2q-UOtJ8,3.0,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9147169,-102.3126106,Aguascalientes,20,20,20,20,20,20
OPERATIONAL,"Agropecuario, Av Aguascalientes Nte 1698, 20138 Aguascalientes, Ags., Mexico",BBVA Aguascalientes Pulgas Pandas,ChIJIxqo6FTuKYQR_nCSHsOk7Rc,3.4,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9152157,-102.2969577,Aguascalientes,20,20,20,20,20,20
OPERATIONAL,"Blvd. A Zacatecas 849, Trojes de Alonso, 20116 Aguascalientes, Ags., Mexico",BBVA Altaria,ChIJC8MlD67vKYQRiL7_n3QCGbc,2.9,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9245323,-102.2897871,Aguascalientes,20,20,20,20,20,20
OPERATIONAL,"Av. de la Convención Sur, Av. Las Americas 708, 20230 Aguascalientes, Ags., Mexico",BBVA Américas,ChIJ6_fgISvsKYQRA7iKgEHBePs,3.3,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8665245,-102.3025035,Aguascalientes,20,20,20,20,20,20
OPERATIONAL,"Av. José Ma. Chávez 1010, Lindavista, 20270 Aguascalientes, Ags., Mexico",BBVA Boulevard,ChIJ68qwbdbtKYQR5vvqYCuYGLU,3.2,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8686951,-102.2943638,Aguascalientes,20,20,20,20,20,20
OPERATIONAL,"Zona 1, Av. de la Convención de 1914 Nte., 20010 Aguascalientes, Ags., Mexico",BBVA Plaza San Marcos,ChIJiSzQZfLuKYQRvlek_hOR8IQ,2.3,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8954318,-102.3102319,Aguascalientes,20,20,20,20,20,20
OPERATIONAL,"Av. Monte Blanco LB, Desarrollo Especial Colegio Cristóbal Colón, 20115 Aguascalientes, Ags., Mexico",Bancomer,ChIJ9zRxggfvKYQREK8-DEtHrDc,2.6,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9256012,-102.3011423,Aguascalientes,20,20,20,20,20,20
