Name,Reference number,PSD Status,Effective Date,Activities
9 Spokes UK Limited ,794746,Registered Account Information Service Provider,29/08/2018,8. Account information services
A J Bell Management Limited ,211468,Authorised Payment Institution,28/12/2018,7. Payment initiation services
A J Bell Management Limited ,211468,Authorised Payment Institution,28/12/2018,8. Account information services
Access Systems (UK) Ltd ,811620,Authorised Payment Institution,15/10/2018,7. Payment initiation services
Access Systems (UK) Ltd ,811620,Authorised Payment Institution,15/10/2018,8. Account information services
Acquired Limited ,910612,Authorised Payment Institution,17/12/2019,7. Payment initiation services
AFTERBANKS LTD ,911229,Authorised Payment Institution,22/02/2020,7. Payment initiation services
AFTERBANKS LTD ,911229,Authorised Payment Institution,22/02/2020,8. Account information services
Akoni Hub Limited ,766340,Authorised Payment Institution,22/08/2019,8. Account information services
Alpha FX Limited ,900849,,02/08/2018,i) Payment initiation services
Alpha FX Limited ,900849,,02/08/2018,j) Account information services
American Express Payment Services Limited ,484347,Authorised Payment Institution,23/07/2018,7. Payment initiation services
American Express Payment Services Limited ,484347,Authorised Payment Institution,23/07/2018,8. Account information services
American Express Services Europe Limited (AESEL) ,661836,Authorised Payment Institution,23/07/2018,7. Payment initiation services
American Express Services Europe Limited (AESEL) ,661836,Authorised Payment Institution,23/04/2019,8. Account information services
Ardohr Limited ,791622,Authorised Payment Institution,13/01/2018,7. Payment initiation services
Ardohr Limited ,791622,Authorised Payment Institution,13/01/2018,8. Account information services
Armadillo Financial Technologies Ltd ,911236,Registered Account Information Service Provider,25/10/2019,8. Account information services
Asto Digital Limited ,798694,Authorised Payment Institution,03/04/2019,7. Payment initiation services
Asto Digital Limited ,798694,Authorised Payment Institution,03/04/2019,8. Account information services
AUTOMATED PAYMENT TRANSFER LIMITED ,821055,Authorised Payment Institution,12/08/2019,i) Payment initiation services
AUTOMATED PAYMENT TRANSFER LIMITED ,821055,Authorised Payment Institution,12/08/2019,7. Payment initiation services
Banked Ltd ,816944,Authorised Payment Institution,29/01/2019,7. Payment initiation services
Banked Ltd ,816944,Authorised Payment Institution,29/01/2019,8. Account information services
Barbon Insurance Group Limited ,308724,Registered Account Information Service Provider,14/02/2020,8. Account information services
Bippit Ltd ,845814,Registered Account Information Service Provider,14/08/2019,8. Account information services
Bottomline Payment Services Limited ,616279,Authorised Payment Institution,23/08/2018,7. Payment initiation services
Bottomline Payment Services Limited ,616279,Authorised Payment Institution,23/08/2018,8. Account information services
Bud Financial Limited ,793327,Authorised Payment Institution,01/02/2018,7. Payment initiation services
Bud Financial Limited ,793327,Authorised Payment Institution,01/02/2018,8. Account information services
Business Finance Technology Group Limited ,709589,Registered Account Information Service Provider,13/01/2018,8. Account information services
By Miles Payment Services Limited ,916165,Authorised Payment Institution,06/01/2020,7. Payment initiation services
By Miles Payment Services Limited ,916165,Authorised Payment Institution,06/01/2020,8. Account information services
Capium Limited ,916977,Registered Account Information Service Provider,15/02/2020,8. Account information services
Cashfac PLC ,805666,Authorised Payment Institution,10/10/2018,7. Payment initiation services
Cashfac PLC ,805666,Authorised Payment Institution,10/10/2018,8. Account information services
Castlight Ltd ,797290,Registered Account Information Service Provider,22/05/2018,8. Account information services
Caxton FX Ltd ,900663,,19/07/2018,i) Payment initiation services
Caxton FX Ltd ,900663,,19/07/2018,j) Account information services
Certua Financial Information Services Limited ,834554,Registered Account Information Service Provider,30/09/2019,8. Account information services
Chip Financial Ltd ,911255,Authorised Payment Institution,13/03/2020,7. Payment initiation services
Chip Financial Ltd ,911255,Authorised Payment Institution,13/03/2020,8. Account information services
Cirrostratus Exedra Ltd ,834721,Registered Account Information Service Provider,06/04/2020,8. Account information services
Citadel Commerce UK Limited ,575193,Authorised Payment Institution,20/08/2019,7. Payment initiation services
Citadel Commerce UK Limited ,575193,Authorised Payment Institution,20/08/2019,8. Account information services
Citizen UK Holding Limited ,826720,Authorised Payment Institution,05/08/2019,7. Payment initiation services
Citizen UK Holding Limited ,826720,Authorised Payment Institution,05/08/2019,8. Account information services
Clear Books Limited ,843585,Registered Account Information Service Provider,08/08/2019,8. Account information services
Clear Score Technology Limited ,654446,Registered Account Information Service Provider,13/01/2018,8. Account information services
CLEO AI LTD. ,806670,Registered Account Information Service Provider,01/03/2019,8. Account information services
Compare The Market Limited ,911617,Registered Account Information Service Provider,28/10/2019,8. Account information services
Consents Online Limited ,792642,Registered Account Information Service Provider,13/01/2018,8. Account information services
Coupay Limited ,920839,Authorised Payment Institution,29/02/2020,7. Payment initiation services
Coupay Limited ,920839,Authorised Payment Institution,29/02/2020,8. Account information services
CREDIBBLE LIMITED ,795142,Registered Account Information Service Provider,20/03/2018,8. Account information services
Credit Kudos Limited ,795791,Registered Account Information Service Provider,02/02/2018,8. Account information services
