,icao24,callsign,origin_country,time_position,last_contact,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
0,0d0abf,VOI553  ,Mexico,1653634608,1653634608,-115.3397,31.9059,9753.6,False,236.65,311.03,-23.41,No Data,10226.04,No Data,False,0
1,0d0b8b,AMX637  ,Mexico,1653634608,1653634608,-90.2821,30.2907,12192.0,False,213.61,217.37,-0.33,No Data,12664.44,6555,False,0
2,0d0b91,VOI903  ,Mexico,1653634608,1653634608,-115.9804,31.8898,10683.24,False,245.75,129.99,0.0,No Data,11170.92,3313,False,0
3,ab51e5,N8287E  ,United States,1653634607,1653634607,-100.9961,31.1526,4823.46,False,105.17,308.05,-0.33,No Data,5082.54,No Data,False,0
4,a6f2b7,JBU2797 ,United States,1653634607,1653634608,-101.5011,31.7742,10675.62,False,246.09,94.32,0.0,No Data,11170.92,No Data,False,0
5,0d0e16,VOI321  ,Mexico,1653634608,1653634608,-111.6719,30.9408,11574.78,False,212.91,290.36,0.0,No Data,12108.18,No Data,False,0
6,a65220,VOI826  ,United States,1653634587,1653634592,-97.8911,23.3464,10668.0,False,248.99,16.94,0.0,No Data,11277.6,No Data,False,0
7,0d0d90,VOI623  ,Mexico,1653634606,1653634607,-114.2822,32.015,8656.32,False,226.78,127.44,7.48,No Data,9083.04,No Data,False,0
8,0d0d41,VOI544  ,Mexico,1653634608,1653634608,-116.5315,32.2645,5113.02,False,193.79,119.76,10.08,No Data,5379.72,No Data,False,0
9,0d0bb8,VIV4090 ,Mexico,1653634607,1653634607,-114.447,31.7499,10957.56,False,222.13,291.04,0.0,No Data,11452.86,No Data,False,0
10,ad9003,AAL764  ,United States,1653634608,1653634608,-89.4779,31.6501,9753.6,False,213.76,253.79,0.0,No Data,10142.22,No Data,False,0
11,0d0c7c,AMX692  ,Mexico,1653634607,1653634607,-94.15,26.8552,11277.6,False,259.01,45.48,0.0,No Data,11833.86,No Data,False,0
12,0d0c90,XACHG   ,Mexico,1653634608,1653634608,-89.7291,31.6513,12496.8,False,262.72,35.84,0.33,No Data,12931.14,No Data,False,0
13,a1fb1a,ATN3549 ,United States,1653634607,1653634607,-100.7446,31.2458,11887.2,False,253.29,104.35,0.0,No Data,12344.4,No Data,False,0
14,a08efd,AAL2054 ,United States,1653634607,1653634607,-103.0162,32.0108,10058.4,False,252.13,101.06,-0.33,No Data,10553.7,No Data,False,0
15,a417af,MAA1651 ,United States,1653634278,1653634608,-94.022,31.6713,10972.8,False,224.01,213.76,0.0,No Data,11391.9,6611,False,0
16,a657bf,AAL1943 ,United States,1653634607,1653634607,-88.5361,30.648,9144.0,False,219.49,242.95,0.0,No Data,9525.0,No Data,False,0
17,a50ba0,N424MT  ,United States,1653634608,1653634608,-90.3042,30.7676,769.62,False,66.55,340.58,0.0,No Data,762.0,No Data,False,0
18,0d09d0,AMX003  ,Mexico,1653634608,1653634608,-90.7035,31.4449,11277.6,False,261.49,29.59,-0.33,No Data,11734.8,No Data,False,0
19,a6a665,N5278F  ,United States,1653634606,1653634606,-95.2767,29.6907,213.36,False,40.21,176.33,-0.33,No Data,198.12,No Data,False,0
20,a9ec90,ATN3295 ,United States,1653634607,1653634608,-93.7614,31.0785,11475.72,False,219.73,224.43,-3.9,No Data,11917.68,6775,False,0
21,a655d7,VOI403  ,United States,1653634608,1653634608,-115.6251,32.1227,6545.58,False,235.04,301.39,-15.61,No Data,6911.34,No Data,False,0
22,a8222c,JBU1158 ,United States,1653634607,1653634608,-95.2039,30.4779,10668.0,False,257.19,104.95,0.0,No Data,11148.06,2673,False,0
23,a42a91,FFT2075 ,United States,1653634359,1653634363,-106.7222,32.1511,10355.58,False,231.04,311.57,0.0,No Data,10858.5,No Data,False,0
24,a5031a,AAL2283 ,United States,1653634607,1653634607,-99.2739,30.9052,10660.38,False,252.29,104.4,0.0,No Data,11163.3,No Data,False,0
25,0d0866,VOI463  ,Mexico,1653634607,1653634607,-114.9013,31.8982,10104.12,False,227.0,290.98,-12.68,No Data,10591.8,No Data,False,0
26,a6d3c2,VOI818  ,United States,1653634607,1653634607,-115.2286,31.4526,10698.48,False,241.39,126.33,5.2,No Data,11178.54,No Data,False,0
27,3c70c4,GEC8227 ,Germany,1653634519,1653634570,-100.3149,25.5071,10058.4,False,264.83,44.69,0.0,No Data,10607.04,No Data,False,0
28,a9703f,BYA707  ,United States,1653634607,1653634607,-98.9428,28.8737,7620.0,False,144.64,17.6,0.0,No Data,8054.34,No Data,False,0
