,title,address,price,url,type,bedrooms,rooms,bathrooms,surface
0,RENTA DEPARTAMENTO EN RESIDENCIAL MARSELLA AV. DEL IMAN AL SUR DE LA CIUDAD DE MEXICO,"Ciudad de México, 1 Av del Iman",14.500 MXN,https://www.properstar.es/listing/82122144,Piso,2 habitación/es,2 Habit.,2 Baño.,70 m²
1,RENTA AMPLIO DEPARTAMENTO CERCA POLANCO COL. POPOTLA,"Ciudad de México, 37 Mariano Escobedo",15.500 MXN,https://www.properstar.es/listing/81903291,Piso,3 habitación/es,3 Habit.,2 Baño.,140 m²
2,"DEPARTAMENTO EN RENTA EN LOMAS DE CHAPULTEPEC, EXCELENTES CONDICIONES.",Ciudad de México,54.500 MXN,https://www.properstar.es/listing/81144862,Piso,4 habitación/es,3 Habit.,3 Baño.,261 m²
3,"AMPLIA CASA EN RENTA EN AV. DEL CONVENTO, SANTA ÚRSULA XITLA","Ciudad de México, 34 Avenida del Convento",23.900 MXN,https://www.properstar.es/listing/77003430,Casa independiente,2 habitación/es,2 Habit.,2 Baño.,215 m²
4,Departamento en renta Polanco,Ciudad de México,60.000 MXN,https://www.properstar.es/listing/73777075,Piso,3 habitación/es,3 Habit.,4 Baño.,257 m²
5,RENTA CASA EN CONDOMINIO SAN NICOLAS TOTOLAPAN AL SUR DE LA CIUDAD DE MEXICO,"Ciudad de México, 18 PUENTE CUADRITOS",21.000 MXN,https://www.properstar.es/listing/81754876,Casa con terraza,4 habitación/es,4 Habit.,3 Baño.,250 m²
6,"DEPARTAMENTO EN RENTA EN EXCLUSIVO DESARROLLO BE GRAND CONTADERO EXCELENTE ALTURA, VISTA MAGNIFICA, $25,000.00",Ciudad de México,25.000 MXN,https://www.properstar.es/listing/76417699,Piso,2 habitación/es,2 Habit.,2 Baño.,124 m²
7,"Piso para alquiler en Ciudad de México, México","Ciudad de México, Privada Horacio",60.000 MXN,https://www.properstar.es/listing/79321662,Piso con terraza,,3 Habit.,3 Baño.,240 m²
8,RENTA DEPARTAMENTO AMPLIO EN SANTA FE RESIDENCIAL TERRE,"Ciudad de México, 245 Av. Javier Barros Sierra",26.000 MXN,https://www.properstar.es/listing/81386699,Piso,3 habitación/es,3 Habit.,2 Baño.,155 m²
9,Renta departamento en Polanco cerca del Liceo,"Ciudad de México, 132 Sófocles",75.000 MXN,https://www.properstar.es/listing/80657414,Piso,,3 Habit.,3 Baño.,320 m²
10,"Piso para alquiler en Lomas de Chapultepec, Ciudad de México","Ciudad de México, Sierra Vertientes",60.000 MXN,https://www.properstar.es/listing/80476939,Piso,,3 Habit.,3 Baño.,300 m²
11,"Piso para alquiler en Mexico City, Mexico","Ciudad de México, Privada de Tamarindos",64.000 MXN,https://www.properstar.es/listing/79211658,Piso amueblado,,3 Habit.,3 Baño.,326 m²
12,Rento departamento amueblado y sin amueblar en Polanco,"Ciudad de México, 40 Goldsmith",35.000 MXN,https://www.properstar.es/listing/79687625,Piso,6 habitación/es,3 Habit.,2 Baño.,155 m²
13,"Piso para alquiler en Ciudad de México, México","Ciudad de México, Av. Secretaría de Marina",45.000 MXN,https://www.properstar.es/listing/79256261,Piso,,3 Habit.,3 Baño.,326 m²
14,Acogedora casa en renta con jardín privado,Ciudad de México,24.000 MXN,https://www.properstar.es/listing/82271486,Casa con terraza,3 habitación/es,3 Habit.,2 Baño.,176 m²
15,Departamento Dos Recamaras en Venta Parque Via Reforma,Ciudad de México,20.000 MXN,https://www.properstar.es/listing/82296365,Piso,2 habitación/es,2 Habit.,2 Baño.,90 m²
16,SE RENTA DEPARTAMENTO EN COLONIA DEL VALLE NORTE,Ciudad de México,18.000 MXN,https://www.properstar.es/listing/82271436,Piso,2 habitación/es,2 Habit.,2 Baño.,65 m²
17,"¡¡¡¡ EXCELENTE DEPARTAMENTO EN RENTA, SUPER AMPLIO, RECIÉN REMODELADO EN LA COL. NÁPOLES !!!!",Ciudad de México,21.500 MXN,https://www.properstar.es/listing/82198540,Piso,3 habitación/es,3 Habit.,2 Baño.,104 m²
18,"Renta departamento, 2 recámaras, 2 estacionamientos. Zona Polanco, área corporativa y comercial, edificio con gimnasio, salón eventos, espacios de convivencia. Vista panorámica. Seguridad y vigilancia. Restaurantes, departamentales, servicios, andadores para caminar.",Ciudad de México,26.500 MXN,https://www.properstar.es/listing/82149130,Piso,5 habitación/es,2 Habit.,2 Baño.,90 m²
19,DEPARTAMENTO EN RENTA DE 3 HABITACIONES Y 2 ESTACIONAMIENTOS A UNA CALLE DE LA PLAZA COMERCIAL PORTAL CENTRO,Ciudad de México,12.000 MXN,https://www.properstar.es/listing/82225641,Piso,3 habitación/es,3 Habit.,1 Baño.,60 m²
20,DEPARTAMENTO AMUEBLADO EN LA DEL VALLE CON ESTUDIO Y ROOF.,"Ciudad de México, 825 Gabriel Mancera",23.900 MXN,https://www.properstar.es/listing/82225644,Piso,2 habitación/es,2 Habit.,2 Baño.,109 m²
21,Departamento con vista preciosa Be Grand Contadero,"Ciudad de México, 5804 carretera Mexico-Toluca",22.500 MXN,https://www.properstar.es/listing/82122145,Piso,2 habitación/es,2 Habit.,2 Baño.,96 m²
22,"RENTO DEPARTAMENTO EN COSMOCRAT SANTA FE $18,500","Ciudad de México, 307 Prol. Paseo de la Reforma",18.500 MXN,https://www.properstar.es/listing/82174417,Piso,6 habitación/es,2 Habit.,2 Baño.,81 m²
23,"Incomparable Casa en Renta, Ideal para Diplomáticos o Altos Ejecutivos Lomas de Chapultepec 5 Recámaras, Una Sola planta mas Salón de recepciones.",Ciudad de México,150.281 MXN,https://www.properstar.es/listing/82174334,Casa independiente,5 habitación/es,5 Habit.,5 Baño.,555 m²
24,"Renta departamento, 2 recámaras, 2 estacionamientos, línea blanca. Zona Polanco, área corporativa y comercial, edificio con gimnasio, salón eventos, espacios de convivencia. Vista panorámica. Seguridad y vigilancia. Restaurantes, departamentales, servicios, andadores para caminar.","Ciudad de México, 453 Av. Ejército Nacional",27.500 MXN,https://www.properstar.es/listing/82149127,Piso,5 habitación/es,2 Habit.,2 Baño.,90 m²
25,Departamento amueblado en renta colonia Nàpoles,"Ciudad de México, Vermont",15.000 MXN,https://www.properstar.es/listing/82174304,Piso,1 habitación/es,1 Habit.,1 Baño.,45 m²
26,"Departamento en Renta Colonia Condesa, Cuauhtémoc, Ciudad de México.",Ciudad de México,18.500 MXN,https://www.properstar.es/listing/82122193,Piso,3 habitación/es,2 Habit.,2 Baño.,87 m²
27,"Renta departamento de 2 recámaras, 2 baños, 2 estacionamientos, bodega en Latitud Polanco. Gimnasio, Salón de eventos, Roof garden con espacio para reuniones y fogateros. Zona corporativa y comercial. Cerca Hospital Español.","Ciudad de México, 453 Av. Ejército Nacional",28.000 MXN,https://www.properstar.es/listing/82149132,Piso,5 habitación/es,2 Habit.,2 Baño.,90 m²
28,"Renta departamento y bodega, 2 recámaras, 2 estacionamientos, línea blanca. Zona Polanco, área corporativa, gimnasio, salón eventos, espacios de convivencia. Vista panorámica. Seguridad y vigilancia.",Ciudad de México,29.000 MXN,https://www.properstar.es/listing/82149129,Piso,5 habitación/es,2 Habit.,2 Baño.,90 m²
29,"Departamento en Privada Equus, cerca de Universidad Anahuac",Ciudad de México,18.600 MXN,https://www.properstar.es/listing/82148907,Piso,7 habitación/es,2 Habit.,2 Baño.,86 m²
30,"Increíble LOFT AMUEBLADO en Col. Granada, Polanco",Ciudad de México,22.000 MXN,https://www.properstar.es/listing/82225643,,1 habitación/es,1 Habit.,1 Baño.,47 m²
31,"Departamento en renta, 2 estacionamientos, con balcón y roof garden privado","Ciudad de México, 167 PAMPAS",16.000 MXN,https://www.properstar.es/listing/82198464,Piso,3 habitación/es,2 Habit.,2 Baño.,75 m²
32,Departamento en renta en Gran Tower del Valle,Ciudad de México,26.000 MXN,https://www.properstar.es/listing/82198461,Piso,3 habitación/es,3 Habit.,2 Baño.,88 m²
33,"EXCELENTE DEPARTAMENTO EN RENTA EN PISO 2 CON 2 CAJONES DE ESTACIONAMIENTO, EN EDIFICIO DE TAN SOLO 4 DEPARTAMENTOS EXCELENTE UBICACION",Ciudad de México,11.000 MXN,https://www.properstar.es/listing/82225646,Piso,,,,65 m²
34,En renta moderno departamento de 155m2 amueblado con terraza en La colonia San José Insurgentes.,"Ciudad de México, 155 SAGREDO",28.000 MXN,https://www.properstar.es/listing/82122142,Piso,8 habitación/es,2 Habit.,2 Baño.,155 m²
35,Renta departamento Colonia Militar Marte,"Ciudad de México, 150 PLAYA ENCANTADA",8500 MXN,https://www.properstar.es/listing/81958012,Piso,2 habitación/es,2 Habit.,1 Baño.,69 m²
36,Cómodo Departamento con balcón en la Colonia del Valle a media cuadra del parque Tlacoquemecatl,"Ciudad de México, 72 Cerezas",14.000 MXN,https://www.properstar.es/listing/81986967,Piso,3 habitación/es,2 Habit.,1 Baño.,69 m²
37,DEPARTAMENTO EN RENTA COLONIA ÁLAMOS SEGUNDO NIVEL EXTERIOR CON BALCON,Ciudad de México,13.700 MXN,https://www.properstar.es/listing/82041617,Piso,2 habitación/es,2 Habit.,2 Baño.,65 m²
38,Rento Departamento en Santa Fe - Cuajimalpa Residencial La Campiña (Mantenimiento Incluido),"Ciudad de México, Av. Vasco de Quiroga",25.000 MXN,https://www.properstar.es/listing/81986966,Piso,2 habitación/es,2 Habit.,2 Baño.,160 m²
39,Renta Departamento en Be Grand Contadero a Estrenar,Ciudad de México,25.000 MXN,https://www.properstar.es/listing/81986898,Piso,6 habitación/es,2 Habit.,2 Baño.,101 m²
40,"Departamento en renta en la colonia Nápoles, a 5 minutos del World Trade Center","Ciudad de México, 36 Colorado",17.500 MXN,https://www.properstar.es/listing/82066552,Piso,7 habitación/es,2 Habit.,2 Baño.,80.65 m²
41,Rento Departamento en Santa Fe - Residencial La Campiña (Mantenimiento Incluido),"Ciudad de México, Av. Vasco de Quiroga",25.000 MXN,https://www.properstar.es/listing/81986964,Piso,2 habitación/es,2 Habit.,2 Baño.,160 m²
42,DEPARTAMENTO EN RENTA DE TRES HABITACIONES UNIDAD VICENTE GUERRERO FRENTE AL HOSPITAL GENERAL 47 DEL IMSS,Ciudad de México,7500 MXN,https://www.properstar.es/listing/81986958,Piso,3 habitación/es,3 Habit.,1 Baño.,90 m²
43,"PENT HOUSE RECIÉN REMODELADO EN COLONIA DEL VALLE, CENTRO.",Ciudad de México,18.000 MXN,https://www.properstar.es/listing/81915658,Piso,3 habitación/es,3 Habit.,,131.7 m²
44,Departamento exclusivo en Residencial Aruna a sólo 5 minutos de Santa Fe,Ciudad de México,23.000 MXN,https://www.properstar.es/listing/81876968,Piso,6 habitación/es,2 Habit.,2 Baño.,130 m²
45,"Departamento en renta, Blum Santa Fe.",Ciudad de México,24.000 MXN,https://www.properstar.es/listing/75985370,Piso,4 habitación/es,2 Habit.,2 Baño.,102 m²
46,HERMOSO DEPARTAMENTO EN RENTA DE 3 NIVELES TIPO TOWN HOUSE EN EL CENTRO DE COYOACAN,Ciudad de México,22.500 MXN,https://www.properstar.es/listing/79114422,Piso,2 habitación/es,2 Habit.,2 Baño.,100 m²
47,"Casa de Revista 7 Recámaras, Alberca y Terraza",Ciudad de México,150.000 MXN,https://www.properstar.es/listing/71056097,Casa independiente,7 habitación/es,7 Habit.,7 Baño.,925 m²
48,"La mejor casa del poniente, Aprovecha Oportunidad Fracc. Cerrado",Ciudad de México,80.000 MXN,https://www.properstar.es/listing/74364479,Casa independiente,3 habitación/es,3 Habit.,3 Baño.,800 m²
49,"Departamento en RENTA con amplia terraza, amenidades, 3 recamaras 2.5 baños 2 estacionamientos cerca de hospitales, universidades, estadio azteca, seguridad.",Ciudad de México,28.000 MXN,https://www.properstar.es/listing/79114366,Piso,3 habitación/es,3 Habit.,2 Baño.,145 m²
