Nombre,Modelo,Marca,Precio,Descripcion,Url IMG
FOLDER TAMAÑO CARTA COLOR CREMA ECOLOGICO,11417,BEROKY,1.52,FOLDER TAMAÑO CARTA EN CARTULINA DE 175 GRAMOS CON MEDIA CEJA Y PUNTAS RECTAS MEDIDAS 23.5 X 29.5 CMS BOLSA CON 100 PIEZAS COLOR CREMA (ECOLOGICO) BEROKY,https://henki.com.mx/erp/shared_resources/productos/64NOIMAGEN.png
SOBRE BOLSA SOLAPA ENGOMADA MANILA CARTA,SOBMGK-CTA,KIP,2.27,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO CARTA MEDIDAS 23 X 30.5 CMS ,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBBOL-1146.jpg-.jpg
SOBRE BLANCO PARA CORRESPONDENCIA CARTA SIN VENTANA,SOBBCO-CTA,KIP,0.56,SOBRE BLANCO PARA CORRESPONDENCIA CARTA 6 3/4 SIN VENTANA DE 90 GRAMOS MEDIDAS 9.2 X 16.4 CMS MODELO SOBBCO-CTA KYP,https://henki.com.mx/erp/shared_resources/productos/1241RE.png
SOBRE BOLSA SOLAPA ENGOMADA MANILA EXTRA OFICIO,SOBMGK-OFI,KIP,2.85,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO EXTRA OFICIO MEDIDAS 26 X 34 CMS ,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBBOL-1147.jpg-.jpg
BOLIGRAFO PUNTO MEDIANO AZUL,BOLEX,BOLEX,2.13,BOLIGRAFO PUNTO MEDIANO AZUL BOLEX,https://henki.com.mx/erp/shared_resources/restore/1007seu3h3xp92.png
BOLIGRAFO PUNTO FINO AZUL,BOLEX FINO,BOLEX,2.14,BOLIGRAFO PUNTO FINO AZUL BOLEX,https://henki.com.mx/erp/shared_resources/restore/10110c9kmjnn6n.png
FOLDER TAMAÑO OFICIO COLOR CREMA ECOLOGICO,11427,BEROKY,1.78,FOLDER TAMAÑO OFICIO EN CARTULINA DE 175 GRAMOS CON MEDIA CEJA Y PUNTAS RECTAS MEDIDAS 24.5 X 34.5 CMS BOLSA CON 100 PIEZAS COLOR CREMA (ECOLOGICO) BEROKY,https://henki.com.mx/erp/shared_resources/productos/65NOIMAGEN.png
BOLIGRAFO JOCAR MEDIANO AZUL,B12AH,JOCAR,1.77,"BOLIGRAFO JOCAR MEDIANO, COLOR AZUL, BARRIL TRIANGULAR, MODELO B12AH",https://henki.com.mx/erp/shared_resources/restore/10428lv2vszri1.png
BOLIGRAFO PUNTO MEDIANO ROJO,BOLEX,BOLEX,2.13,BOLIGRAFO PUNTO MEDIANO ROJO BOLEX,https://henki.com.mx/erp/shared_resources/restore/10093ydmsz6oyw.png
SOBRE BOLSA SOLAPA ENGOMADA MANILA DOBLE CARTA,SOBMGK-LEG,KIP,4.23,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO DOBLE CARTA MEDIDAS 30.5 X 39.5 CMS MODELO SOBMGK-LEG KIP,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBBOL-1148.jpg-.jpg
SOBRE BOLSA CON RONDANA E HILO CARTA,SOBMRK-CTA,KIP,4.51,SOBRE BOLSA CON RONDANA E HILO PAPEL MANILA DE 105 GRAMOS TAMAÑO CARTA MEDIDAS 23 X 30.5 CMS MODELO SOBMRK-CTA KIP,https://henki.com.mx/erp/shared_resources/restore/1003uksvvrmsv4.png
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA AZUL CLARO,MYP,MYP,6.96,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 23 X 29.5 CMS COLOR AZUL CLARO MYP,https://henki.com.mx/erp/shared_resources/restore/1133rj2cemejxb.jpg
BOLIGRAFO PINT POINT PUNTO FINO AZUL,6810AZ,AZOR,3.48,BOLIGRAFO PUNTO FINO 0.7MM AZOR PUNTO DE AGUJA AZUL PIN POINT ,https://henki.com.mx/erp/shared_resources/restore/10076bv7ppvdi6.png
SEPARADORES BRISTOL TAMAÑO CARTA 5 SEPARADORES,SEPKIPC-05-GS,KIP,6.49,SEPARADORES BRISTOL TAMAÑO CARTA 5 SEPARADORES SIN PERFORACIONES,https://henki.com.mx/erp/shared_resources/productos/LAZ-SEPBRI-1448.jpg-.jpg
