Evento,Récord,Nombre,País,Juegos,Fecha,Ref.
50 m libre,"24,05",Ranomi Kromowidjojo,Países BajosPaíses Bajos,Londres 2012,4 de agosto de 2012,[17]​
100 m libre,"52,70",Simone Manuel  Penny Oleksiak,Estados Unidos  CanadáCanadá,Río de Janeiro 2016,11 de agosto de 2016,[18]​
200 m libre,"1:53,61",Allison Schmitt,Estados Unidos,Londres 2012,31 de julio de 2012,[19]​
400 m libre,"3:56,46",Katie Ledecky,Estados Unidos,Río de Janeiro 2016,7 de agosto de 2016,[20]​
800 m libre,"8:04,79",Katie Ledecky,Estados Unidos,Río de Janeiro 2016,12 de agosto de 2016,[21]​
100 m espalda,"58,23",Emily Seebohm,Australia,Londres 2012,29 de julio de 2012,[22]​
200 m espalda,"2:04,06",Missy Franklin,Estados Unidos,Londres 2012,3 de agosto de 2012,[23]​
100 m braza,"1:04,93",Lilly King,Estados Unidos,Río de Janeiro 2016,8 de agosto de 2016,[24]​
200 m braza,"2:19,59",Rebecca Soni,Estados Unidos,Londres 2012,2 de agosto de 2012,[25]​
100 m mariposa,"55,48",Sarah Sjöström,Suecia Suecia,Río de Janeiro 2016,7 de agosto de 2016,[26]​
200 m mariposa,"2:04,06",Jiao Liuyang,ChinaChina,Londres 2012,1 de agosto de 2012,[27]​
200 m estilos,"2:06,58",Katinka Hosszú,HungríaHungría,Río de Janeiro 2016,9 de agosto de 2016,[28]​
400 m estilos,"4:26,36",Katinka Hosszú,HungríaHungría,Río de Janeiro 2016,6 de agosto de 2016,[29]​
4 × 100 m libre,"3:30,65",Emma McKeonBrittany ElmslieBronte CampbellCate Campbell,Australia,Río de Janeiro 2016,6 de agosto de 2016,[30]​
4 × 200 m libre,"7:42,92",Missy FranklinDana VollmerShannon VreelandAllison Schmitt,Estados Unidos,Londres 2012,1 de agosto de 2012,[31]​
4 × 100 m estilos,"3:52,05",Missy FranklinRebecca SoniDana VollmerAllison Schmitt,Estados Unidos,Londres 2012,4 de agosto de 2012,[32]​
