Evento,Récord,Nombre,País,Juegos,Fecha,Ref.
50 m libre,"21,30",César Cielo,BrasilBrasil,Pekín 2008,16 de agosto de 2008,[1]​
100 m libre,"47,05",Eamon Sullivan,Australia,Pekín 2008,13 de agosto de 2008,[2]​
200 m libre,"1:42,96",Michael Phelps,Estados Unidos,Pekín 2008,12 de agosto de 2008,[3]​
400 m libre,"3:40,14",Sun Yang,ChinaChina,Londres 2012,28 de julio de 2012,[4]​
1500 m libre,"14:31,02",Sun Yang,ChinaChina,Londres 2012,4 de agosto de 2012,[5]​
100 m espalda,"51,85",Ryan Murphy,Estados Unidos,Río de Janeiro 2016,13 de agosto de 2016,[6]​
200 m espalda,"1:53,41",Tyler Clary,Estados Unidos,Londres 2012,2 de agosto de 2012,[7]​
100 m braza,"57,13",Adam Peaty,Reino UnidoReino Unido,Río de Janeiro 2016,7 de agosto de 2016,[8]​
200 m braza,"2:07,22",Ippei Watanabe,JapónJapón,Río de Janeiro 2016,9 de agosto de 2016,[9]​
100 m mariposa,"50,39",Joseph Schooling,SingapurSingapur,Río de Janeiro 2016,12 de agosto de 2016,[10]​
200 m mariposa,"1:52,03",Michael Phelps,Estados Unidos,Pekín 2008,13 de agosto de 2008,[11]​
200 m estilos,"1:54,23",Michael Phelps,Estados Unidos,Pekín 2008,15 de agosto de 2008,[12]​
400 m estilos,"4:03,84",Michael Phelps,Estados Unidos,Pekín 2008,10 de agosto de 2008,[13]​
4 × 100 m libre,"3:08,24",Michael PhelpsGarrett Weber-GaleCullen JonesJason Lezak,Estados Unidos,Pekín 2008,11 de agosto de 2008,[14]​
4 × 200 m libre,"6:58,56",Michael PhelpsRyan LochteRicky BerensPeter Vanderkaay,Estados Unidos,Pekín 2008,13 de agosto de 2008,[15]​
4 × 100 m estilos,"3:27,95",Ryan MurphyCody MillerMichael PhelpsNathan Adrian,Estados Unidos,Río de Janeiro 2016,13 de agosto de 2016,[16]​
