date,JPM,BAC,WFC,C,GS
2020-05-12,87.03,21.87,24.04,42.35,177.21
2020-05-11,89.97,22.58,24.78,44.07,183.16
2020-05-08,92.7,23.57,25.43,46.32,185.39
2020-05-07,91.21,22.84,25.23,44.64,182.32
2020-05-06,90.27,22.35,25.61,42.95,176.92
2020-05-05,92.0,22.66,26.32,43.95,178.3
2020-05-04,92.14,22.93,27.35,45.12,176.03
2020-05-01,93.25,23.08,27.59,45.52,177.1
2020-04-30,95.76,24.05,29.05,48.56,183.42
2020-04-29,97.86,24.78,30.0,50.26,190.03
2020-04-28,95.29,23.89,28.87,47.21,187.01
2020-04-27,94.62,23.47,28.41,46.56,183.54
2020-04-24,90.71,22.18,26.92,43.1,177.0
2020-04-23,89.39,21.87,26.53,42.46,175.05
2020-04-22,89.34,21.8,26.8,42.24,175.98
2020-04-21,89.05,21.64,26.84,41.57,173.81
2020-04-20,91.71,22.5,27.68,44.01,180.4
2020-04-17,95.18,23.28,28.38,45.45,183.49
2020-04-16,87.33,21.42,26.89,40.52,177.04
2020-04-15,90.79,22.19,28.44,42.86,178.52
2020-04-14,95.5,23.73,30.18,45.42,178.23
2020-04-13,98.19,23.92,31.43,46.68,179.18
2020-04-09,102.76,24.86,33.2,47.41,184.26
2020-04-08,94.3,23.45,30.28,44.26,176.96
2020-04-07,90.64,22.14,28.77,41.25,166.02
2020-04-06,89.46,21.39,28.63,41.12,158.23
2020-04-03,84.05,20.03,26.23,37.49,146.93
2020-04-02,87.51,20.57,27.22,39.23,149.93
2020-04-01,84.36,19.77,26.57,38.51,145.29
2020-03-31,90.03,21.23,28.7,42.12,154.59
2020-03-30,93.5,22.04,29.92,44.08,159.62
2020-03-27,91.13,21.6,30.28,43.8,158.34
2020-03-26,98.12,22.72,30.9,46.02,165.79
2020-03-25,91.73,21.1,28.97,41.86,155.13
2020-03-24,88.43,21.03,28.92,40.66,153.6
2020-03-23,79.03,18.08,25.25,35.39,134.97
2020-03-20,83.5,19.67,26.5,38.06,138.41
2020-03-19,85.3,21.2,28.29,39.64,149.49
2020-03-18,83.89,20.79,28.12,36.43,140.02
2020-03-17,93.76,21.98,29.63,40.25,158.67
2020-03-16,88.36,20.44,26.5,41.19,154.66
2020-03-13,103.91,24.16,30.89,51.04,177.17
2020-03-12,88.05,20.51,27.2,43.26,150.68
2020-03-11,95.96,22.67,32.33,50.79,171.89
2020-03-10,100.7,23.61,35.08,55.58,184.35
2020-03-09,93.44,21.93,32.48,51.37,172.81
2020-03-06,108.08,25.71,37.09,61.28,192.85
2020-03-05,113.97,26.78,38.9,63.49,198.79
2020-03-04,119.85,28.39,41.4,67.39,208.74
2020-03-03,116.96,27.75,40.53,65.05,203.43
2020-03-02,121.52,29.37,42.26,67.59,209.47
2020-02-28,116.11,28.5,40.85,63.46,200.77
2020-02-27,121.37,29.13,42.47,64.45,205.69
2020-02-26,126.64,30.63,44.14,68.18,215.78
2020-02-25,126.26,31.08,45.12,69.43,217.61
2020-02-24,132.16,32.73,46.39,72.53,224.54
2020-02-21,135.81,34.36,47.7,76.44,230.62
2020-02-20,137.49,34.85,47.34,78.22,232.73
2020-02-19,137.49,34.72,47.09,78.05,237.33
2020-02-18,135.64,34.27,46.99,77.58,233.21
2020-02-14,137.46,34.85,48.22,78.79,237.08
2020-02-13,137.88,34.91,48.12,79.0,238.35
2020-02-12,138.0,34.92,47.79,79.33,238.65
2020-02-11,138.0,34.77,47.99,79.09,236.46
2020-02-10,137.74,34.69,47.77,78.48,237.36
2020-02-07,137.17,34.61,47.84,78.69,238.0
2020-02-06,137.61,34.67,47.98,78.97,241.82
2020-02-05,137.59,34.71,48.31,78.85,244.3
2020-02-04,135.29,33.62,47.26,76.5,241.94
2020-02-03,133.37,32.97,47.12,75.13,239.01
2020-01-31,132.36,32.83,46.94,74.41,237.75
2020-01-30,135.89,33.48,47.91,77.43,244.13
2020-01-29,134.23,33.01,47.27,76.48,240.12
2020-01-28,134.43,33.24,47.37,77.24,242.58
2020-01-27,132.03,32.85,47.1,76.71,238.14
2020-01-24,133.15,33.54,47.57,78.42,241.92
2020-01-23,136.54,34.12,48.22,79.8,245.58
2020-01-22,136.68,34.36,48.56,80.1,247.05
2020-01-21,136.84,34.26,48.94,79.9,245.7
2020-01-17,138.2,34.71,49.18,81.12,249.46
2020-01-16,137.25,34.72,49.25,81.0,249.72
2020-01-15,136.72,34.67,48.32,81.24,245.21
2020-01-14,138.8,35.32,49.3,81.91,245.66
2020-01-13,137.2,35.06,52.11,80.65,245.21
2020-01-10,136.07,34.74,52.5,79.25,242.11
2020-01-09,137.44,35.03,52.73,80.08,242.6
2020-01-08,136.94,34.97,52.82,79.36,237.76
2020-01-07,135.88,34.62,52.66,78.76,235.49
2020-01-06,138.23,34.85,53.1,79.45,233.95
2020-01-03,138.34,34.9,53.42,79.7,231.58
2020-01-02,141.09,35.64,53.75,81.23,234.32
2019-12-31,139.4,35.22,53.8,79.89,229.93
2019-12-30,138.63,35.15,53.6,79.51,229.8
2019-12-27,139.14,35.35,53.92,79.67,230.66
2019-12-26,139.04,35.52,54.15,79.83,231.21
2019-12-24,137.58,35.22,53.82,78.59,229.91
2019-12-23,137.2,35.17,53.81,78.76,229.09
2019-12-20,137.24,34.96,53.33,78.51,228.93
2019-12-19,137.35,34.95,53.63,78.2,229.94
2019-12-18,138.04,35.11,53.67,77.92,230.45
2019-12-17,138.18,35.04,54.34,77.74,231.15
2019-12-16,137.34,34.7,54.22,76.91,228.04
2019-12-13,136.81,34.44,53.79,76.39,225.0
2019-12-12,138.02,34.68,54.36,77.05,226.05
2019-12-11,134.18,33.64,53.17,75.55,221.19
2019-12-10,134.5,33.53,53.69,75.78,221.88
2019-12-09,134.41,33.51,53.92,75.33,221.81
2019-12-06,135.04,33.67,54.37,75.81,224.61
2019-12-05,133.06,33.09,53.23,74.71,217.14
2019-12-04,132.34,33.15,53.24,74.23,215.94
2019-12-03,129.78,32.84,52.58,73.33,212.24
2019-12-02,131.47,33.43,53.62,74.52,217.64
2019-11-29,131.76,33.32,54.46,75.12,221.35
2019-11-27,132.06,33.42,54.34,75.72,222.95
2019-11-26,131.67,33.35,53.81,75.46,222.45
2019-11-25,131.49,33.47,54.21,75.68,222.75
2019-11-22,130.79,33.18,54.28,74.87,220.28
2019-11-21,129.93,32.84,53.56,73.9,218.23
2019-11-20,129.63,32.69,53.54,73.91,217.91
2019-11-19,130.58,32.94,54.03,74.82,220.04
2019-11-18,130.62,32.96,54.0,74.4,219.73
2019-11-15,129.53,32.93,53.8,74.4,220.25
2019-11-14,128.6,32.7,53.49,73.84,219.43
2019-11-13,128.48,32.79,53.29,73.91,219.32
2019-11-12,129.16,33.09,54.22,75.07,220.41
2019-11-11,129.92,33.18,54.05,75.6,219.03
2019-11-08,130.38,33.26,54.1,76.12,222.91
2019-11-07,130.0,33.23,54.0,75.81,223.29
2019-11-06,129.3,32.79,53.8,74.42,218.42
2019-11-05,129.1,32.82,53.3,74.83,218.64
2019-11-04,128.82,32.4,52.72,75.15,219.87
2019-11-01,127.8,31.8,52.18,73.84,217.39
2019-10-31,124.92,31.27,51.63,71.86,213.38
2019-10-30,125.73,31.62,52.03,72.97,215.81
2019-10-29,126.43,32.07,52.17,73.09,217.64
2019-10-28,126.51,31.84,51.65,73.59,217.75
2019-10-25,126.03,31.72,51.57,73.17,214.23
2019-10-24,125.03,31.36,51.1,72.3,211.05
2019-10-23,125.12,31.42,50.93,72.45,211.32
2019-10-22,124.79,31.2,50.62,72.06,209.6
2019-10-21,123.55,31.02,50.46,71.81,209.25
2019-10-18,120.56,30.35,49.97,69.74,206.52
2019-10-17,120.35,30.26,49.61,69.6,206.46
2019-10-16,119.68,30.17,49.59,69.5,207.42
2019-10-15,119.96,29.73,50.11,71.22,206.46
2019-10-14,116.45,29.14,49.27,70.24,205.82
2019-10-11,116.14,28.91,49.21,70.1,204.68
2019-10-10,114.21,28.45,48.65,68.62,199.87
2019-10-09,112.63,27.89,48.15,67.43,196.85
2019-10-08,111.82,27.63,47.82,66.4,197.37
2019-10-07,114.37,28.31,48.81,68.15,200.4
2019-10-04,114.62,28.37,49.21,68.18,200.8
2019-10-03,112.19,27.81,48.48,66.7,197.24
2019-10-02,113.25,27.84,48.47,66.26,198.25
2019-10-01,115.55,28.44,49.06,68.15,202.69
2019-09-30,117.69,29.17,50.44,69.08,207.23
2019-09-27,117.72,29.35,50.71,69.46,208.97
2019-09-26,117.03,29.13,48.87,69.11,208.22
2019-09-25,118.0,29.25,49.26,69.38,210.03
