date,AAPL,FB,AMZN,MSFT,GOOG,TSLA
2020-05-12,trail1,210.1,2356.95,182.51,1375.74,809.41
2020-05-11,trail1,213.18,2409.0,186.74,1403.26,811.29
2020-05-08,trail1,212.35,2379.61,184.68,1388.37,819.42
2020-05-07,trail1,211.26,2367.61,183.6,1372.56,780.04
2020-05-06,trail1,208.47,2351.26,182.54,1347.3,782.58
2020-05-05,trail1,207.07,2317.8,180.76,1351.11,768.21
2020-05-04,trail1,205.26,2315.99,178.84,1326.8,761.19
2020-05-01,trail1,202.27,2286.04,174.57,1320.61,701.32
2020-04-30,trail1,204.71,2474.0,179.21,1348.66,781.88
2020-04-29,trail1,194.19,2372.71,177.43,1341.48,800.51
2020-04-28,trail1,182.91,2314.08,169.81,1233.67,769.12
2020-04-27,trail1,187.5,2376.0,174.05,1275.88,798.75
2020-04-24,trail1,190.07,2410.22,174.55,1279.31,725.15
2020-04-23,trail1,185.13,2399.45,171.42,1276.31,705.63
2020-04-22,trail1,182.28,2363.49,173.52,1263.21,732.11
2020-04-21,trail1,170.8,2328.12,167.82,1216.34,686.72
2020-04-20,trail1,178.24,2393.61,175.06,1266.61,746.36
2020-04-17,trail1,179.24,2375.0,178.6,1283.25,753.89
2020-04-16,trail1,176.25,2408.19,177.04,1263.47,745.21
2020-04-15,trail1,176.97,2307.68,171.88,1262.47,729.83
2020-04-14,trail1,178.17,2283.32,173.7,1269.23,709.89
2020-04-13,trail1,174.79,2168.87,165.51,1217.56,650.95
2020-04-09,trail1,175.19,2042.76,165.14,1211.45,573.0
2020-04-08,trail1,174.28,2043.0,165.13,1210.28,548.84
2020-04-07,trail1,168.83,2011.6,163.49,1186.51,545.45
2020-04-06,trail1,165.55,1997.59,165.27,1186.92,516.24
2020-04-03,trail1,154.18,1906.59,153.83,1097.88,480.01
2020-04-02,trail1,158.19,1918.83,155.26,1120.84,454.47
2020-04-01,trail1,159.6,1907.7,152.11,1105.62,481.56
2020-03-31,trail1,166.8,1949.72,157.71,1162.81,524.0
2020-03-30,trail1,165.95,1963.95,160.23,1146.82,502.13
2020-03-27,trail1,156.79,1900.1,149.7,1110.71,514.36
2020-03-26,trail1,163.34,1955.49,156.11,1161.75,528.16
2020-03-25,trail1,156.21,1885.84,146.92,1102.49,539.25
2020-03-24,trail1,160.98,1940.1,148.34,1134.46,505.0
2020-03-23,trail1,148.1,1902.83,135.98,1056.62,434.29
2020-03-20,trail1,149.73,1846.09,137.35,1072.32,427.53
2020-03-19,trail1,153.13,1880.93,142.71,1115.29,427.64
2020-03-18,trail1,146.96,1830.0,140.4,1096.8,361.22
2020-03-17,trail1,149.42,1807.84,146.57,1119.8,430.2
2020-03-16,trail1,146.01,1689.15,135.42,1084.33,445.07
2020-03-13,trail1,170.28,1785.0,158.83,1219.73,546.62
2020-03-12,trail1,154.47,1676.61,139.06,1114.91,560.55
2020-03-11,trail1,170.24,1820.86,153.63,1215.41,634.23
2020-03-10,trail1,178.19,1891.82,160.92,1280.39,645.33
2020-03-09,trail1,169.5,1800.61,150.62,1215.56,608.0
2020-03-06,trail1,181.09,1901.09,161.57,1298.41,703.48
2020-03-05,trail1,185.17,1924.03,166.27,1319.04,724.54
2020-03-04,trail1,191.76,1975.83,170.55,1386.52,749.5
2020-03-03,trail1,185.89,1908.99,164.51,1341.39,745.51
2020-03-02,trail1,196.44,1953.95,172.79,1389.11,743.62
2020-02-28,trail1,192.47,1883.75,162.01,1339.33,667.99
2020-02-27,trail1,189.75,1884.3,158.18,1318.09,679.0
2020-02-26,trail1,197.2,1979.59,170.17,1393.18,778.8
2020-02-25,trail1,196.77,1972.74,168.07,1388.45,799.91
2020-02-24,trail1,200.72,2009.29,170.89,1421.59,833.79
2020-02-21,trail1,210.18,2095.97,178.59,1485.11,901.0
2020-02-20,trail1,214.58,2153.1,184.42,1518.15,899.41
2020-02-19,trail1,217.49,2170.22,187.28,1526.69,917.42
2020-02-18,trail1,217.8,2155.67,187.23,1519.67,858.4
2020-02-14,trail1,214.18,2134.87,185.35,1520.74,800.03
2020-02-13,trail1,213.14,2149.87,183.71,1514.66,804.0
2020-02-12,trail1,210.76,2160.0,184.71,1518.27,767.29
2020-02-11,trail1,207.19,2150.8,184.44,1508.79,774.38
2020-02-10,trail1,213.06,2133.91,188.7,1508.68,771.28
2020-02-07,trail1,212.33,2079.28,183.89,1479.23,748.07
2020-02-06,trail1,210.85,2050.23,183.63,1476.23,748.96
2020-02-05,trail1,210.11,2039.87,179.9,1448.23,734.7
2020-02-04,trail1,209.83,2049.67,180.12,1447.07,887.06
2020-02-03,trail1,204.19,2004.2,174.38,1485.94,780.0
2020-01-31,trail1,201.91,2008.72,170.23,1434.23,650.57
2020-01-30,trail1,209.53,1870.68,172.78,1455.84,640.81
2020-01-29,trail1,223.23,1858.0,168.04,1458.63,580.99
2020-01-28,trail1,217.79,1853.25,165.46,1452.56,566.9
2020-01-27,trail1,214.87,1828.34,162.28,1433.9,558.02
2020-01-24,trail1,217.94,1861.64,165.04,1466.71,564.82
2020-01-23,trail1,219.76,1884.58,166.72,1486.65,572.2
2020-01-22,trail1,221.32,1887.46,165.7,1485.95,569.56
2020-01-21,trail1,221.44,1892.0,166.5,1484.4,547.2
2020-01-17,trail1,222.14,1864.72,167.1,1480.39,510.5
2020-01-16,trail1,221.77,1877.94,166.17,1451.7,513.49
2020-01-15,trail1,221.15,1862.02,163.18,1439.2,518.5
2020-01-14,trail1,219.06,1869.44,162.13,1430.88,537.92
2020-01-13,trail1,221.91,1891.3,163.28,1439.23,524.86
2020-01-10,trail1,218.06,1883.16,161.34,1429.73,478.15
2020-01-09,trail1,218.3,1901.05,162.09,1419.83,481.34
2020-01-08,trail1,215.22,1891.97,160.09,1404.32,492.14
2020-01-07,trail1,213.06,1906.86,157.58,1393.34,469.06
2020-01-06,trail1,212.6,1902.88,159.03,1394.21,451.54
2020-01-03,trail1,208.67,1874.97,158.62,1360.66,443.01
2020-01-02,trail1,209.78,1898.01,160.62,1367.37,430.26
2019-12-31,trail1,205.25,1847.84,157.7,1337.02,418.33
2019-12-30,trail1,204.41,1846.89,157.59,1336.14,414.7
2019-12-27,trail1,208.1,1869.8,158.96,1351.89,430.38
2019-12-26,trail1,207.79,1868.77,158.67,1360.4,430.94
2019-12-24,trail1,205.12,1789.21,157.38,1343.56,425.25
2019-12-23,trail1,206.18,1793.0,157.41,1348.84,419.22
2019-12-20,trail1,206.3,1786.5,157.41,1349.59,405.59
2019-12-19,trail1,206.06,1792.28,155.71,1356.04,404.04
2019-12-18,trail1,202.5,1784.03,154.37,1352.62,393.15
2019-12-17,trail1,198.39,1790.66,154.69,1355.12,378.99
2019-12-16,trail1,197.92,1769.21,155.53,1361.17,381.5
2019-12-13,trail1,194.11,1760.94,154.53,1347.83,358.39
2019-12-12,trail1,196.75,1760.33,153.24,1350.27,359.68
2019-12-11,trail1,202.26,1748.72,151.7,1345.02,352.7
2019-12-10,trail1,200.87,1739.21,151.13,1344.66,348.84
2019-12-09,trail1,201.34,1749.51,151.36,1343.56,339.53
2019-12-06,trail1,201.05,1751.6,151.75,1340.62,335.89
2019-12-05,trail1,199.36,1740.48,149.93,1328.13,330.37
2019-12-04,trail1,198.71,1760.69,149.85,1320.54,333.03
2019-12-03,trail1,198.82,1769.96,149.31,1295.28,336.2
2019-12-02,trail1,199.7,1781.6,149.55,1289.92,334.87
2019-11-29,trail1,201.64,1800.8,151.38,1304.96,329.94
2019-11-27,trail1,202.0,1818.51,152.32,1312.99,331.29
2019-11-26,trail1,198.97,1796.94,152.03,1313.55,328.92
2019-11-25,trail1,199.79,1773.84,151.23,1306.69,336.34
2019-11-22,trail1,198.82,1745.72,149.59,1295.34,333.04
2019-11-21,trail1,197.93,1734.71,149.48,1301.35,354.83
2019-11-20,trail1,197.51,1745.53,149.62,1303.05,352.22
2019-11-19,trail1,199.32,1752.79,150.39,1315.46,359.52
2019-11-18,trail1,197.4,1752.53,150.34,1320.7,349.99
2019-11-15,trail1,195.1,1739.49,149.97,1334.87,352.17
2019-11-14,trail1,193.15,1754.6,148.06,1311.46,349.35
2019-11-13,trail1,193.19,1753.11,147.31,1298.0,346.11
2019-11-12,trail1,194.47,1778.0,147.07,1298.8,349.93
2019-11-11,trail1,189.61,1771.65,146.11,1299.19,345.09
2019-11-08,trail1,190.84,1785.88,145.96,1311.37,337.14
2019-11-07,trail1,190.42,1788.2,144.26,1308.86,335.54
2019-11-06,trail1,191.55,1795.77,144.06,1291.8,326.58
2019-11-05,trail1,194.32,1801.71,144.46,1292.03,317.22
2019-11-04,trail1,194.72,1804.66,144.55,1291.37,317.47
2019-11-01,trail1,193.62,1791.44,143.72,1273.74,313.31
2019-10-31,trail1,191.65,1776.66,143.37,1260.11,314.92
2019-10-30,trail1,188.25,1779.99,144.61,1261.29,315.01
