,Actividad
0,Todas las actividades
1,ALQUILER DE INSTRUMENTOS MUSICALES
2,"ALQUILER DE MESAS, SILLAS, VAJILLAS Y SIMILARES"
3,ALQUILER DE OTROS ARTÍCULOS PARA EL HOGAR Y PERSONALES
4,ALQUILER DE PRENDAS DE VESTIR
5,ALQUILER DE VIDEOCASETES Y DISCOS
6,ARRENDADORAS FINANCIERAS
7,Acabado de productos textiles
8,Actividades administrativas de instituciones de bienestar social
9,Actividades agrícolas combinadas con aprovechamiento forestal
10,Actividades agrícolas combinadas con explotación de animales
11,Actividades agrícolas combinadas con explotación de animales y aprovechamiento forestal
12,Actividades de seguridad nacional
13,Acuñación e impresión de monedas
14,Administración de aeropuertos y helipuertos
15,Administración de cementerios pertenecientes al sector privado
16,Administración de cementerios pertenecientes al sector público
17,Administración de fondos para el retiro
18,Administración de puertos y muelles
19,Administración pública en general
20,Agencias de anuncios publicitarios
21,Agencias de cobranza
22,Agencias de colocación
23,Agencias de compra de medios a petición del cliente
24,Agencias de correo directo
25,Agencias de empleo temporal
26,Agencias de publicidad
27,Agencias de relaciones públicas
28,Agencias de representación de medios
29,Agencias de viajes
30,Agencias noticiosas
31,"Agentes y representantes de artistas, deportistas y similares"
32,"Agentes, ajustadores y gestores de seguros y fianzas"
33,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones
34,Alineación y balanceo de automóviles y camiones
35,Almacenamiento con refrigeración
36,Almacenamiento de productos agrícolas que no requieren refrigeración
37,Almacenes generales de depósito
38,Alquiler de aparatos eléctricos y electrónicos para el hogar y personales
39,Alquiler de autobuses con chofer
40,"Alquiler de autobuses, minibuses y remolques sin chofer"
41,Alquiler de automóviles con chofer
42,Alquiler de automóviles sin chofer
43,Alquiler de camiones de carga sin chofer
44,Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina
45,"Alquiler de equipo de transporte, excepto terrestre"
46,"Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera"
47,Alquiler de maquinaria y equipo comercial y de servicios
48,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales"
49,"Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales"
50,"Alquiler de mesas, sillas, vajillas y similares"
51,Alquiler de otros artículos para el hogar y personales
52,Alquiler de prendas de vestir
53,Alquiler sin intermediación de edificios industriales dentro de un parque industrial
54,Alquiler sin intermediación de oficinas y locales comerciales
55,Alquiler sin intermediación de otros bienes raíces
56,Alquiler sin intermediación de salones para fiestas y convenciones
57,"Alquiler sin intermediación de teatros, estadios, auditorios y similares"
58,Alquiler sin intermediación de viviendas amuebladas
59,Alquiler sin intermediación de viviendas no amuebladas
60,Apicultura
61,"Artistas, escritores y técnicos independientes"
62,Aserraderos integrados
63,Aserrado de tablas y tablones
64,Asesoría en inversiones
65,Asilos y otras residencias del sector privado para el cuidado de ancianos
66,Asilos y otras residencias del sector público para el cuidado de ancianos
67,Asociaciones regulatorias de actividades recreativas
68,Asociaciones y organizaciones civiles
69,Asociaciones y organizaciones de profesionistas
70,Asociaciones y organizaciones laborales y sindicales
71,Asociaciones y organizaciones políticas
72,Asociaciones y organizaciones religiosas
73,"Asociaciones, organizaciones y cámaras de productores, comerciantes y prestadores de servicios"
74,Autotransporte foráneo con refrigeración
75,Autotransporte foráneo de madera
76,Autotransporte foráneo de materiales para la construcción
77,Autotransporte foráneo de materiales y residuos peligrosos
78,Autotransporte foráneo de productos agrícolas sin refrigeración
79,Autotransporte local con refrigeración
80,Autotransporte local de madera
81,Autotransporte local de materiales para la construcción
82,Autotransporte local de materiales y residuos peligrosos
83,Autotransporte local de productos agrícolas sin refrigeración
84,Banca central
85,Banca de desarrollo
86,Banca múltiple
87,"Bares, cantinas y similares"
88,Baños públicos
89,Beneficio de productos agrícolas
90,Beneficio del arroz
91,Beneficio del café
92,Beneficio del tabaco
93,Bibliotecas y archivos del sector privado
94,Bibliotecas y archivos del sector público
95,Billares
96,Boliches
97,Bolsa de valores
98,Bufetes jurídicos
99,COMPAÑÍAS DE FACTORAJE FINANCIERO
100,"Cabañas, villas y similares"
101,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
102,Cajas de ahorro popular
103,Camaronicultura
104,Campamentos y albergues recreativos
105,Campos de golf
106,Cantantes y grupos musicales del sector privado
107,"Captación, tratamiento y suministro de agua realizados por el sector privado"
108,"Captación, tratamiento y suministro de agua realizados por el sector público"
109,Casas de bolsa
110,Casas de cambio
111,Casas de empeño
112,Casas de juegos electrónicos
113,Casinos
114,Caza y captura
115,Centros cambiarios
116,Centros de acondicionamiento físico del sector privado
117,Centros de acondicionamiento físico del sector público
118,Centros de planificación familiar del sector privado
119,Centros de planificación familiar del sector público
120,Centros del sector privado de atención médica externa para enfermos mentales y adictos
121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y personas con discapacidad
122,Centros del sector público de atención médica externa para enfermos mentales y adictos
123,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y personas con discapacidad
124,Centros generales de alquiler
125,"Centros nocturnos, discotecas y similares"
126,Cerrajerías
127,Clubes deportivos del sector privado
128,Clubes deportivos del sector público
129,Clubes o ligas de aficionados
130,Clínicas de consultorios médicos del sector privado
131,Clínicas de consultorios médicos del sector público
132,Colocación de muros falsos y aislamiento
133,Colocación de pisos cerámicos y azulejos
134,Colocación de pisos flexibles y de madera
135,Comercialización de energía eléctrica
136,Comercio al por mayor de abarrotes
137,Comercio al por mayor de artículos de joyería y relojes
138,Comercio al por mayor de artículos de papelería
139,Comercio al por mayor de artículos de perfumería y cosméticos
140,Comercio al por mayor de artículos desechables
141,Comercio al por mayor de artículos y accesorios para diseño y pintura artística
142,Comercio al por mayor de artículos y aparatos deportivos
143,Comercio al por mayor de bebidas no alcohólicas y hielo
144,Comercio al por mayor de blancos
145,Comercio al por mayor de botanas y frituras
146,Comercio al por mayor de calzado
147,Comercio al por mayor de camiones
148,Comercio al por mayor de carne de aves
149,Comercio al por mayor de carnes rojas
150,"Comercio al por mayor de cemento, tabique y grava"
151,Comercio al por mayor de cerveza
152,"Comercio al por mayor de cigarros, puros y tabaco"
153,Comercio al por mayor de combustibles de uso industrial
154,Comercio al por mayor de conservas alimenticias
155,Comercio al por mayor de cueros y pieles
156,Comercio al por mayor de desechos de papel y de cartón
157,Comercio al por mayor de desechos de plástico
158,Comercio al por mayor de desechos de vidrio
159,Comercio al por mayor de desechos metálicos
160,Comercio al por mayor de discos y casetes
161,Comercio al por mayor de dulces y materias primas para repostería
162,Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca
163,Comercio al por mayor de embutidos
164,"Comercio al por mayor de envases en general, papel y cartón para la industria"
165,"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía"
166,Comercio al por mayor de equipo y material eléctrico
167,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra"
168,"Comercio al por mayor de fibras, hilos y telas"
169,Comercio al por mayor de frutas y verduras frescas
170,Comercio al por mayor de ganado y aves en pie
171,Comercio al por mayor de huevo
172,Comercio al por mayor de juguetes y bicicletas
173,Comercio al por mayor de leche y otros productos lácteos
174,Comercio al por mayor de libros
175,Comercio al por mayor de madera para la construcción y la industria
176,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca"
177,Comercio al por mayor de maquinaria y equipo para la construcción y la minería
178,Comercio al por mayor de maquinaria y equipo para la industria manufacturera
179,Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales
180,Comercio al por mayor de materiales metálicos para la construcción y la manufactura
181,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas"
182,Comercio al por mayor de miel
183,Comercio al por mayor de mobiliario y equipo de oficina
184,"Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio"
185,"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo"
186,Comercio al por mayor de otra maquinaria y equipo de uso general
187,Comercio al por mayor de otras materias primas para otras industrias
188,Comercio al por mayor de otros alimentos
189,Comercio al por mayor de otros materiales de desecho
190,"Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos"
191,Comercio al por mayor de otros productos textiles
192,Comercio al por mayor de pan y pasteles
193,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones"
194,Comercio al por mayor de pescados y mariscos
195,Comercio al por mayor de pintura
196,Comercio al por mayor de productos farmacéuticos
197,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial
198,Comercio al por mayor de revistas y periódicos
199,"Comercio al por mayor de ropa, bisutería y accesorios de vestir"
200,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos"
201,Comercio al por mayor de vidrios y espejos
202,Comercio al por mayor de vinos y licores
203,"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor"
204,"Comercio al por menor de alfombras, cortinas, tapices y similares"
205,Comercio al por menor de antigüedades y obras de arte
206,Comercio al por menor de artículos de joyería y relojes
207,Comercio al por menor de artículos de mercería y bonetería
208,Comercio al por menor de artículos de papelería
209,Comercio al por menor de artículos de perfumería y cosméticos
210,Comercio al por menor de artículos desechables
