Artista,Album,No. de canciones del album,Precio del album,Moneda del album,URL del album,Imagen del album
Coldplay,Mylo Xyloto,14,9.99,USD,https://music.apple.com/us/album/mylo-xyloto/726372830?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/0d/bc/ea/0dbceab6-0aea-08a4-36d2-81a2618e85cd/source/100x100bb.jpg
Coldplay,X&Y,14,9.99,USD,https://music.apple.com/us/album/x-y/1123076757?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music18/v4/44/0f/6f/440f6f25-7f35-131f-1f79-648fd53a51f2/source/100x100bb.jpg
Coldplay,Ghost Stories,10,9.99,USD,https://music.apple.com/us/album/ghost-stories/829909653?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music/v4/56/4d/74/564d74d2-3564-886f-1af3-ea754413391c/source/100x100bb.jpg
Coldplay,A Rush of Blood to the Head,11,9.99,USD,https://music.apple.com/us/album/a-rush-of-blood-to-the-head/1122775993?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music30/v4/e6/b5/33/e6b53333-3577-9cd5-1785-904f73feeeec/source/100x100bb.jpg
Coldplay,Parachutes,10,9.99,USD,https://music.apple.com/us/album/parachutes/1122782080?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music60/v4/79/a4/7a/79a47aba-d16b-ec72-8b77-ff3969cec409/source/100x100bb.jpg
Coldplay,A Head Full of Dreams,12,9.99,USD,https://music.apple.com/us/album/a-head-full-of-dreams/1053933969?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music62/v4/b8/5d/ff/b85dff39-32cd-34eb-7b0e-f087707bf254/source/100x100bb.jpg
Coldplay,Live 2012,15,9.99,USD,https://music.apple.com/us/album/live-2012/693573205?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music6/v4/62/92/42/62924288-8f37-7963-4811-39e338dc16ca/source/100x100bb.jpg
Coldplay,Everyday Life,16,9.99,USD,https://music.apple.com/us/album/everyday-life/1484143590?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/69/38/30/6938302a-c15c-cf06-a08d-bb1cd88da6b5/source/100x100bb.jpg
Coldplay,Live In Buenos Aires,24,18.99,USD,https://music.apple.com/us/album/live-in-buenos-aires/1438770205?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/7d/de/91/7dde91f2-c10d-4a67-f98a-4055bbc24744/source/100x100bb.jpg
Coldplay,Every Teardrop Is a Waterfall - Single,3,2.99,USD,https://music.apple.com/us/album/every-teardrop-is-a-waterfall-single/699703229?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music6/v4/01/92/0a/01920a0d-cc74-023c-63d3-d00c37024e58/source/100x100bb.jpg
