Artista,Track,Precio track,Moneda,Album,Video preview,No. de canciones del album,Precio del album,Moneda del album,URL del album,Imagen del album
Coldplay,Oceans (Alternate Live Take),1.99,USD,Ghost Stories: Live 2014,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/bb/89/e5/bb89e574-3901-6a89-e763-c6fe593d7289/mzvf_2647839429627224416.640x356.h264lc.U.p.m4v,11,10.99,USD,https://music.apple.com/us/album/ghost-stories-live-2014/928168764?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music1/v4/25/7d/2f/257d2f50-6133-cdb1-65b4-0dc71b56d6d9/source/100x100bb.jpg
Coldplay,Always In My Head (Alternate Live Take),1.99,USD,Ghost Stories: Live 2014,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/94/8b/7a/948b7ae5-ae4d-6743-3a5a-6f5377381d36/mzvf_3141269894871088303.640x356.h264lc.U.p.m4v,11,10.99,USD,https://music.apple.com/us/album/ghost-stories-live-2014/928168764?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music1/v4/25/7d/2f/257d2f50-6133-cdb1-65b4-0dc71b56d6d9/source/100x100bb.jpg
The Chainsmokers & Coldplay,Something Just Like This,1.29,USD,Something Just Like This (Remix Pack) - EP,N/A,6,5.99,USD,https://music.apple.com/us/album/something-just-like-this-remix-pack-ep/1229287358?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/79/73/c6/7973c67c-3bfa-46f3-9fbd-714c826a3d65/source/100x100bb.jpg
Coldplay,Paradise,1.29,USD,Mylo Xyloto,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/72/b4/6c/72b46cb0-dea8-197c-f0ef-133a0d6ea075/mzvf_6538977144837724530.640x364.h264lc.U.p.m4v,14,9.99,USD,https://music.apple.com/us/album/mylo-xyloto/726372830?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/0d/bc/ea/0dbceab6-0aea-08a4-36d2-81a2618e85cd/source/100x100bb.jpg
Coldplay,Every Teardrop Is a Waterfall,1.29,USD,Mylo Xyloto,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/7b/df/fa/7bdffa36-d012-2037-d242-3da72a3d13c9/mzvf_2000466874900991539.640x480.h264lc.U.p.m4v,14,9.99,USD,https://music.apple.com/us/album/mylo-xyloto/726372830?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/0d/bc/ea/0dbceab6-0aea-08a4-36d2-81a2618e85cd/source/100x100bb.jpg
Coldplay,Charlie Brown,1.29,USD,Mylo Xyloto,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/85/a5/ef/85a5ef9b-e67f-0e26-3b9a-36435c8a1208/mzvf_4703869178717116954.640x364.h264lc.U.p.m4v,14,9.99,USD,https://music.apple.com/us/album/mylo-xyloto/726372830?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/0d/bc/ea/0dbceab6-0aea-08a4-36d2-81a2618e85cd/source/100x100bb.jpg
Coldplay,Hurts Like Heaven,1.29,USD,Mylo Xyloto,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/c6/4a/e1/c64ae173-7a20-7227-ed8c-7e3a80c0e81d/mzvf_4634373449356082979.640x480.h264lc.U.p.m4v,14,9.99,USD,https://music.apple.com/us/album/mylo-xyloto/726372830?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/0d/bc/ea/0dbceab6-0aea-08a4-36d2-81a2618e85cd/source/100x100bb.jpg
Coldplay,Paradise,1.29,USD,Live In Buenos Aires,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/72/b4/6c/72b46cb0-dea8-197c-f0ef-133a0d6ea075/mzvf_6538977144837724530.640x364.h264lc.U.p.m4v,24,18.99,USD,https://music.apple.com/us/album/live-in-buenos-aires/1438770205?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/7d/de/91/7dde91f2-c10d-4a67-f98a-4055bbc24744/source/100x100bb.jpg
Coldplay,Every Teardrop Is a Waterfall,1.29,USD,Live In Buenos Aires,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/7b/df/fa/7bdffa36-d012-2037-d242-3da72a3d13c9/mzvf_2000466874900991539.640x480.h264lc.U.p.m4v,24,18.99,USD,https://music.apple.com/us/album/live-in-buenos-aires/1438770205?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/7d/de/91/7dde91f2-c10d-4a67-f98a-4055bbc24744/source/100x100bb.jpg
Coldplay,Clocks,1.29,USD,A Rush of Blood to the Head,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/c1/8c/3c/c18c3cb9-3e5a-d53d-d3a9-cdcce0350dbe/mzvf_3261766335773624663.640x248.h264lc.U.p.m4v,11,9.99,USD,https://music.apple.com/us/album/a-rush-of-blood-to-the-head/1122775993?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music30/v4/e6/b5/33/e6b53333-3577-9cd5-1785-904f73feeeec/source/100x100bb.jpg
