Artista,Track,Video preview
Coldplay,Oceans (Alternate Live Take),https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/bb/89/e5/bb89e574-3901-6a89-e763-c6fe593d7289/mzvf_2647839429627224416.640x356.h264lc.U.p.m4v
Coldplay,Always In My Head (Alternate Live Take),https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/94/8b/7a/948b7ae5-ae4d-6743-3a5a-6f5377381d36/mzvf_3141269894871088303.640x356.h264lc.U.p.m4v
Coldplay,Adventure of a Lifetime,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/d2/80/48/d280488c-43af-a8a7-c7c1-a9d760c66769/mzvf_2793558364821527298.640x480.h264lc.U.p.m4v
Coldplay,Hymn for the Weekend,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/b1/9f/d1/b19fd1f8-6405-1224-a804-48640b082a01/mzvf_5912454723275110522.640x354.h264lc.U.p.m4v
Coldplay,Magic,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/d2/43/ab/d243ab42-ef1c-41de-7ce7-c9ae1d43119c/mzvf_4718416044967397589.640x480.h264lc.U.p.m4v
Coldplay,Viva la Vida (Anton Corbijn Version),https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/db/a5/88/dba58835-c2e8-26a2-a3cf-81a582eb0c57/mzvf_1689549288030312018.640x480.h264lc.U.p.m4v
Coldplay,Lost? (with JAY-Z) / Viva la Vida (Live at the 51st Annual GRAMMY Awards),https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/aa/0d/bb/aa0dbb8a-6ca7-d994-4c90-c593f45e1ad9/mzvf_8586041427868761949.640x480.h264lc.U.p.m4v
Coldplay,A Sky Full of Stars,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/d3/5d/76/d35d766a-e432-0633-e96a-77d52b74b381/mzvf_6728100992667714302.640x366.h264lc.U.p.m4v
Coldplay,The Scientist,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/bf/44/ff/bf44ff9b-7f67-8a09-05f2-ed811bd0a4ac/mzvf_3171057700918488658.640x348.h264lc.U.p.m4v
Coldplay,Up&Up,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/ad/ea/42/adea4221-51cc-8353-970f-8d6fc0985b8c/mzvf_4175035080601169698.640x480.h264lc.U.p.m4v
Coldplay,Every Teardrop Is a Waterfall (Live),https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/e5/52/fb/e552fbb2-f503-89ad-b14d-df2ae1258bf4/mzvf_8170849330368552946.640x480.h264lc.U.p.m4v
Coldplay,Paradise,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/72/b4/6c/72b46cb0-dea8-197c-f0ef-133a0d6ea075/mzvf_6538977144837724530.640x364.h264lc.U.p.m4v
Coldplay,Yellow,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/33/d4/d4/33d4d4da-cff0-1e28-eadf-d4bd80507a54/mzvf_1302845742146703635.640x384.h264lc.U.p.m4v
Coldplay,Fix You,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/ee/a6/62/eea662c1-b46c-9c28-4dbe-58198471de14/mzvf_7547377810011163652.640x360.h264lc.U.p.m4v
Coldplay,Square One (Live from Austin City Limits),https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/e4/b3/20/e4b32016-08fc-4aae-6a42-e402bfe7df78/mzvf_4186555442067666653.640x380.h264lc.U.p.m4v
Coldplay,Til Kingdom Come (Live from Austin City Limits),https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/c4/2f/1a/c42f1a89-8967-e92d-53f0-e7f6b32cd483/mzvf_7249184061680978778.640x380.h264lc.U.p.m4v
Coldplay,Fix You (Live),https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/7f/18/2f/7f182f72-fe57-93cc-6717-20cdb0d21f9c/mzvf_7732509821580656367.640x480.h264lc.U.p.m4v
