Denominación social,Precepto legal infringido (vigente en la fecha en que se cometió la infracción),Incumplimiento,Sanción,Medio de defensa,Vigencia,Aclaraciones,Fecha de Cobro
,,,,,,,
"Casa de Bolsa Banorte Ixe, S.A. de C.V., Grupo Financiero Banorte","Numeral CB.2, tercer párrafo, inciso d), de la Circular 115/2002",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,"Monto $4,688,314.40 Fecha de imposición03-05-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,24-05-2016
,,,"$4,688,314.40",,,,
"Value, S.A. de C.V., Casa de Bolsa, Value Grupo Financiero","Numeral 6.1, de las Reglas de Fideicomiso.",Falta a las Reglas para las operaciones de fideicomiso.,"Monto $14,956.00 Fecha de imposición10-11-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,01-12-2016
,,,"$14,956.00",,,,
"Vector Casa de Bolsa, S.A. de C.V.","Numeral CB.2, tercer párrafo, inciso d), de la Circular 115/2002",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,"Monto $88,621.60 Fecha de imposición10-06-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,20-06-2016
,,,"$88,621.60",,,,
"Casa de Bolsa Base, S.A. de C.V., Grupo Financiero Base","Numeral 2.1, segundo párrafo, de las Reglas a las que deberán sujetarse las instituciones de crédito; casas de bolsa; sociedades de inversión; sociedades de inversión especializadas de fondos para el retiro, y la Financiera Rural en sus Operaciones de Reporto",Falta a las reglas para las operaciones de reporto.,Descripción  Amonestación  Fecha de imposición31-03-2017,Ninguno,26-04-2017,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
"Masari Casa de Bolsa, S.A.","Numeral CB.3.2.3, primer párrafo, de la Circular 115/2002.",Falta a la regulación para la posición de riesgo cambiario.,Descripción  Amonestación  Fecha de imposición17-05-2018,Ninguno,08-06-2018,Esta conducta no se considera graveNo es reincidente.,
"Monex Casa de Bolsa, S.A. de C.V., Monex Grupo Financiero","Numeral C.B.1.5.4, de la Circular 115/2002.",Falta a la regulación para operaciones de crédito.,Descripción  Amonestación  Fecha de imposición27-03-2018,Ninguno,20-04-2018,Esta conducta no se considera graveNo es reincidente.,
