Enlace Internacional,Fecha,Hora,Cantidad de Energia Asignada de Importacion (MWh),Cantidad de Energia Asignada de Exportacion (MWh)
CD INDUSTRIAL - LAREDO AMER,2022/07/01,1,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,2,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,3,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,4,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,5,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,6,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,7,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,8,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,9,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,10,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,11,0,10
CD INDUSTRIAL - LAREDO AMER,2022/07/01,12,0,10
CD INDUSTRIAL - LAREDO AMER,2022/07/01,13,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,14,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,15,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,16,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,17,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,18,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,19,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,20,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,21,0,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,22,15,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,23,55,0
CD INDUSTRIAL - LAREDO AMER,2022/07/01,24,55,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,1,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,2,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,3,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,4,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,5,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,6,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,7,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,8,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,9,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,10,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,11,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,12,0,25
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,13,0,40
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,14,0,30
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,15,0,30
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,16,0,30
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,17,0,30
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,18,0,30
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,19,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,20,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,21,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,22,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,23,0,0
CUMBRES FRONTERA - RAIL ROAD,2022/07/01,24,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,1,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,2,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,3,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,4,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,5,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,6,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,7,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,8,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,9,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,10,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,11,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,12,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,13,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,14,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,15,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,16,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,17,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,18,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,19,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,20,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,21,0,0
PIEDRAS NEGRAS - EAGLE PASS,2022/07/01,22,0,0
