Ranking,Name Player,Nacionality,Current Points
1,Coco Gauff,USA,"5,945"
2,Zhang Shuai,CHN,"5,655"
3,Kateřina Siniaková,CZE,"5,615"
4,Elise Mertens,BEL,"5,580"
5,Veronika Kudermetova,RUS,"4,985"
6,Gabriela Dabrowski,CAN,"4,550"
7,Barbora Krejčíková,CZE,"4,471"
8,Jessica Pegula,USA,"4,450"
9,Samantha Stosur,AUS,"4,071"
10,Ena Shibahara,JPN,"3,890"
11,Shuko Aoyama,JPN,"3,720"
12,Giuliana Olmos,MEX,"3,680"
13,Desirae Krawczyk,USA,"3,670"
14,Yang Zhaoxuan,CHN,"3,390"
15,Jeļena Ostapenko,LAT,"3,260"
16,Xu Yifan,CHN,"3,210"
17,Lyudmyla Kichenok,UKR,"3,165"
18,Demi Schuurs,NED,"3,150"
19,Storm Sanders,AUS,"3,115"
20,Catherine McNally,USA,"3,105"
