Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
5568882336,Defeat,2020-11-22,38,10,4,10,5.0,236
5568882336,Defeat,2020-11-22,33,7,4,7,3.5,242
5568882336,Defeat,2020-11-22,24,8,4,5,3.25,164
5568882336,Victory,2020-11-22,15,9,0,0,9.0,112
5568882336,Defeat,2020-11-16,100,45,10,22,6.7,640
5568882336,Defeat,2020-11-15,73,14,8,29,5.38,438
5568882336,Defeat,2020-11-15,34,15,5,5,4.0,230
5568882336,Defeat,2020-11-15,30,8,3,7,5.0,212
5568882336,Defeat,2020-11-15,38,22,7,2,3.43,213
5568882336,Defeat,2020-11-04,56,14,7,6,2.86,399
5568882336,Defeat,2020-11-01,63,19,11,8,2.45,362
5568882336,Defeat,2020-11-01,23,9,2,11,10.0,190
5568882336,Defeat,2020-10-30,39,17,8,10,3.38,276
5568882336,Victory,2020-10-30,38,9,2,9,9.0,287
5568882336,Defeat,2020-10-15,20,4,3,5,3.0,136
5568882336,Defeat,2020-10-15,35,8,9,13,2.33,242
5568882336,Victory,2020-10-15,25,6,5,9,3.0,169
5568882336,Victory,2020-10-15,25,15,1,0,15.0,230
5568882336,Defeat,2020-10-15,50,23,8,6,3.62,336
5568882336,Victory,2020-10-01,48,27,10,16,4.3,177
5568882336,Defeat,2020-10-01,50,16,6,10,4.33,278
5568882336,Defeat,2020-10-01,23,11,2,7,9.0,137
5568882336,Defeat,2020-10-01,15,4,0,2,6.0,116
5568882336,Defeat,2020-10-01,38,17,4,12,7.25,277
5568882336,Defeat,2020-10-01,26,10,2,9,9.5,192
5568882336,Defeat,2020-09-30,19,4,3,5,3.0,130
5568882336,Defeat,2020-09-30,19,5,1,7,12.0,125
5568882336,Victory,2020-09-30,20,3,0,5,8.0,161
5568882336,Victory,2020-09-30,19,4,0,5,9.0,153
5568882336,Defeat,2020-09-29,37,21,5,10,6.2,250
5568882336,Defeat,2020-09-29,26,9,3,9,6.0,190
5568882336,Defeat,2020-09-29,38,9,6,18,4.5,205
5568882336,Defeat,2020-09-29,21,11,1,8,19.0,170
5568882336,Victory,2020-09-28,23,5,1,7,12.0,155
5568882336,Defeat,2020-09-28,32,10,4,12,5.5,198
5568882336,Victory,2020-09-28,20,7,0,0,7.0,184
5568882336,Defeat,2020-09-28,26,4,1,2,6.0,207
5568882336,Defeat,2020-09-28,25,4,3,14,6.0,145
5568882336,Defeat,2020-09-28,15,4,0,1,5.0,122
5568882336,Defeat,2020-09-28,18,3,2,2,2.5,123
5568882336,Defeat,2020-09-28,20,5,1,3,8.0,127
5568882336,Defeat,2020-09-28,18,3,1,6,9.0,149
5568882336,Victory,2020-09-24,23,11,2,8,9.5,195
5568882336,Defeat,2020-09-24,23,4,0,7,11.0,227
5568882336,Defeat,2020-09-24,21,6,2,10,8.0,167
5568882336,Defeat,2020-09-24,21,9,0,3,12.0,172
5568882336,Defeat,2020-09-24,19,3,4,1,1.0,129
5568882336,Defeat,2020-09-24,16,4,0,1,5.0,128
5568882336,Defeat,2020-09-24,24,4,1,3,7.0,203
5568882336,Defeat,2020-09-24,23,14,2,5,9.5,177
5568882336,Victory,2020-09-23,41,22,7,10,4.57,296
5568882336,Defeat,2020-09-23,37,16,5,14,6.0,286
5568882336,Victory,2020-09-23,58,7,9,18,2.78,308
5568882336,Defeat,2020-09-23,24,9,3,5,4.67,177
5568882336,Defeat,2020-09-17,42,10,16,10,1.25,131
5568882336,Defeat,2020-09-17,35,7,5,10,3.4,247
5568882336,Defeat,2020-09-17,19,12,6,7,3.17,93
5568882336,Defeat,2020-09-13,49,10,6,9,3.17,307
5568882336,Victory,2020-08-23,75,19,4,23,10.5,639
5568882336,Victory,2020-07-22,77,22,8,22,5.5,236
5568882336,Defeat,2020-07-22,21,6,2,3,4.5,163
5568882336,Defeat,2020-07-22,31,4,3,14,6.0,108
5568882336,Victory,2020-07-22,23,12,4,4,4.0,119
5568882336,Defeat,2020-07-22,28,5,9,13,2.0,119
5568882336,Victory,2020-07-22,40,23,7,14,5.29,158
5568882336,Defeat,2020-07-22,18,2,2,5,3.5,117
5568882336,Defeat,2020-07-22,20,3,4,2,1.25,103
5568882336,Defeat,2020-07-22,35,14,6,9,3.83,162
5568882336,Defeat,2020-07-21,20,6,3,4,3.33,164
5568882336,Defeat,2020-07-21,27,7,0,3,10.0,246
5568882336,Victory,2020-07-21,20,2,1,8,10.0,168
5568882336,Victory,2020-07-21,28,17,0,10,27.0,223
5568882336,Victory,2020-07-21,38,15,8,12,3.38,262
5568882336,Defeat,2020-07-20,31,8,5,6,2.8,226
5568882336,Victory,2020-07-20,30,8,2,10,9.0,255
5568882336,Victory,2020-07-20,19,3,0,4,7.0,163
5568882336,Defeat,2020-07-20,33,6,7,3,1.29,196
5568882336,Victory,2020-07-20,24,12,1,1,13.0,205
5568882336,Defeat,2020-07-20,42,7,7,9,2.29,285
5568882336,Victory,2020-07-20,34,16,2,11,13.5,268
5568882336,Victory,2020-07-19,23,16,4,3,4.75,195
5568882336,Victory,2020-07-19,34,16,2,9,12.5,301
5568882336,Defeat,2020-07-19,38,8,3,9,5.67,325
5568882336,Victory,2020-07-19,24,11,2,7,9.0,208
5568882336,Victory,2020-07-19,31,11,0,3,14.0,268
5568882336,Defeat,2020-07-19,28,10,1,3,13.0,261
5568882336,Defeat,2020-07-18,16,1,3,1,0.67,9
5568882336,Victory,2020-07-18,37,8,5,15,4.6,118
5568882336,Defeat,2020-07-18,25,3,1,4,7.0,222
5568882336,Defeat,2020-07-18,23,6,1,6,12.0,193
5568882336,Victory,2020-07-18,25,12,1,7,19.0,214
5568882336,Defeat,2020-07-18,16,7,3,8,5.0,129
5568882336,Defeat,2020-07-18,17,5,0,7,12.0,140
5568882336,Defeat,2020-07-18,20,3,2,8,5.5,137
5568882336,Defeat,2020-07-18,20,5,0,8,13.0,164
5568882336,Victory,2020-07-18,25,2,1,0,2.0,229
5568882336,Defeat,2020-07-18,27,6,2,3,4.5,196
5568882336,Victory,2020-07-18,25,8,0,4,12.0,200
5568882336,Defeat,2020-07-17,17,2,4,2,1.0,127
