Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
ABC XYZ,GrandMaster,Victory,2020-11-09,35,13,4,10,5.75,269
ABC XYZ,GrandMaster,Victory,2020-11-09,21,9,0,6,15.0,167
ABC XYZ,GrandMaster,Defeat,2020-11-09,28,5,5,4,1.8,183
ABC XYZ,GrandMaster,Victory,2020-11-09,24,2,0,4,6.0,152
ABC XYZ,GrandMaster,Victory,2020-11-09,26,10,2,7,8.5,178
ABC XYZ,GrandMaster,Defeat,2020-11-09,20,3,1,3,6.0,133
ABC XYZ,GrandMaster,Victory,2020-11-09,22,5,3,6,3.67,127
ABC XYZ,GrandMaster,Victory,2020-11-09,32,13,5,11,4.8,230
ABC XYZ,GrandMaster,Defeat,2020-11-09,15,1,4,1,0.5,11
ABC XYZ,GrandMaster,Defeat,2020-11-09,38,5,7,11,2.29,274
ABC XYZ,GrandMaster,Defeat,2020-11-09,17,2,3,0,0.67,106
ABC XYZ,GrandMaster,Defeat,2020-11-09,25,6,8,5,1.38,192
ABC XYZ,GrandMaster,Victory,2020-11-09,33,9,3,12,7.0,258
ABC XYZ,GrandMaster,Victory,2020-11-09,28,5,3,4,3.0,215
ABC XYZ,GrandMaster,Defeat,2020-11-09,25,1,4,5,1.5,174
ABC XYZ,GrandMaster,Victory,2020-11-08,34,11,4,5,4.0,324
ABC XYZ,GrandMaster,Defeat,2020-11-08,24,2,4,6,2.0,181
ABC XYZ,GrandMaster,Victory,2020-11-08,28,4,5,15,3.8,219
ABC XYZ,GrandMaster,Defeat,2020-11-08,15,3,5,2,1.0,109
ABC XYZ,GrandMaster,Defeat,2020-11-08,24,5,7,6,1.57,175
ABC XYZ,GrandMaster,Defeat,2020-11-08,18,1,5,2,0.6,167
ABC XYZ,GrandMaster,Victory,2020-11-08,40,9,6,12,3.5,253
ABC XYZ,GrandMaster,Victory,2020-11-07,26,7,4,11,4.5,158
ABC XYZ,GrandMaster,Victory,2020-11-07,15,0,0,0,0.0,109
ABC XYZ,GrandMaster,Defeat,2020-11-07,15,0,2,1,0.5,79
ABC XYZ,GrandMaster,Defeat,2020-11-07,40,6,7,12,2.57,255
ABC XYZ,GrandMaster,Victory,2020-11-07,19,9,0,4,13.0,169
ABC XYZ,GrandMaster,Victory,2020-11-07,25,7,2,8,7.5,226
ABC XYZ,GrandMaster,Victory,2020-11-07,26,6,1,7,13.0,160
ABC XYZ,GrandMaster,Victory,2020-11-07,32,8,4,11,4.75,226
ABC XYZ,GrandMaster,Victory,2020-11-07,27,5,5,15,4.0,171
ABC XYZ,GrandMaster,Victory,2020-11-07,29,7,5,8,3.0,181
ABC XYZ,GrandMaster,Victory,2020-11-07,31,7,6,11,3.0,197
ABC XYZ,GrandMaster,Victory,2020-11-07,21,6,0,3,9.0,181
ABC XYZ,GrandMaster,Victory,2020-11-07,37,13,8,11,3.0,285
