Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
ACS LuckyStar,Master,Victory,2020-12-12,25,10,1,7,17.0,183
ACS LuckyStar,Master,Victory,2020-12-12,17,4,2,6,5.0,137
ACS LuckyStar,Master,Defeat,2020-12-12,30,5,7,9,2.0,172
ACS LuckyStar,Master,Victory,2020-12-12,21,5,3,5,3.33,169
ACS LuckyStar,Master,Victory,2020-12-12,16,4,0,1,5.0,150
ACS LuckyStar,Master,Defeat,2020-12-12,22,1,5,4,1.0,142
ACS LuckyStar,Master,Victory,2020-12-07,37,6,2,14,10.0,275
ACS LuckyStar,Master,Victory,2020-12-06,26,4,3,6,3.33,200
ACS LuckyStar,Master,Defeat,2020-12-03,20,3,8,4,0.88,112
ACS LuckyStar,Master,Victory,2020-12-03,22,3,1,12,15.0,152
ACS LuckyStar,Master,Defeat,2020-11-27,31,9,6,10,3.17,184
ACS LuckyStar,Master,Victory,2020-11-27,19,11,4,11,5.5,116
ACS LuckyStar,Master,Defeat,2020-11-26,19,4,4,1,1.25,116
ACS LuckyStar,Master,Victory,2020-11-23,19,4,6,7,1.83,110
ACS LuckyStar,Master,Victory,2020-11-23,20,2,3,8,3.33,121
ACS LuckyStar,Master,Victory,2020-11-22,34,9,5,11,4.0,177
ACS LuckyStar,Master,Defeat,2020-11-20,27,2,4,9,2.75,151
ACS LuckyStar,Master,Victory,2020-11-20,33,9,6,17,4.33,204
ACS LuckyStar,Master,Victory,2020-11-20,23,7,5,11,3.6,145
ACS LuckyStar,Master,Victory,2020-11-19,26,3,7,6,1.29,138
ACS LuckyStar,Master,Defeat,2020-11-19,29,5,9,5,1.11,196
ACS LuckyStar,Master,Defeat,2020-11-18,28,3,10,6,0.9,166
ACS LuckyStar,Master,Victory,2020-11-18,24,4,7,14,2.57,15
ACS LuckyStar,Master,Victory,2020-11-18,25,11,3,15,8.67,187
ACS LuckyStar,Master,Victory,2020-11-18,35,4,4,10,3.5,261
ACS LuckyStar,Master,Defeat,2020-11-13,34,10,11,12,2.0,147
ACS LuckyStar,Master,Victory,2020-11-13,25,9,9,14,2.56,134
ACS LuckyStar,Master,Victory,2020-11-13,27,4,1,12,16.0,220
ACS LuckyStar,Master,Victory,2020-11-12,21,1,1,6,7.0,147
ACS LuckyStar,Master,Victory,2020-11-09,29,7,4,8,3.75,174
ACS LuckyStar,Master,Victory,2020-11-09,25,6,5,3,1.8,204
ACS LuckyStar,Master,Victory,2020-11-06,22,3,0,2,5.0,206
ACS LuckyStar,Master,Defeat,2020-11-06,24,4,8,6,1.25,150
ACS LuckyStar,Master,Victory,2020-11-06,16,5,0,6,11.0,129
ACS LuckyStar,Master,Victory,2020-11-04,32,9,3,9,6.0,267
ACS LuckyStar,Master,Defeat,2020-10-28,28,3,9,6,1.0,189
ACS LuckyStar,Master,Defeat,2020-10-28,15,1,2,2,1.5,105
ACS LuckyStar,Master,Defeat,2020-10-28,22,3,4,1,1.0,193
ACS LuckyStar,Master,Victory,2020-10-27,15,6,0,5,11.0,108
ACS LuckyStar,Master,Victory,2020-10-22,32,10,5,10,4.0,199
ACS LuckyStar,Master,Victory,2020-10-22,20,5,3,4,3.0,153
ACS LuckyStar,Master,Defeat,2020-10-22,32,7,6,11,3.0,176
ACS LuckyStar,Master,Defeat,2020-10-22,38,7,6,12,3.17,234
ACS LuckyStar,Master,Defeat,2020-10-22,26,1,7,2,0.43,136
ACS LuckyStar,Master,Victory,2020-10-22,31,4,3,8,4.0,206
ACS LuckyStar,Master,Defeat,2020-10-22,29,3,5,8,2.2,218
ACS LuckyStar,Master,Victory,2020-10-21,42,9,6,10,3.17,318
ACS LuckyStar,Master,Victory,2020-10-21,27,8,4,5,3.25,156
ACS LuckyStar,Master,Victory,2020-10-21,23,6,1,8,14.0,181
ACS LuckyStar,Master,Defeat,2020-10-10,22,2,4,4,1.5,177
ACS LuckyStar,Master,Victory,2020-10-10,24,9,1,9,18.0,212
ACS LuckyStar,Master,Defeat,2020-10-10,38,11,7,8,2.71,231
ACS LuckyStar,Master,Defeat,2020-10-10,16,1,2,1,1.0,115
ACS LuckyStar,Master,Victory,2020-10-10,28,5,3,11,5.33,203
ACS LuckyStar,Master,Defeat,2020-10-08,28,3,8,8,1.38,166
ACS LuckyStar,Master,Victory,2020-10-08,33,9,7,12,3.0,215
ACS LuckyStar,Master,Defeat,2020-10-08,27,15,7,13,4.0,162
ACS LuckyStar,Master,Victory,2020-10-05,31,4,7,12,2.29,35
ACS LuckyStar,Master,Defeat,2020-09-21,28,5,8,3,1.0,195
ACS LuckyStar,Master,Defeat,2020-09-16,27,4,8,3,0.88,172
ACS LuckyStar,Master,Defeat,2020-09-16,37,10,6,12,3.67,262
ACS LuckyStar,Master,Victory,2020-09-16,25,12,10,10,2.2,169
ACS LuckyStar,Master,Victory,2020-09-16,35,2,7,11,1.86,229
ACS LuckyStar,Master,Victory,2020-09-16,34,2,4,6,2.0,172
ACS LuckyStar,Master,Defeat,2020-09-14,23,6,9,2,0.89,131
ACS LuckyStar,Master,Defeat,2020-09-14,29,10,5,6,3.2,214
ACS LuckyStar,Master,Victory,2020-09-14,27,16,3,13,9.67,172
ACS LuckyStar,Master,Victory,2020-09-11,18,0,0,3,3.0,166
ACS LuckyStar,Master,Victory,2020-09-11,29,6,5,9,3.0,183
ACS LuckyStar,Master,Victory,2020-09-11,30,2,8,10,1.5,151
ACS LuckyStar,Master,Victory,2020-09-11,25,5,3,6,3.67,190
ACS LuckyStar,Master,Defeat,2020-09-11,31,8,7,14,3.14,223
ACS LuckyStar,Master,Victory,2020-09-10,31,7,3,6,4.33,255
ACS LuckyStar,Master,Defeat,2020-09-10,29,9,8,15,3.0,183
ACS LuckyStar,Master,Victory,2020-09-10,28,10,1,6,16.0,253
ACS LuckyStar,Master,Defeat,2020-09-10,26,3,4,4,1.75,132
ACS LuckyStar,Master,Victory,2020-09-09,27,7,7,6,1.86,153
ACS LuckyStar,Master,Defeat,2020-09-08,22,3,5,2,1.0,97
ACS LuckyStar,Master,Defeat,2020-09-08,28,6,4,3,2.25,206
