Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
AJDeus,Diamond I,Defeat,2020-12-12,22,1,7,4,0.71,121
AJDeus,Diamond I,Victory,2020-12-12,25,22,4,7,7.25,161
AJDeus,Diamond I,Victory,2020-12-12,21,7,0,2,9.0,204
AJDeus,Diamond I,Defeat,2020-12-09,23,3,7,2,0.71,104
AJDeus,Diamond I,Defeat,2020-12-09,18,2,4,0,0.5,107
AJDeus,Diamond I,Defeat,2020-12-08,26,8,2,2,5.0,168
AJDeus,Diamond I,Victory,2020-12-08,30,3,5,7,2.0,197
AJDeus,Diamond I,Victory,2020-12-08,24,6,2,7,6.5,189
AJDeus,Diamond I,Victory,2020-12-08,30,4,3,8,4.0,232
AJDeus,Diamond I,Defeat,2020-12-07,20,2,4,1,0.75,83
AJDeus,Diamond I,Victory,2020-12-07,26,6,4,13,4.75,176
AJDeus,Diamond I,Victory,2020-12-07,22,7,3,10,5.67,130
AJDeus,Diamond I,Victory,2020-12-07,19,5,2,7,6.0,132
AJDeus,Diamond I,Defeat,2020-12-05,31,4,5,10,2.8,181
AJDeus,Diamond I,Victory,2020-12-05,32,10,2,12,11.0,194
AJDeus,Diamond I,Defeat,2020-12-04,19,3,0,1,4.0,109
AJDeus,Diamond I,Defeat,2020-12-04,27,2,9,12,1.56,160
AJDeus,Diamond I,Defeat,2020-12-02,26,8,3,3,3.67,161
AJDeus,Diamond I,Victory,2020-12-01,28,5,2,5,5.0,210
AJDeus,Diamond I,Victory,2020-12-01,27,2,4,7,2.25,145
AJDeus,Diamond I,Victory,2020-12-01,28,6,3,4,3.33,186
AJDeus,Diamond I,Victory,2020-12-01,31,11,4,5,4.0,134
AJDeus,Diamond I,Defeat,2020-11-30,27,5,8,4,1.12,201
AJDeus,Diamond I,Victory,2020-11-30,26,8,3,8,5.33,155
AJDeus,Diamond I,Victory,2020-11-30,36,3,7,14,2.43,230
AJDeus,Diamond I,Victory,2020-11-30,25,7,2,9,8.0,161
AJDeus,Diamond I,Victory,2020-11-30,23,8,0,11,19.0,176
AJDeus,Diamond I,Defeat,2020-11-30,18,0,6,1,0.17,102
AJDeus,Diamond I,Defeat,2020-11-29,21,1,3,0,0.33,127
AJDeus,Diamond I,Defeat,2020-11-29,29,2,7,8,1.43,147
AJDeus,Diamond I,Victory,2020-11-29,26,6,1,9,15.0,160
AJDeus,Diamond I,Defeat,2020-11-28,20,1,4,1,0.5,101
AJDeus,Diamond I,Defeat,2020-11-28,31,5,6,15,3.33,170
AJDeus,Diamond I,Defeat,2020-11-28,26,4,3,5,3.0,218
AJDeus,Diamond I,Defeat,2020-11-28,24,3,6,4,1.17,15
AJDeus,Diamond I,Defeat,2020-11-26,32,4,5,4,1.6,176
AJDeus,Diamond I,Defeat,2020-11-26,30,9,8,4,1.62,171
AJDeus,Diamond I,Defeat,2020-11-25,27,0,8,10,1.25,154
AJDeus,Diamond I,Defeat,2020-11-23,24,0,5,4,0.8,117
AJDeus,Diamond I,Victory,2020-11-21,32,15,2,13,14.0,199
AJDeus,Diamond I,Defeat,2020-11-21,26,3,12,2,0.42,158
AJDeus,Diamond I,Victory,2020-11-21,24,8,4,10,4.5,157
AJDeus,Diamond I,Victory,2020-11-21,40,9,13,18,2.08,214
AJDeus,Diamond I,Defeat,2020-11-21,34,3,4,9,3.0,212
AJDeus,Diamond I,Victory,2020-11-20,29,0,8,3,0.38,97
AJDeus,Diamond I,Defeat,2020-11-20,26,4,8,5,1.12,135
AJDeus,Diamond I,Victory,2020-11-20,30,2,6,23,4.17,35
AJDeus,Diamond I,Defeat,2020-11-20,27,5,6,5,1.67,128
AJDeus,Diamond I,Defeat,2020-11-19,27,2,8,6,1.0,123
AJDeus,Diamond I,Victory,2020-11-19,43,13,9,14,3.0,233
AJDeus,Diamond I,Defeat,2020-11-19,21,4,4,2,1.5,109
AJDeus,Diamond I,Victory,2020-11-19,26,4,2,14,9.0,139
AJDeus,Diamond I,Victory,2020-11-19,15,3,1,5,8.0,127
AJDeus,Diamond I,Defeat,2020-11-19,34,2,8,8,1.25,37
AJDeus,Diamond I,Defeat,2020-11-19,25,1,5,2,0.6,147
AJDeus,Diamond I,Defeat,2020-11-19,32,5,7,12,2.43,193
AJDeus,Diamond I,Victory,2020-11-19,26,5,6,14,3.17,162
AJDeus,Diamond I,Victory,2020-11-18,30,6,10,20,2.6,42
AJDeus,Diamond I,Victory,2020-11-18,42,8,7,17,3.57,252
AJDeus,Diamond I,Defeat,2020-11-18,35,16,4,9,6.25,267
AJDeus,Diamond I,Victory,2020-11-18,22,8,3,11,6.33,129
AJDeus,Diamond I,Victory,2020-11-18,34,11,3,11,7.33,253
AJDeus,Diamond I,Defeat,2020-11-17,30,14,4,11,6.25,182
AJDeus,Diamond I,Victory,2020-11-17,19,3,1,2,5.0,114
AJDeus,Diamond I,Defeat,2020-11-17,26,2,5,3,1.0,119
AJDeus,Diamond I,Defeat,2020-11-17,32,8,7,7,2.14,183
AJDeus,Diamond I,Defeat,2020-11-17,28,8,4,4,3.0,191
AJDeus,Diamond I,Defeat,2020-11-17,23,8,7,2,1.43,117
AJDeus,Diamond I,Victory,2020-11-17,24,7,1,13,20.0,170
AJDeus,Diamond I,Defeat,2020-11-17,25,2,4,3,1.25,136
