Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Aggression,Victory,2020-11-20,23,12,4,8,5.0,167
Aggression,Defeat,2020-11-20,16,4,4,0,1.0,123
Aggression,Defeat,2020-11-20,21,4,5,1,1.0,128
Aggression,Victory,2020-11-20,41,5,6,16,3.5,309
Aggression,Defeat,2020-11-19,19,0,2,0,0.0,74
Aggression,Victory,2020-11-19,17,4,0,0,4.0,143
Aggression,Victory,2020-11-18,25,8,1,6,14.0,267
Aggression,Defeat,2020-11-18,17,1,2,0,0.5,135
Aggression,Victory,2020-11-17,25,2,2,5,3.5,244
Aggression,Defeat,2020-11-17,34,1,4,8,2.25,270
Aggression,Victory,2020-11-17,28,8,3,6,4.67,227
Aggression,Defeat,2020-11-17,30,9,8,7,2.0,249
Aggression,Defeat,2020-11-17,15,2,1,1,3.0,111
Aggression,Defeat,2020-11-13,15,0,1,0,0.0,27
Aggression,Defeat,2020-11-12,24,5,9,3,0.89,123
Aggression,Defeat,2020-11-12,22,0,6,1,0.17,151
Aggression,Defeat,2020-11-12,30,0,5,3,0.6,245
Aggression,Victory,2020-11-12,36,9,8,8,2.12,278
Aggression,Victory,2020-11-12,32,4,4,9,3.25,247
Aggression,Defeat,2020-11-12,42,10,11,13,2.09,259
Aggression,Defeat,2020-11-12,42,12,9,15,3.0,279
Aggression,Defeat,2020-11-12,36,5,10,12,1.7,246
Aggression,Defeat,2020-11-11,26,10,6,2,2.0,183
Aggression,Victory,2020-11-11,31,9,4,18,6.75,248
Aggression,Victory,2020-11-11,33,8,4,12,5.0,253
Aggression,Victory,2020-11-11,22,7,1,5,12.0,177
Aggression,Victory,2020-11-11,27,8,3,2,3.33,220
Aggression,Defeat,2020-11-11,20,4,2,0,2.0,144
Aggression,Defeat,2020-11-11,22,0,5,0,0.0,112
Aggression,Victory,2020-11-11,35,10,4,9,4.75,280
Aggression,Defeat,2020-11-11,28,0,13,8,0.62,31
Aggression,Defeat,2020-11-10,22,0,8,2,0.25,4
Aggression,Victory,2020-11-10,24,10,2,2,6.0,186
Aggression,Victory,2020-11-10,19,2,1,3,5.0,132
Aggression,Defeat,2020-11-10,32,2,5,1,0.6,235
Aggression,Victory,2020-11-05,27,6,6,15,3.5,172
Aggression,Defeat,2020-08-21,16,0,5,0,0.0,116
Aggression,Victory,2020-08-21,15,2,0,2,4.0,121
Aggression,Defeat,2020-08-14,21,0,1,0,0.0,100
Aggression,Defeat,2020-08-13,22,0,3,0,0.0,126
Aggression,Victory,2020-08-02,39,17,6,8,4.17,315
Aggression,Defeat,2020-08-01,29,2,11,2,0.36,157
Aggression,Defeat,2020-07-31,23,6,7,4,1.43,135
Aggression,Victory,2020-07-31,31,13,6,12,4.17,235
Aggression,Defeat,2020-07-31,30,1,3,1,0.67,179
Aggression,Defeat,2020-06-26,23,1,7,3,0.57,164
Aggression,Defeat,2020-03-08,27,4,8,2,0.75,190
Aggression,Victory,2020-03-01,32,8,5,18,5.2,159
Aggression,Defeat,2020-02-21,45,10,7,16,3.71,264
Aggression,Victory,2020-02-21,31,4,6,16,3.33,207
Aggression,Defeat,2020-02-20,15,0,2,0,0.0,2
Aggression,Victory,2020-02-19,25,6,0,6,12.0,203
Aggression,Defeat,2020-02-18,22,2,8,1,0.38,131
Aggression,Defeat,2020-02-18,28,1,6,2,0.5,108
Aggression,Defeat,2020-01-23,17,0,10,0,0.0,34
Aggression,Victory,2020-01-14,29,7,2,14,10.5,177
Aggression,Defeat,2020-01-14,28,2,8,5,0.88,172
Aggression,Victory,2019-11-14,38,2,4,8,2.5,246
Aggression,Defeat,2019-11-14,31,2,7,4,0.86,146
Aggression,Defeat,2019-11-14,44,14,7,17,4.43,279
Aggression,Defeat,2019-11-03,30,5,8,13,2.25,188
Aggression,Victory,2019-10-15,21,0,2,3,1.5,174
Aggression,Victory,2019-10-15,28,8,2,8,8.0,212
Aggression,Defeat,2019-09-24,22,3,5,0,0.6,152
Aggression,Victory,2019-09-24,37,10,10,9,1.9,262
Aggression,Victory,2019-09-24,15,3,0,2,5.0,124
Aggression,Victory,2019-09-24,20,4,5,4,1.6,138
Aggression,Victory,2019-09-24,23,8,3,13,7.0,185
Aggression,Victory,2019-06-16,39,8,4,15,5.75,239
Aggression,Defeat,2019-06-16,12,1,1,0,1.0,57
Aggression,Victory,2019-06-16,33,12,7,10,3.14,201
Aggression,Defeat,2019-06-16,28,3,9,4,0.78,172
Aggression,Defeat,2019-05-08,26,1,3,1,0.67,155
