,W/L/R,Date,Duration,KDA,CS
0,Defeat,8 days ago,29min,6  /  8  /  5,200 CS
1,Victory,8 days ago,21min,5  /  3  /  3,171 CS
2,Defeat,9 days ago,28min,1  /  3  /  2,212 CS
3,Victory,9 days ago,29min,8  /  6  /  11,190 CS
4,Defeat,11 days ago,23min,1  /  3  /  2,165 CS
5,Defeat,11 days ago,42min,4  /  10  /  15,261 CS
6,Victory,11 days ago,25min,7  /  5  /  6,182 CS
7,Victory,23 days ago,14min,2  /  0  /  3,103 CS
8,Victory,50 days ago,28min,3  /  1  /  14,180 CS
9,Defeat,50 days ago,25min,3  /  14  /  7,78 CS
10,Victory,52 days ago,28min,1  /  5  /  11,189 CS
11,Defeat,59 days ago,21min,0  /  11  /  4,81 CS
12,Defeat,87 days ago,32min,4  /  12  /  5,186 CS
13,Defeat,106 days ago,27min,5  /  5  /  10,200 CS
14,Defeat,106 days ago,25min,1  /  4  /  0,170 CS
15,Remake,106 days ago,3min,0  /  0  /  0,15 CS
16,Defeat,107 days ago,20min,4  /  4  /  0,193 CS
17,Defeat,107 days ago,31min,2  /  7  /  7,197 CS
18,Defeat,107 days ago,29min,7  /  4  /  8,202 CS
19,Defeat,108 days ago,23min,0  /  8  /  9,129 CS
20,Defeat,108 days ago,20min,2  /  6  /  7,103 CS
21,Victory,108 days ago,33min,3  /  6  /  3,260 CS
22,Defeat,108 days ago,20min,0  /  3  /  0,39 CS
23,Victory,109 days ago,29min,8  /  4  /  13,195 CS
24,Defeat,109 days ago,27min,4  /  5  /  7,209 CS
25,Victory,109 days ago,26min,10  /  2  /  10,192 CS
26,Victory,109 days ago,36min,7  /  9  /  11,268 CS
27,Defeat,109 days ago,28min,6  /  5  /  6,179 CS
28,Victory,110 days ago,20min,2  /  1  /  6,153 CS
29,Victory,110 days ago,21min,2  /  2  /  5,158 CS
30,Victory,110 days ago,36min,7  /  7  /  9,234 CS
31,Victory,110 days ago,24min,4  /  1  /  4,243 CS
32,Defeat,110 days ago,30min,4  /  8  /  8,143 CS
33,Defeat,110 days ago,25min,3  /  5  /  6,182 CS
34,Victory,111 days ago,34min,9  /  3  /  12,295 CS
35,Victory,111 days ago,25min,3  /  4  /  4,219 CS
36,Victory,111 days ago,28min,12  /  3  /  13,230 CS
37,Victory,111 days ago,24min,1  /  8  /  6,161 CS
38,Defeat,112 days ago,24min,0  /  10  /  3,135 CS
39,Victory,112 days ago,25min,1  /  4  /  3,195 CS
40,Victory,112 days ago,32min,3  /  3  /  19,250 CS
41,Victory,113 days ago,32min,2  /  5  /  11,218 CS
42,Defeat,113 days ago,18min,0  /  5  /  0,21 CS
43,Victory,114 days ago,20min,2  /  3  /  5,146 CS
44,Victory,114 days ago,21min,4  /  3  /  2,173 CS
45,Victory,114 days ago,22min,1  /  7  /  8,130 CS
46,Defeat,116 days ago,20min,0  /  5  /  3,119 CS
47,Victory,118 days ago,22min,10  /  3  /  2,190 CS
48,Defeat,118 days ago,29min,0  /  5  /  2,210 CS
49,Victory,124 days ago,18min,4  /  2  /  5,147 CS
50,Defeat,125 days ago,39min,3  /  8  /  1,312 CS
51,Defeat,125 days ago,16min,2  /  4  /  0,112 CS
52,Defeat,150 days ago,25min,3  /  7  /  3,137 CS
53,Defeat,172 days ago,29min,2  /  5  /  3,145 CS
54,Victory,199 days ago,29min,3  /  6  /  5,202 CS
55,Defeat,201 days ago,23min,1  /  3  /  1,179 CS
56,Victory,201 days ago,31min,3  /  5  /  9,228 CS
57,Defeat,214 days ago,24min,0  /  1  /  2,119 CS
58,Defeat,237 days ago,26min,0  /  4  /  2,163 CS
59,Victory,237 days ago,22min,6  /  2  /  7,147 CS
60,Defeat,237 days ago,33min,1  /  9  /  4,178 CS
61,Defeat,239 days ago,26min,3  /  5  /  2,98 CS
62,Victory,239 days ago,27min,1  /  5  /  11,204 CS
63,Victory,239 days ago,23min,0  /  4  /  8,154 CS
64,Defeat,240 days ago,14min,0  /  3  /  0,23 CS
65,Defeat,241 days ago,20min,1  /  4  /  0,74 CS
66,Victory,241 days ago,24min,2  /  3  /  14,164 CS
67,Defeat,242 days ago,33min,1  /  5  /  5,249 CS
68,Victory,242 days ago,25min,4  /  6  /  19,22 CS
69,Defeat,242 days ago,23min,1  /  3  /  1,169 CS
70,Defeat,242 days ago,27min,1  /  9  /  7,142 CS
71,Defeat,243 days ago,15min,0  /  3  /  1,67 CS
72,Remake,243 days ago,3min,0  /  0  /  0,15 CS
73,Defeat,244 days ago,23min,1  /  7  /  3,128 CS
74,Victory,244 days ago,22min,4  /  2  /  10,188 CS
75,Victory,244 days ago,16min,2  /  3  /  2,113 CS
76,Defeat,244 days ago,28min,1  /  6  /  7,142 CS
77,Defeat,244 days ago,29min,3  /  6  /  8,219 CS
78,Defeat,244 days ago,23min,1  /  6  /  0,159 CS
79,Victory,245 days ago,32min,5  /  7  /  7,188 CS
80,Victory,245 days ago,18min,5  /  0  /  7,155 CS
81,Defeat,245 days ago,33min,4  /  9  /  10,183 CS
82,Victory,246 days ago,39min,0  /  1  /  0,31 CS
83,Victory,247 days ago,29min,1  /  8  /  14,126 CS
84,Victory,247 days ago,21min,3  /  4  /  2,156 CS
85,Defeat,247 days ago,29min,6  /  5  /  7,175 CS
86,Defeat,247 days ago,22min,2  /  6  /  0,144 CS
87,Defeat,247 days ago,16min,1  /  2  /  2,74 CS
88,Defeat,247 days ago,12min,0  /  2  /  0,74 CS
89,Victory,247 days ago,26min,4  /  4  /  9,199 CS
90,Victory,247 days ago,24min,2  /  1  /  9,207 CS
91,Victory,247 days ago,29min,4  /  4  /  13,215 CS
92,Defeat,247 days ago,26min,4  /  8  /  2,179 CS
93,Defeat,248 days ago,31min,4  /  8  /  7,173 CS
94,Victory,248 days ago,25min,1  /  4  /  2,175 CS
95,Victory,249 days ago,15min,2  /  0  /  3,116 CS
