Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
Aggression,Defeat,11daysago,29min,6,8,5,1.38,200CS
Aggression,Victory,11daysago,21min,5,3,3,2.67,171CS
Aggression,Defeat,12daysago,28min,1,3,2,1.0,212CS
Aggression,Victory,13daysago,29min,8,6,11,3.17,190CS
Aggression,Defeat,14daysago,23min,1,3,2,1.0,165CS
Aggression,Defeat,14daysago,42min,4,10,15,1.9,261CS
Aggression,Victory,14daysago,25min,7,5,6,2.6,182CS
Aggression,Victory,27daysago,14min,2,0,3,5.0,103CS
Aggression,Victory,53daysago,28min,3,1,14,17.0,180CS
Aggression,Defeat,53daysago,25min,3,14,7,0.71,78CS
Aggression,Victory,55daysago,28min,1,5,11,2.4,189CS
Aggression,Defeat,62daysago,21min,0,11,4,0.36,81CS
Aggression,Defeat,90daysago,32min,4,12,5,0.75,186CS
Aggression,Defeat,109daysago,27min,5,5,10,3.0,200CS
Aggression,Defeat,109daysago,25min,1,4,0,0.25,170CS
Aggression,Defeat,110daysago,20min,4,4,0,1.0,193CS
Aggression,Defeat,110daysago,31min,2,7,7,1.29,197CS
Aggression,Defeat,110daysago,29min,7,4,8,3.75,202CS
Aggression,Defeat,111daysago,23min,0,8,9,1.12,129CS
Aggression,Defeat,111daysago,20min,2,6,7,1.5,103CS
Aggression,Victory,111daysago,33min,3,6,3,1.0,260CS
Aggression,Defeat,111daysago,20min,0,3,0,0.0,39CS
Aggression,Victory,112daysago,29min,8,4,13,5.25,195CS
Aggression,Defeat,112daysago,27min,4,5,7,2.2,209CS
Aggression,Victory,112daysago,26min,10,2,10,10.0,192CS
Aggression,Victory,112daysago,36min,7,9,11,2.0,268CS
Aggression,Defeat,112daysago,28min,6,5,6,2.4,179CS
Aggression,Victory,113daysago,20min,2,1,6,8.0,153CS
Aggression,Victory,113daysago,21min,2,2,5,3.5,158CS
Aggression,Victory,113daysago,36min,7,7,9,2.29,234CS
Aggression,Victory,113daysago,24min,4,1,4,8.0,243CS
Aggression,Defeat,113daysago,30min,4,8,8,1.5,143CS
Aggression,Defeat,114daysago,25min,3,5,6,1.8,182CS
Aggression,Victory,114daysago,34min,9,3,12,7.0,295CS
Aggression,Victory,114daysago,25min,3,4,4,1.75,219CS
Aggression,Victory,114daysago,28min,12,3,13,8.33,230CS
