Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Aleicrag,Platinum I,Defeat,2020-03-30,21,0,4,1,0.25,108
Aleicrag,Platinum I,Victory,2020-03-29,32,2,7,20,3.14,25
Aleicrag,Platinum I,Defeat,2020-03-25,23,2,9,3,0.56,22
Aleicrag,Platinum I,Victory,2020-03-25,24,3,2,17,10.0,13
Aleicrag,Platinum I,Defeat,2020-03-25,45,7,8,30,4.62,57
Aleicrag,Platinum I,Defeat,2020-03-24,30,0,6,13,2.17,22
Aleicrag,Platinum I,Victory,2020-03-24,20,0,2,12,6.0,25
Aleicrag,Platinum I,Victory,2020-03-23,26,1,1,12,13.0,13
Aleicrag,Platinum I,Victory,2020-03-23,27,4,4,17,5.25,16
Aleicrag,Platinum I,Victory,2020-03-23,21,6,0,11,17.0,11
Aleicrag,Platinum I,Defeat,2020-02-28,29,3,8,13,2.0,35
Aleicrag,Platinum I,Defeat,2020-02-28,27,1,6,9,1.67,35
Aleicrag,Platinum I,Defeat,2020-02-26,22,3,5,6,1.8,36
Aleicrag,Platinum I,Victory,2020-02-26,18,0,2,5,2.5,18
Aleicrag,Platinum I,Victory,2020-02-24,25,3,1,17,20.0,10
Aleicrag,Platinum I,Defeat,2020-02-24,26,3,6,5,1.33,141
Aleicrag,Platinum I,Victory,2020-02-21,20,7,5,12,3.8,13
Aleicrag,Platinum I,Defeat,2020-02-21,30,0,3,9,3.0,32
Aleicrag,Platinum I,Defeat,2020-02-20,27,2,1,3,5.0,33
Aleicrag,Platinum I,Defeat,2020-02-17,22,2,3,5,2.33,126
Aleicrag,Platinum I,Victory,2020-02-10,26,0,3,11,3.67,27
Aleicrag,Platinum I,Defeat,2020-02-09,29,4,5,12,3.2,29
Aleicrag,Platinum I,Defeat,2020-02-08,28,3,6,17,3.33,30
Aleicrag,Platinum I,Victory,2020-02-08,25,2,2,15,8.5,31
Aleicrag,Platinum I,Victory,2020-02-07,37,3,4,24,6.75,20
Aleicrag,Platinum I,Victory,2020-02-07,30,2,3,27,9.67,19
Aleicrag,Platinum I,Defeat,2020-02-07,27,3,6,6,1.5,36
Aleicrag,Platinum I,Victory,2020-02-07,32,3,7,19,3.14,21
Aleicrag,Platinum I,Defeat,2020-02-07,21,0,3,3,1.0,25
Aleicrag,Platinum I,Victory,2020-02-07,26,2,4,12,3.5,29
Aleicrag,Platinum I,Victory,2020-02-07,19,3,2,9,6.0,20
Aleicrag,Platinum I,Victory,2020-02-07,32,1,0,15,16.0,186
Aleicrag,Platinum I,Victory,2020-02-07,33,3,5,12,3.0,49
Aleicrag,Platinum I,Defeat,2020-02-07,25,2,4,6,2.0,35
Aleicrag,Platinum I,Victory,2020-02-07,30,5,4,15,5.0,28
Aleicrag,Platinum I,Victory,2020-02-07,16,4,1,9,13.0,12
Aleicrag,Platinum I,Victory,2020-02-07,29,5,5,17,4.4,31
Aleicrag,Platinum I,Victory,2020-02-06,36,8,4,22,7.5,38
Aleicrag,Platinum I,Victory,2020-02-05,27,2,3,18,6.67,44
Aleicrag,Platinum I,Victory,2020-02-04,34,3,3,19,7.33,30
Aleicrag,Platinum I,Defeat,2020-02-04,25,3,6,2,0.83,35
Aleicrag,Platinum I,Victory,2020-02-04,26,1,2,12,6.5,18
Aleicrag,Platinum I,Victory,2020-02-04,26,5,2,19,12.0,32
Aleicrag,Platinum I,Victory,2020-02-04,20,6,2,13,9.5,33
Aleicrag,Platinum I,Victory,2020-02-02,26,4,2,12,8.0,33
Aleicrag,Platinum I,Defeat,2020-02-02,33,1,4,12,3.25,41
Aleicrag,Platinum I,Victory,2020-02-02,22,2,1,9,11.0,141
Aleicrag,Platinum I,Defeat,2020-02-01,26,3,3,6,3.0,134
Aleicrag,Platinum I,Defeat,2020-02-01,28,1,3,11,4.0,38
Aleicrag,Platinum I,Defeat,2020-02-01,27,0,8,7,0.88,20
Aleicrag,Platinum I,Defeat,2020-02-01,29,2,3,12,4.67,34
Aleicrag,Platinum I,Victory,2020-02-01,22,2,1,9,11.0,13
Aleicrag,Platinum I,Defeat,2020-02-01,37,7,6,19,4.33,83
Aleicrag,Platinum I,Defeat,2020-02-01,35,0,5,14,2.8,30
Aleicrag,Platinum I,Victory,2020-02-01,29,0,2,22,11.0,36
Aleicrag,Platinum I,Defeat,2020-02-01,28,3,8,6,1.12,39
Aleicrag,Platinum I,Victory,2020-01-31,24,6,3,17,7.67,13
Aleicrag,Platinum I,Victory,2020-01-31,20,5,4,12,4.25,16
Aleicrag,Platinum I,Victory,2020-01-31,37,2,7,33,5.0,35
Aleicrag,Platinum I,Victory,2020-01-31,21,9,2,13,11.0,21
Aleicrag,Platinum I,Victory,2020-01-31,39,7,5,24,6.2,33
Aleicrag,Platinum I,Victory,2020-01-31,19,2,1,9,11.0,16
Aleicrag,Platinum I,Victory,2020-01-31,26,6,1,10,16.0,42
Aleicrag,Platinum I,Defeat,2020-01-30,18,2,3,4,2.0,30
Aleicrag,Platinum I,Victory,2020-01-30,27,5,2,15,10.0,29
Aleicrag,Platinum I,Defeat,2020-01-30,27,3,5,10,2.6,32
Aleicrag,Platinum I,Defeat,2020-01-30,40,3,6,16,3.17,52
Aleicrag,Platinum I,Defeat,2020-01-30,22,2,6,8,1.67,29
Aleicrag,Platinum I,Victory,2020-01-30,20,1,2,22,11.5,25
Aleicrag,Platinum I,Victory,2020-01-30,30,2,3,16,6.0,36
Aleicrag,Platinum I,Victory,2020-01-30,34,2,4,19,5.25,45
Aleicrag,Platinum I,Victory,2020-01-30,35,4,5,12,3.2,43
Aleicrag,Platinum I,Victory,2020-01-30,18,3,0,9,12.0,23
Aleicrag,Platinum I,Victory,2020-01-30,23,2,4,14,4.0,31
Aleicrag,Platinum I,Victory,2020-01-29,26,2,4,23,6.25,31
Aleicrag,Platinum I,Defeat,2020-01-29,30,1,7,11,1.71,39
Aleicrag,Platinum I,Victory,2020-01-29,16,3,3,9,4.0,19
Aleicrag,Platinum I,Victory,2020-01-28,24,3,2,12,7.5,39
Aleicrag,Platinum I,Victory,2020-01-27,33,2,4,19,5.25,40
Aleicrag,Platinum I,Defeat,2020-01-27,33,1,5,18,3.8,40
Aleicrag,Platinum I,Victory,2020-01-27,31,2,6,18,3.33,44
Aleicrag,Platinum I,Victory,2020-01-27,25,3,2,17,10.0,20
Aleicrag,Platinum I,Victory,2020-01-27,16,1,2,12,6.5,24
Aleicrag,Platinum I,Defeat,2020-01-27,27,2,7,11,1.86,29
Aleicrag,Platinum I,Victory,2020-01-27,22,2,0,12,14.0,33
Aleicrag,Platinum I,Victory,2020-01-27,21,3,3,20,7.67,23
Aleicrag,Platinum I,Defeat,2020-01-27,23,2,4,8,2.5,31
Aleicrag,Platinum I,Victory,2020-01-27,27,4,2,18,11.0,40
Aleicrag,Platinum I,Defeat,2020-01-20,21,0,3,2,0.67,26
