Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
CHAPLI,Iron I,Defeat,2020-08-26,33,9,8,14,2.88,183
CHAPLI,Iron I,Defeat,2020-08-26,20,3,2,2,2.5,117
CHAPLI,Iron I,Victory,2020-08-26,34,3,4,10,3.25,205
CHAPLI,Iron I,Victory,2020-08-25,25,7,4,15,5.5,55
CHAPLI,Iron I,Victory,2020-08-25,30,13,5,4,3.4,194
CHAPLI,Iron I,Victory,2020-08-24,32,25,5,13,7.6,252
CHAPLI,Iron I,Defeat,2020-08-24,20,0,2,1,0.5,151
CHAPLI,Iron I,Defeat,2020-08-24,28,10,8,4,1.75,198
CHAPLI,Iron I,Victory,2020-08-24,23,10,2,8,9.0,156
CHAPLI,Iron I,Victory,2020-08-24,26,13,3,7,6.67,181
CHAPLI,Iron I,Defeat,2020-08-24,22,4,6,6,1.67,140
CHAPLI,Iron I,Defeat,2020-08-24,31,5,5,2,1.4,175
CHAPLI,Iron I,Victory,2020-08-23,35,11,5,18,5.8,230
