Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Carillon,GrandMaster,Victory,2020-11-08,29,0,6,25,4.17,21
Carillon,GrandMaster,Defeat,2020-11-08,31,7,10,12,1.9,131
Carillon,GrandMaster,Defeat,2020-11-07,23,1,7,1,0.29,127
Carillon,GrandMaster,Victory,2020-11-06,33,2,8,24,3.25,27
Carillon,GrandMaster,Defeat,2020-11-03,23,1,4,8,2.25,17
Carillon,GrandMaster,Defeat,2020-11-03,26,1,6,10,1.83,32
Carillon,GrandMaster,Defeat,2020-11-03,20,1,6,2,0.5,28
Carillon,GrandMaster,Defeat,2020-10-30,27,3,8,12,1.88,149
Carillon,GrandMaster,Defeat,2020-10-30,27,4,6,1,0.83,194
Carillon,GrandMaster,Defeat,2020-10-29,22,2,6,2,0.67,12
Carillon,GrandMaster,Victory,2020-10-29,34,5,5,7,2.4,41
Carillon,GrandMaster,Defeat,2020-10-29,22,1,6,4,0.83,17
Carillon,GrandMaster,Victory,2020-10-26,28,2,8,18,2.5,43
Carillon,GrandMaster,Defeat,2020-10-26,32,3,11,10,1.18,40
Carillon,GrandMaster,Victory,2020-10-25,36,4,9,21,2.78,49
Carillon,GrandMaster,Defeat,2020-10-25,28,5,6,4,1.5,20
Carillon,GrandMaster,Defeat,2020-10-24,31,1,7,15,2.29,20
Carillon,GrandMaster,Defeat,2020-10-23,37,7,7,4,1.57,217
Carillon,GrandMaster,Victory,2020-10-22,23,1,1,3,4.0,12
Carillon,GrandMaster,Victory,2020-10-18,22,5,4,10,3.75,27
Carillon,GrandMaster,Defeat,2020-10-18,25,0,8,6,0.75,9
Carillon,GrandMaster,Victory,2020-10-18,22,1,1,10,11.0,22
Carillon,GrandMaster,Defeat,2020-10-18,25,0,7,3,0.43,16
Carillon,GrandMaster,Defeat,2020-10-17,25,1,8,14,1.88,37
Carillon,GrandMaster,Victory,2020-10-16,28,7,4,10,4.25,160
Carillon,GrandMaster,Defeat,2020-10-11,26,0,8,8,1.0,16
Carillon,GrandMaster,Defeat,2020-10-11,20,2,4,1,0.75,15
Carillon,GrandMaster,Defeat,2020-10-11,25,1,6,5,1.0,38
Carillon,GrandMaster,Defeat,2020-10-11,25,1,4,6,1.75,146
Carillon,GrandMaster,Defeat,2020-10-09,27,1,7,10,1.57,13
Carillon,GrandMaster,Victory,2020-10-09,25,2,2,26,14.0,37
Carillon,GrandMaster,Defeat,2020-10-09,30,4,10,12,1.6,31
Carillon,GrandMaster,Victory,2020-10-08,25,2,1,11,13.0,15
Carillon,GrandMaster,Defeat,2020-10-06,30,2,5,15,3.4,21
Carillon,GrandMaster,Victory,2020-10-03,26,2,0,10,12.0,30
Carillon,GrandMaster,Defeat,2020-10-02,19,4,4,5,2.25,20
Carillon,GrandMaster,Defeat,2020-10-02,27,0,11,12,1.09,36
Carillon,GrandMaster,Defeat,2020-10-02,30,4,9,15,2.11,33
Carillon,GrandMaster,Victory,2020-10-01,22,14,2,5,9.5,171
Carillon,GrandMaster,Defeat,2020-09-23,32,5,7,19,3.43,19
