Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
ColmilloGamerDLB,Diamond I,Defeat,2020-11-21,26,3,9,5,0.89,125
ColmilloGamerDLB,Diamond I,Defeat,2020-11-21,40,14,9,10,2.67,180
ColmilloGamerDLB,Diamond I,Victory,2020-11-20,30,19,4,10,7.25,134
ColmilloGamerDLB,Diamond I,Victory,2020-11-17,24,2,5,1,0.6,121
ColmilloGamerDLB,Diamond I,Victory,2020-11-17,32,10,12,10,1.67,165
ColmilloGamerDLB,Diamond I,Victory,2020-11-14,24,9,2,4,6.5,164
ColmilloGamerDLB,Diamond I,Defeat,2020-11-13,28,9,7,1,1.43,174
ColmilloGamerDLB,Diamond I,Defeat,2020-11-13,25,0,9,14,1.56,34
ColmilloGamerDLB,Diamond I,Defeat,2020-11-13,31,6,14,10,1.14,74
ColmilloGamerDLB,Diamond I,Defeat,2020-11-13,34,11,6,4,2.5,174
ColmilloGamerDLB,Diamond I,Victory,2020-11-12,35,18,8,15,4.12,176
ColmilloGamerDLB,Diamond I,Victory,2020-11-06,23,6,0,3,9.0,152
ColmilloGamerDLB,Diamond I,Victory,2020-11-06,22,5,0,6,11.0,141
ColmilloGamerDLB,Diamond I,Victory,2020-11-06,22,18,4,5,5.75,130
ColmilloGamerDLB,Diamond I,Defeat,2020-11-01,27,4,8,4,1.0,163
ColmilloGamerDLB,Diamond I,Victory,2020-11-01,27,3,6,7,1.67,150
ColmilloGamerDLB,Diamond I,Defeat,2020-11-01,24,0,6,4,0.67,121
ColmilloGamerDLB,Diamond I,Victory,2020-10-30,17,6,2,1,3.5,107
ColmilloGamerDLB,Diamond I,Defeat,2020-10-30,31,8,8,5,1.62,140
ColmilloGamerDLB,Diamond I,Victory,2020-10-30,22,9,2,2,5.5,134
ColmilloGamerDLB,Diamond I,Victory,2020-10-30,25,4,6,5,1.5,128
ColmilloGamerDLB,Diamond I,Victory,2020-10-30,27,15,5,10,5.0,123
ColmilloGamerDLB,Diamond I,Defeat,2020-10-29,23,5,4,1,1.5,149
ColmilloGamerDLB,Diamond I,Defeat,2020-10-29,30,14,6,4,3.0,167
ColmilloGamerDLB,Diamond I,Defeat,2020-10-29,28,1,5,4,1.0,47
ColmilloGamerDLB,Diamond I,Defeat,2020-10-29,29,1,6,3,0.67,181
ColmilloGamerDLB,Diamond I,Victory,2020-10-27,38,9,8,7,2.0,214
ColmilloGamerDLB,Diamond I,Victory,2020-10-25,30,10,5,11,4.2,183
ColmilloGamerDLB,Diamond I,Defeat,2020-10-25,14,1,6,1,0.33,69
ColmilloGamerDLB,Diamond I,Victory,2020-10-24,35,11,4,10,5.25,173
ColmilloGamerDLB,Diamond I,Victory,2020-10-22,28,11,4,7,4.5,136
ColmilloGamerDLB,Diamond I,Victory,2020-10-22,41,10,13,16,2.0,191
ColmilloGamerDLB,Diamond I,Victory,2020-10-21,33,13,3,3,5.33,230
ColmilloGamerDLB,Diamond I,Victory,2020-10-21,42,12,7,16,4.0,215
ColmilloGamerDLB,Diamond I,Victory,2020-10-21,36,8,4,11,4.75,178
ColmilloGamerDLB,Diamond I,Victory,2020-10-21,31,12,7,8,2.86,214
ColmilloGamerDLB,Diamond I,Defeat,2020-10-21,37,8,11,7,1.36,191
ColmilloGamerDLB,Diamond I,Defeat,2020-10-21,16,1,5,0,0.2,72
ColmilloGamerDLB,Diamond I,Defeat,2020-10-21,30,3,6,7,1.67,131
ColmilloGamerDLB,Diamond I,Victory,2020-10-20,43,12,7,13,3.57,241
ColmilloGamerDLB,Diamond I,Defeat,2020-10-20,32,15,6,7,3.67,139
ColmilloGamerDLB,Diamond I,Victory,2020-10-20,23,9,3,3,4.0,166
ColmilloGamerDLB,Diamond I,Defeat,2020-10-20,30,6,9,10,1.78,169
ColmilloGamerDLB,Diamond I,Victory,2020-10-17,29,10,5,10,4.0,175
ColmilloGamerDLB,Diamond I,Defeat,2020-10-17,25,4,5,6,2.0,112
ColmilloGamerDLB,Diamond I,Defeat,2020-09-25,20,3,7,5,1.14,93
ColmilloGamerDLB,Diamond I,Victory,2020-09-01,26,11,1,12,23.0,178
ColmilloGamerDLB,Diamond I,Defeat,2020-09-01,28,1,8,8,1.12,103
ColmilloGamerDLB,Diamond I,Defeat,2020-09-01,40,8,7,6,2.0,212
ColmilloGamerDLB,Diamond I,Defeat,2020-09-01,26,3,5,6,1.8,115
ColmilloGamerDLB,Diamond I,Victory,2020-08-27,28,2,3,18,6.67,41
ColmilloGamerDLB,Diamond I,Defeat,2020-08-19,21,3,6,1,0.67,118
ColmilloGamerDLB,Diamond I,Defeat,2020-08-19,25,3,3,3,2.0,130
ColmilloGamerDLB,Diamond I,Victory,2020-08-16,15,4,0,2,6.0,24
ColmilloGamerDLB,Diamond I,Victory,2020-08-11,32,8,6,11,3.17,147
ColmilloGamerDLB,Diamond I,Defeat,2020-08-10,29,10,7,3,1.86,157
ColmilloGamerDLB,Diamond I,Victory,2020-07-21,28,15,1,6,21.0,152
ColmilloGamerDLB,Diamond I,Defeat,2020-07-21,26,2,8,4,0.75,109
ColmilloGamerDLB,Diamond I,Victory,2020-06-22,13,6,0,2,8.0,98
ColmilloGamerDLB,Diamond I,Defeat,2020-06-22,22,1,8,2,0.38,83
ColmilloGamerDLB,Diamond I,Defeat,2020-06-19,35,8,9,11,2.11,158
ColmilloGamerDLB,Diamond I,Victory,2020-06-16,24,7,3,7,4.67,124
ColmilloGamerDLB,Diamond I,Victory,2020-06-16,29,3,7,11,2.0,91
ColmilloGamerDLB,Diamond I,Defeat,2020-06-16,25,1,2,0,0.5,209
ColmilloGamerDLB,Diamond I,Defeat,2020-06-09,32,5,7,4,1.29,187
ColmilloGamerDLB,Diamond I,Defeat,2020-05-24,26,9,2,6,7.5,177
ColmilloGamerDLB,Diamond I,Defeat,2020-05-24,27,2,4,0,0.5,182
ColmilloGamerDLB,Diamond I,Victory,2020-05-23,16,1,1,1,2.0,97
ColmilloGamerDLB,Diamond I,Defeat,2020-05-20,28,3,6,1,0.67,156
ColmilloGamerDLB,Diamond I,Victory,2020-05-20,23,2,0,3,5.0,186
ColmilloGamerDLB,Diamond I,Victory,2020-05-20,15,4,2,3,3.5,82
ColmilloGamerDLB,Diamond I,Victory,2020-05-20,31,9,7,18,3.86,175
ColmilloGamerDLB,Diamond I,Defeat,2020-05-16,27,5,5,5,2.0,154
ColmilloGamerDLB,Diamond I,Victory,2020-05-16,25,17,2,5,11.0,180
ColmilloGamerDLB,Diamond I,Victory,2020-05-16,25,4,0,2,6.0,181
ColmilloGamerDLB,Diamond I,Defeat,2020-05-16,20,3,2,0,1.5,133
ColmilloGamerDLB,Diamond I,Victory,2020-05-16,30,4,1,13,17.0,140
ColmilloGamerDLB,Diamond I,Defeat,2020-05-16,14,1,2,1,1.0,90
ColmilloGamerDLB,Diamond I,Defeat,2020-05-16,23,2,5,1,0.6,114
ColmilloGamerDLB,Diamond I,Victory,2020-05-15,37,8,5,11,3.8,214
ColmilloGamerDLB,Diamond I,Victory,2020-05-15,23,7,2,7,7.0,137
ColmilloGamerDLB,Diamond I,Defeat,2020-05-15,31,11,4,5,4.0,171
ColmilloGamerDLB,Diamond I,Defeat,2020-05-15,25,9,8,1,1.25,155
ColmilloGamerDLB,Diamond I,Defeat,2020-05-15,24,4,5,1,1.0,132
ColmilloGamerDLB,Diamond I,Defeat,2020-05-15,20,3,6,1,0.67,124
ColmilloGamerDLB,Diamond I,Defeat,2020-05-15,31,0,6,18,3.0,51
ColmilloGamerDLB,Diamond I,Victory,2020-05-10,32,9,3,10,6.33,186
ColmilloGamerDLB,Diamond I,Victory,2020-05-10,34,14,3,8,7.33,220
ColmilloGamerDLB,Diamond I,Defeat,2020-05-10,27,4,3,2,2.0,142
ColmilloGamerDLB,Diamond I,Defeat,2020-05-10,34,4,7,8,1.71,187
ColmilloGamerDLB,Diamond I,Victory,2020-05-09,37,4,6,16,3.33,179
ColmilloGamerDLB,Diamond I,Victory,2020-05-09,30,8,6,3,1.83,167
ColmilloGamerDLB,Diamond I,Victory,2020-05-08,19,8,0,5,13.0,135
ColmilloGamerDLB,Diamond I,Defeat,2020-05-08,26,4,7,3,1.0,127
ColmilloGamerDLB,Diamond I,Victory,2020-05-06,23,3,2,7,5.0,147
ColmilloGamerDLB,Diamond I,Victory,2020-05-05,21,9,2,3,6.0,146
ColmilloGamerDLB,Diamond I,Victory,2020-05-03,48,10,12,12,1.83,250
ColmilloGamerDLB,Diamond I,Defeat,2020-04-28,28,3,8,5,1.0,136
ColmilloGamerDLB,Diamond I,Defeat,2020-04-28,32,2,7,11,1.86,148
ColmilloGamerDLB,Diamond I,Victory,2020-04-27,23,12,2,5,8.5,126
ColmilloGamerDLB,Diamond I,Defeat,2020-04-26,29,1,6,5,1.0,152
