Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Cosa,Victory,2020-08-06,30,7,3,7,4.67,238
Cosa,Victory,2020-08-06,38,7,9,11,2.0,245
Cosa,Victory,2020-08-06,27,10,2,8,9.0,235
Cosa,Victory,2020-08-06,17,8,1,3,11.0,145
Cosa,Defeat,2020-08-06,24,4,5,3,1.4,191
Cosa,Victory,2020-05-30,28,19,5,4,4.6,216
Cosa,Defeat,2020-05-02,28,8,6,3,1.83,177
Cosa,Victory,2020-05-02,36,22,2,8,15.0,287
Cosa,Victory,2020-05-02,33,20,7,12,4.57,231
Cosa,Defeat,2020-04-25,27,9,5,7,3.2,177
Cosa,Victory,2020-04-25,33,14,0,12,26.0,283
Cosa,Defeat,2020-04-22,16,6,4,1,1.75,106
Cosa,Defeat,2020-04-22,19,9,3,3,4.0,142
Cosa,Defeat,2020-04-22,18,2,3,1,1.0,115
Cosa,Defeat,2020-04-19,29,10,7,4,2.0,170
Cosa,Defeat,2020-04-19,31,14,7,5,2.71,232
Cosa,Victory,2020-04-19,30,13,4,3,4.0,244
Cosa,Defeat,2020-04-19,22,7,4,2,2.25,143
Cosa,Defeat,2020-04-18,14,0,3,1,0.33,51
Cosa,Victory,2020-04-18,34,10,4,7,4.25,278
Cosa,Victory,2020-04-18,28,6,6,6,2.0,227
Cosa,Defeat,2020-04-18,21,6,5,2,1.6,119
Cosa,Victory,2020-02-09,23,17,2,5,11.0,187
Cosa,Victory,2020-02-09,33,5,8,13,2.25,202
Cosa,Defeat,2020-01-14,21,2,6,2,0.67,112
Cosa,Victory,2020-01-14,33,22,6,9,5.17,252
Cosa,Victory,2020-01-14,25,21,5,8,5.8,190
Cosa,Defeat,2020-01-14,33,16,7,11,3.86,234
Cosa,Defeat,2020-01-14,25,8,7,6,2.0,182
Cosa,Defeat,2020-01-14,20,2,4,3,1.25,153
Cosa,Defeat,2020-01-12,23,3,6,2,0.83,169
Cosa,Victory,2020-01-12,38,5,8,9,1.75,335
Cosa,Victory,2020-01-12,29,21,5,3,4.8,209
Cosa,Defeat,2020-01-10,37,19,9,8,3.0,246
Cosa,Defeat,2020-01-09,33,21,8,7,3.5,235
Cosa,Defeat,2020-01-09,15,1,4,0,0.25,83
Cosa,Victory,2020-01-09,37,6,7,10,2.29,236
Cosa,Defeat,2019-12-07,20,4,5,2,1.2,93
Cosa,Defeat,2019-12-07,24,5,4,4,2.25,178
Cosa,Defeat,2019-12-06,26,13,11,2,1.36,159
Cosa,Defeat,2019-12-06,28,16,6,8,4.0,186
Cosa,Victory,2019-12-06,32,16,6,7,3.83,276
Cosa,Defeat,2019-12-06,28,12,6,8,3.33,134
Cosa,Victory,2019-12-06,24,10,4,8,4.5,211
Cosa,Victory,2019-12-06,23,6,1,5,11.0,179
Cosa,Defeat,2019-10-10,31,7,5,1,1.6,107
Cosa,Victory,2019-10-10,33,21,8,8,3.62,175
Cosa,Defeat,2019-10-10,25,4,5,2,1.2,158
Cosa,Victory,2019-10-10,34,17,8,6,2.88,211
Cosa,Defeat,2019-10-10,19,0,10,0,0.0,70
Cosa,Victory,2019-10-10,24,17,4,7,6.0,154
Cosa,Victory,2019-10-10,24,20,2,3,11.5,171
Cosa,Defeat,2019-10-10,16,0,4,2,0.5,88
Cosa,Defeat,2019-10-06,34,11,10,12,2.3,219
Cosa,Victory,2019-10-06,32,12,9,5,1.89,184
Cosa,Defeat,2019-10-06,17,1,4,4,1.25,108
Cosa,Victory,2019-10-06,23,10,3,4,4.67,162
Cosa,Victory,2019-10-06,24,8,5,5,2.6,172
Cosa,Defeat,2019-10-03,26,4,3,0,1.33,87
Cosa,Defeat,2019-10-01,22,3,5,0,0.6,116
Cosa,Defeat,2019-09-29,31,22,10,10,3.2,193
Cosa,Defeat,2019-09-22,22,6,6,2,1.33,100
Cosa,Victory,2019-09-22,28,10,7,5,2.14,180
Cosa,Defeat,2019-09-18,31,15,12,4,1.58,179
Cosa,Victory,2019-09-17,26,16,5,3,3.8,181
Cosa,Defeat,2019-09-15,33,11,10,7,1.8,205
Cosa,Victory,2019-09-15,26,8,6,6,2.33,170
Cosa,Defeat,2019-09-14,22,1,7,1,0.29,74
Cosa,Victory,2019-09-12,19,16,3,2,6.0,139
Cosa,Victory,2019-09-12,33,15,9,5,2.22,215
Cosa,Defeat,2019-09-12,21,1,7,1,0.29,89
Cosa,Victory,2019-09-12,17,12,2,5,8.5,123
Cosa,Defeat,2019-09-06,26,1,8,4,0.62,129
Cosa,Victory,2019-09-06,26,15,4,3,4.5,164
Cosa,Victory,2019-09-06,40,18,12,8,2.17,252
Cosa,Defeat,2019-08-09,21,11,6,3,2.33,135
Cosa,Victory,2019-08-04,26,12,5,9,4.2,195
Cosa,Victory,2019-08-04,20,9,1,3,12.0,187
Cosa,Victory,2019-08-04,27,14,5,8,4.4,166
Cosa,Victory,2019-08-04,24,16,5,11,5.4,189
Cosa,Victory,2019-07-28,34,21,6,12,5.5,234
Cosa,Defeat,2019-07-28,24,6,8,3,1.12,123
Cosa,Defeat,2019-07-25,35,9,9,4,1.44,218
Cosa,Victory,2019-07-24,16,5,3,2,2.33,106
Cosa,Victory,2019-07-24,25,10,1,5,15.0,209
Cosa,Defeat,2019-07-24,15,0,0,0,0.0,0
Cosa,Defeat,2019-07-24,19,1,1,4,5.0,15
Cosa,Defeat,2019-07-24,43,17,12,5,1.83,250
Cosa,Victory,2019-07-24,39,19,7,10,4.14,251
Cosa,Defeat,2019-07-23,24,11,8,5,2.0,136
Cosa,Defeat,2019-07-23,29,0,7,3,0.43,121
Cosa,Victory,2019-07-23,27,17,8,10,3.38,155
Cosa,Defeat,2019-07-19,30,3,13,9,0.92,137
Cosa,Defeat,2019-07-19,31,8,12,14,1.83,172
Cosa,Victory,2019-07-13,35,14,13,10,1.85,176
Cosa,Defeat,2019-06-30,28,2,6,4,1.0,89
Cosa,Defeat,2019-06-29,30,12,11,7,1.73,133
Cosa,Victory,2019-06-21,24,19,8,3,2.75,109
Cosa,Defeat,2019-01-29,22,2,5,4,1.2,105
