,W/L/R,Date,Duration,KDA,CS
0,Defeat,8 days ago,28min,8  /  4  /  7,237 CS
1,Defeat,8 days ago,30min,5  /  5  /  2,196 CS
2,Defeat,111 days ago,20min,2  /  3  /  0,99 CS
3,Victory,111 days ago,31min,7  /  2  /  4,268 CS
4,Victory,111 days ago,35min,12  /  6  /  17,222 CS
5,Defeat,111 days ago,20min,1  /  3  /  2,118 CS
6,Defeat,190 days ago,34min,7  /  6  /  5,244 CS
7,Defeat,200 days ago,17min,0  /  4  /  0,83 CS
8,Victory,200 days ago,27min,11  /  3  /  6,250 CS
9,Victory,212 days ago,24min,21  /  2  /  4,190 CS
10,Defeat,228 days ago,22min,0  /  1  /  0,10 CS
11,Defeat,281 days ago,16min,4  /  2  /  0,119 CS
12,Defeat,306 days ago,32min,15  /  9  /  9,205 CS
13,Defeat,307 days ago,28min,9  /  6  /  2,213 CS
14,Defeat,308 days ago,21min,1  /  7  /  1,109 CS
15,Remake,308 days ago,3min,1  /  0  /  0,13 CS
16,Defeat,308 days ago,34min,12  /  4  /  7,292 CS
17,Defeat,308 days ago,36min,3  /  6  /  8,270 CS
18,Victory,309 days ago,22min,5  /  2  /  3,171 CS
19,Victory,309 days ago,23min,7  /  1  /  4,165 CS
20,Defeat,309 days ago,28min,1  /  10  /  8,136 CS
21,Defeat,309 days ago,44min,9  /  9  /  16,323 CS
22,Defeat,309 days ago,36min,10  /  7  /  9,265 CS
23,Defeat,311 days ago,29min,10  /  8  /  6,170 CS
24,Defeat,311 days ago,27min,9  /  8  /  3,191 CS
25,Victory,314 days ago,30min,5  /  9  /  8,182 CS
26,Defeat,314 days ago,18min,1  /  6  /  1,115 CS
27,Defeat,323 days ago,34min,3  /  9  /  7,227 CS
28,Victory,323 days ago,28min,9  /  4  /  7,220 CS
29,Victory,323 days ago,28min,12  /  4  /  4,230 CS
30,Remake,323 days ago,3min,0  /  0  /  0,15 CS
31,Victory,323 days ago,28min,21  /  5  /  6,191 CS
32,Victory,323 days ago,33min,6  /  5  /  10,281 CS
33,Victory,324 days ago,36min,1  /  4  /  1,272 CS
34,Victory,324 days ago,36min,8  /  5  /  10,295 CS
35,Defeat,324 days ago,34min,11  /  8  /  9,237 CS
36,Defeat,333 days ago,25min,1  /  8  /  4,159 CS
37,Defeat,347 days ago,23min,0  /  6  /  3,2 CS
38,Defeat,347 days ago,26min,3  /  7  /  2,118 CS
39,Defeat,347 days ago,38min,12  /  9  /  8,226 CS
40,Defeat,347 days ago,23min,0  /  2  /  0,89 CS
41,Defeat,348 days ago,22min,2  /  7  /  2,117 CS
42,Defeat,366 days ago,39min,9  /  13  /  9,199 CS
43,Defeat,370 days ago,27min,3  /  7  /  0,136 CS
44,Victory,370 days ago,20min,7  /  2  /  11,145 CS
