Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Cosa,Silver I,Defeat,2020-11-08,28,8,4,7,3.75,237
Cosa,Silver I,Defeat,2020-11-08,30,5,5,2,1.4,196
Cosa,Silver I,Defeat,2020-07-27,20,2,3,0,0.67,99
Cosa,Silver I,Victory,2020-07-27,31,7,2,4,5.5,268
Cosa,Silver I,Victory,2020-07-27,35,12,6,17,4.83,222
Cosa,Silver I,Defeat,2020-07-27,20,1,3,2,1.0,118
Cosa,Silver I,Defeat,2020-05-10,34,7,6,5,2.0,244
Cosa,Silver I,Defeat,2020-04-29,17,0,4,0,0.0,83
Cosa,Silver I,Victory,2020-04-29,27,11,3,6,5.67,250
Cosa,Silver I,Victory,2020-04-18,24,21,2,4,12.5,190
Cosa,Silver I,Defeat,2020-04-02,22,0,1,0,0.0,10
Cosa,Silver I,Defeat,2020-02-09,16,4,2,0,2.0,119
Cosa,Silver I,Defeat,2020-01-15,32,15,9,9,2.67,205
Cosa,Silver I,Defeat,2020-01-13,28,9,6,2,1.83,213
Cosa,Silver I,Defeat,2020-01-13,21,1,7,1,0.29,109
Cosa,Silver I,Defeat,2020-01-13,34,12,4,7,4.75,292
Cosa,Silver I,Defeat,2020-01-13,36,3,6,8,1.83,270
Cosa,Silver I,Victory,2020-01-12,22,5,2,3,4.0,171
Cosa,Silver I,Victory,2020-01-12,23,7,1,4,11.0,165
Cosa,Silver I,Defeat,2020-01-11,28,1,10,8,0.9,136
Cosa,Silver I,Defeat,2020-01-11,44,9,9,16,2.78,323
Cosa,Silver I,Defeat,2020-01-11,36,10,7,9,2.71,265
Cosa,Silver I,Defeat,2020-01-10,29,10,8,6,2.0,170
Cosa,Silver I,Defeat,2020-01-10,27,9,8,3,1.5,191
Cosa,Silver I,Victory,2020-01-07,30,5,9,8,1.44,182
Cosa,Silver I,Defeat,2020-01-07,18,1,6,1,0.33,115
Cosa,Silver I,Defeat,2019-12-29,34,3,9,7,1.11,227
Cosa,Silver I,Victory,2019-12-28,28,9,4,7,4.0,220
Cosa,Silver I,Victory,2019-12-28,28,12,4,4,4.0,230
Cosa,Silver I,Victory,2019-12-28,28,21,5,6,5.4,191
Cosa,Silver I,Victory,2019-12-28,33,6,5,10,3.2,281
Cosa,Silver I,Victory,2019-12-28,36,1,4,1,0.5,272
Cosa,Silver I,Victory,2019-12-28,36,8,5,10,3.6,295
Cosa,Silver I,Defeat,2019-12-28,34,11,8,9,2.5,237
Cosa,Silver I,Defeat,2019-12-18,25,1,8,4,0.62,159
Cosa,Silver I,Defeat,2019-12-05,23,0,6,3,0.5,2
Cosa,Silver I,Defeat,2019-12-05,26,3,7,2,0.71,118
Cosa,Silver I,Defeat,2019-12-05,38,12,9,8,2.22,226
Cosa,Silver I,Defeat,2019-12-04,23,0,2,0,0.0,89
Cosa,Silver I,Defeat,2019-12-04,22,2,7,2,0.57,117
Cosa,Silver I,Defeat,2019-11-15,39,9,13,9,1.38,199
Cosa,Silver I,Defeat,2019-11-11,27,3,7,0,0.43,136
Cosa,Silver I,Victory,2019-11-11,20,7,2,11,9.0,145
Cosa,Silver I,Victory,2019-10-08,29,20,8,9,3.62,159
Cosa,Silver I,Defeat,2019-10-07,28,11,6,1,2.0,174
Cosa,Silver I,Victory,2019-10-07,27,8,5,6,2.8,184
Cosa,Silver I,Defeat,2019-10-01,23,1,7,2,0.43,84
Cosa,Silver I,Victory,2019-10-01,21,10,2,4,7.0,181
Cosa,Silver I,Victory,2019-09-28,33,15,8,6,2.62,238
Cosa,Silver I,Victory,2019-09-28,23,9,0,5,14.0,185
Cosa,Silver I,Victory,2019-09-25,22,13,4,4,4.25,155
Cosa,Silver I,Victory,2019-09-25,30,12,6,4,2.67,201
Cosa,Silver I,Victory,2019-09-25,36,16,10,7,2.3,234
Cosa,Silver I,Defeat,2019-09-23,21,3,6,0,0.5,87
Cosa,Silver I,Defeat,2019-09-13,20,7,7,1,1.14,71
Cosa,Silver I,Defeat,2019-09-03,25,2,7,2,0.57,124
Cosa,Silver I,Victory,2019-08-30,30,14,5,6,4.0,217
Cosa,Silver I,Victory,2019-08-30,38,15,12,1,1.33,217
Cosa,Silver I,Defeat,2019-08-30,22,5,10,5,1.0,106
Cosa,Silver I,Victory,2019-08-30,16,5,2,4,4.5,109
Cosa,Silver I,Victory,2019-08-29,28,8,6,7,2.5,177
