Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
De Dya,Defeat,2020-11-06,27,1,1,4,5.0,216
De Dya,Victory,2020-11-06,36,13,4,9,5.5,258
De Dya,Defeat,2020-11-06,20,0,5,1,0.2,131
De Dya,Defeat,2020-11-06,29,1,2,1,1.0,229
De Dya,Defeat,2020-11-06,27,2,1,2,4.0,209
De Dya,Defeat,2020-11-06,37,6,6,5,1.83,330
De Dya,Victory,2020-11-06,21,13,1,6,19.0,207
De Dya,Victory,2020-11-05,35,6,3,14,6.67,252
De Dya,Victory,2020-11-04,33,5,7,10,2.14,158
De Dya,Victory,2020-11-04,29,9,5,4,2.6,163
De Dya,Victory,2020-11-03,28,2,3,7,3.0,256
De Dya,Victory,2020-11-03,32,6,5,8,2.8,246
De Dya,Defeat,2020-11-03,25,6,7,5,1.57,133
De Dya,Victory,2020-11-03,24,9,4,8,4.25,153
De Dya,Victory,2020-11-03,20,3,5,6,1.8,140
De Dya,Victory,2020-11-03,19,6,1,8,14.0,144
De Dya,Victory,2020-11-03,25,12,5,12,4.8,221
De Dya,Victory,2020-10-30,36,2,5,24,5.2,7
De Dya,Victory,2020-10-30,23,2,3,18,6.67,6
De Dya,Victory,2020-10-30,19,3,1,12,15.0,3
De Dya,Victory,2020-10-30,16,1,0,10,11.0,10
De Dya,Victory,2020-10-30,18,0,1,15,15.0,1
De Dya,Defeat,2020-10-30,28,2,5,2,0.8,211
De Dya,Victory,2020-10-29,34,9,5,17,5.2,262
De Dya,Victory,2020-10-29,18,9,0,8,17.0,134
De Dya,Defeat,2020-10-25,30,6,5,10,3.2,207
De Dya,Victory,2020-10-22,31,8,9,14,2.44,210
De Dya,Victory,2020-10-22,29,9,9,12,2.33,238
De Dya,Victory,2020-10-21,31,2,8,5,0.88,274
De Dya,Victory,2020-10-19,16,5,1,5,10.0,139
De Dya,Victory,2020-10-19,21,11,3,10,7.0,164
De Dya,Victory,2020-10-19,20,13,1,8,21.0,154
De Dya,Victory,2020-10-16,29,12,10,9,2.1,148
