Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
De Dya,Victory,11daysago,25min,0,5,7,1.4,170CS
De Dya,Victory,11daysago,25min,1,7,20,3.0,31CS
De Dya,Defeat,12daysago,20min,3,2,1,2.0,153CS
De Dya,Victory,12daysago,33min,6,5,10,3.2,148CS
De Dya,Victory,12daysago,25min,8,1,6,14.0,207CS
De Dya,Defeat,18daysago,28min,1,13,1,0.15,153CS
De Dya,Victory,20daysago,30min,19,1,14,33.0,246CS
De Dya,Victory,20daysago,36min,11,7,9,2.86,289CS
De Dya,Defeat,21daysago,33min,9,9,4,1.44,200CS
De Dya,Victory,21daysago,30min,10,2,11,10.5,226CS
De Dya,Victory,21daysago,28min,8,6,5,2.17,205CS
De Dya,Victory,21daysago,25min,4,2,9,6.5,166CS
De Dya,Victory,22daysago,29min,0,2,10,5.0,182CS
De Dya,Defeat,22daysago,24min,1,5,2,0.6,152CS
De Dya,Defeat,22daysago,19min,0,2,0,0.0,135CS
De Dya,Victory,22daysago,27min,2,4,6,2.0,179CS
De Dya,Defeat,22daysago,27min,1,8,2,0.38,157CS
De Dya,Victory,22daysago,30min,8,1,9,17.0,199CS
De Dya,Defeat,22daysago,22min,3,4,3,1.5,141CS
De Dya,Defeat,22daysago,20min,1,4,0,0.25,38CS
De Dya,Victory,23daysago,30min,12,5,13,5.0,223CS
De Dya,Victory,23daysago,27min,2,3,5,2.33,194CS
De Dya,Defeat,23daysago,34min,8,7,6,2.0,150CS
De Dya,Defeat,24daysago,24min,0,5,4,0.8,187CS
De Dya,Defeat,24daysago,35min,2,7,9,1.57,214CS
De Dya,Victory,24daysago,25min,8,1,13,21.0,182CS
De Dya,Defeat,24daysago,37min,2,3,9,3.67,251CS
De Dya,Victory,24daysago,25min,6,2,7,6.5,218CS
De Dya,Defeat,24daysago,38min,5,6,4,1.5,306CS
De Dya,Victory,24daysago,17min,6,1,10,16.0,169CS
De Dya,Defeat,25daysago,38min,6,7,13,2.71,223CS
De Dya,Defeat,28daysago,31min,4,8,13,2.12,60CS
De Dya,Defeat,28daysago,26min,4,7,6,1.43,142CS
De Dya,Victory,28daysago,32min,2,6,14,2.67,55CS
De Dya,Defeat,28daysago,21min,0,7,5,0.71,137CS
De Dya,Defeat,28daysago,29min,5,4,4,2.25,242CS
De Dya,Defeat,33daysago,34min,6,2,8,7.0,297CS
De Dya,Victory,33daysago,34min,14,8,8,2.75,222CS
De Dya,Victory,34daysago,28min,3,2,4,3.5,202CS
De Dya,Defeat,34daysago,34min,3,6,7,1.67,236CS
De Dya,Victory,34daysago,25min,7,1,7,14.0,200CS
De Dya,Victory,34daysago,29min,5,1,7,12.0,244CS
De Dya,Defeat,38daysago,25min,0,3,2,0.67,200CS
De Dya,Victory,39daysago,33min,5,6,7,2.0,269CS
De Dya,Victory,43daysago,26min,0,2,18,9.0,40CS
De Dya,Defeat,46daysago,27min,10,5,4,2.8,183CS
De Dya,Defeat,46daysago,32min,6,5,4,2.0,223CS
De Dya,Defeat,46daysago,24min,3,3,3,2.0,147CS
De Dya,Defeat,47daysago,23min,2,2,1,1.5,173CS
De Dya,Victory,47daysago,27min,1,2,8,4.5,179CS
De Dya,Victory,47daysago,29min,10,3,6,5.33,199CS
De Dya,Defeat,47daysago,29min,5,7,2,1.0,201CS
De Dya,Defeat,47daysago,22min,0,3,3,1.0,163CS
De Dya,Victory,47daysago,26min,3,2,6,4.5,186CS
De Dya,Victory,47daysago,26min,3,4,5,2.0,168CS
De Dya,Defeat,47daysago,32min,1,5,6,1.4,37CS
De Dya,Defeat,48daysago,30min,11,6,5,2.67,174CS
De Dya,Defeat,48daysago,21min,0,3,1,0.33,161CS
De Dya,Defeat,48daysago,27min,2,4,2,1.0,193CS
De Dya,Victory,48daysago,20min,5,2,5,5.0,135CS
De Dya,Defeat,48daysago,40min,2,8,3,0.62,262CS
De Dya,Victory,48daysago,9min,0,0,0,0.0,57CS
De Dya,Victory,48daysago,15min,1,1,2,3.0,99CS
De Dya,Defeat,48daysago,25min,3,3,3,2.0,192CS
De Dya,Defeat,58daysago,29min,4,3,2,2.0,221CS
De Dya,Victory,58daysago,27min,4,0,5,9.0,254CS
De Dya,Victory,60daysago,26min,5,3,4,3.0,220CS
De Dya,Victory,60daysago,21min,1,0,15,16.0,24CS
De Dya,Defeat,60daysago,20min,1,4,0,0.25,133CS
De Dya,Victory,60daysago,18min,2,0,5,7.0,14CS
De Dya,Defeat,61daysago,28min,0,7,3,0.43,176CS
De Dya,Victory,61daysago,19min,1,2,4,2.5,145CS
De Dya,Defeat,61daysago,29min,5,7,2,1.0,143CS
De Dya,Victory,61daysago,19min,1,1,9,10.0,125CS
De Dya,Defeat,61daysago,21min,1,5,4,1.0,128CS
De Dya,Victory,61daysago,26min,7,0,17,24.0,219CS
De Dya,Victory,63daysago,33min,7,3,5,4.0,237CS
De Dya,Victory,65daysago,28min,9,4,7,4.0,186CS
De Dya,Defeat,65daysago,29min,1,5,3,0.8,228CS
De Dya,Victory,65daysago,24min,10,3,7,5.67,196CS
De Dya,Defeat,65daysago,22min,1,7,7,1.14,151CS
De Dya,Defeat,66daysago,21min,6,7,4,1.43,144CS
De Dya,Defeat,66daysago,32min,10,10,7,1.7,185CS
De Dya,Defeat,70daysago,29min,1,4,4,1.25,205CS
De Dya,Defeat,70daysago,27min,2,4,5,1.75,144CS
De Dya,Victory,70daysago,27min,4,6,5,1.5,166CS
De Dya,Victory,70daysago,27min,2,2,9,5.5,149CS
De Dya,Victory,70daysago,28min,7,2,5,6.0,179CS
De Dya,Defeat,70daysago,31min,6,10,8,1.4,189CS
De Dya,Victory,70daysago,32min,6,4,9,3.75,247CS
De Dya,Victory,73daysago,26min,5,7,5,1.43,226CS
