Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
DiaCraOne,Victory,2020-11-18,30,4,10,15,1.9,83
DiaCraOne,Defeat,2020-11-16,16,0,0,0,0.0,0
DiaCraOne,Victory,2020-11-10,25,7,1,6,13.0,126
DiaCraOne,Defeat,2020-11-05,22,3,6,4,1.17,39
DiaCraOne,Defeat,2020-10-29,35,1,12,10,0.92,26
DiaCraOne,Victory,2020-10-20,29,2,8,20,2.75,14
DiaCraOne,Victory,2020-10-17,35,2,7,8,1.43,160
DiaCraOne,Defeat,2020-10-17,36,0,5,3,0.6,150
DiaCraOne,Victory,2020-10-12,22,3,4,22,6.25,7
DiaCraOne,Defeat,2020-10-07,40,3,14,7,0.71,109
DiaCraOne,Defeat,2020-10-06,39,5,13,15,1.54,35
DiaCraOne,Victory,2020-10-06,31,3,7,10,1.86,159
DiaCraOne,Defeat,2020-10-06,28,1,8,2,0.38,115
DiaCraOne,Defeat,2020-10-05,28,5,9,7,1.33,97
DiaCraOne,Victory,2020-10-05,22,4,4,14,4.5,105
DiaCraOne,Defeat,2020-10-04,26,0,9,2,0.22,98
DiaCraOne,Victory,2020-10-04,29,0,4,10,2.5,131
DiaCraOne,Victory,2020-10-03,30,4,10,12,1.6,43
DiaCraOne,Victory,2020-10-03,22,1,9,11,1.33,13
DiaCraOne,Victory,2020-09-27,34,2,10,6,0.8,114
DiaCraOne,Victory,2020-09-25,27,2,8,7,1.12,11
DiaCraOne,Defeat,2020-09-25,40,3,12,16,1.58,28
DiaCraOne,Defeat,2020-09-21,33,1,13,14,1.15,55
DiaCraOne,Defeat,2020-08-23,28,0,12,6,0.5,34
DiaCraOne,Defeat,2020-08-23,33,2,12,12,1.17,43
DiaCraOne,Victory,2020-08-19,24,0,7,10,1.43,11
DiaCraOne,Defeat,2020-08-13,39,0,12,6,0.5,31
DiaCraOne,Defeat,2020-08-13,27,0,10,10,1.0,12
DiaCraOne,Defeat,2020-08-13,36,1,15,13,0.93,20
DiaCraOne,Defeat,2020-07-28,38,4,8,7,1.38,84
DiaCraOne,Defeat,2020-07-25,33,6,15,12,1.2,96
DiaCraOne,Victory,2020-07-24,32,3,12,8,0.92,95
DiaCraOne,Defeat,2020-06-22,31,0,13,3,0.23,100
DiaCraOne,Defeat,2020-06-21,30,0,13,12,0.92,27
DiaCraOne,Victory,2020-06-21,26,2,6,11,2.17,110
DiaCraOne,Victory,2020-05-02,47,7,10,16,2.3,151
DiaCraOne,Victory,2020-04-15,29,3,5,14,3.4,115
DiaCraOne,Defeat,2020-04-15,32,9,7,16,3.57,161
DiaCraOne,Defeat,2020-04-04,22,4,9,1,0.56,71
DiaCraOne,Defeat,2020-04-04,23,5,8,0,0.62,129
DiaCraOne,Defeat,2020-04-04,20,4,6,0,0.67,89
DiaCraOne,Defeat,2020-03-28,32,14,10,8,2.2,149
DiaCraOne,Defeat,2019-10-05,31,7,8,9,2.0,131
DiaCraOne,Defeat,2019-09-24,33,9,11,3,1.09,135
DiaCraOne,Defeat,2019-09-21,28,2,11,9,1.0,92
