,W/L/R,Date,Duration,KDA,CS
0,Victory,7 days ago,36min,5  /  11  /  37,20 CS
1,Victory,14 days ago,33min,3  /  6  /  9,135 CS
2,Victory,14 days ago,36min,7  /  9  /  23,52 CS
3,Defeat,14 days ago,31min,1  /  14  /  10,22 CS
4,Victory,16 days ago,25min,0  /  2  /  4,139 CS
5,Victory,19 days ago,25min,4  /  4  /  22,18 CS
6,Defeat,19 days ago,32min,3  /  9  /  6,43 CS
7,Remake,26 days ago,3min,0  /  0  /  0,0 CS
8,Defeat,41 days ago,36min,1  /  8  /  13,23 CS
9,Victory,49 days ago,32min,3  /  7  /  5,31 CS
10,Defeat,100 days ago,37min,1  /  11  /  9,39 CS
11,Defeat,100 days ago,26min,2  /  10  /  10,6 CS
12,Victory,103 days ago,36min,3  /  3  /  9,172 CS
13,Victory,103 days ago,22min,1  /  3  /  6,106 CS
14,Remake,103 days ago,3min,0  /  0  /  0,10 CS
15,Defeat,107 days ago,45min,4  /  15  /  18,48 CS
16,Defeat,107 days ago,25min,1  /  6  /  4,25 CS
17,Victory,112 days ago,22min,2  /  5  /  12,22 CS
18,Victory,112 days ago,32min,5  /  7  /  13,35 CS
19,Defeat,119 days ago,29min,5  /  8  /  14,24 CS
20,Victory,127 days ago,22min,0  /  4  /  7,14 CS
21,Remake,133 days ago,3min,0  /  0  /  0,0 CS
22,Remake,137 days ago,3min,0  /  0  /  0,0 CS
23,Victory,138 days ago,35min,6  /  7  /  14,131 CS
24,Defeat,141 days ago,29min,3  /  11  /  7,7 CS
25,Remake,141 days ago,3min,0  /  1  /  1,0 CS
26,Victory,141 days ago,29min,7  /  7  /  11,87 CS
27,Victory,141 days ago,20min,1  /  2  /  15,7 CS
28,Victory,142 days ago,26min,2  /  4  /  19,14 CS
29,Defeat,142 days ago,24min,2  /  8  /  5,109 CS
30,Defeat,146 days ago,23min,1  /  8  /  5,25 CS
31,Victory,146 days ago,39min,6  /  5  /  12,193 CS
32,Defeat,146 days ago,27min,3  /  10  /  1,118 CS
33,Defeat,146 days ago,24min,7  /  8  /  3,99 CS
34,Defeat,147 days ago,29min,1  /  12  /  9,14 CS
35,Defeat,150 days ago,32min,6  /  8  /  7,69 CS
36,Victory,159 days ago,42min,10  /  8  /  26,155 CS
37,Defeat,161 days ago,40min,1  /  9  /  8,59 CS
38,Remake,161 days ago,3min,0  /  0  /  0,0 CS
39,Defeat,161 days ago,36min,2  /  9  /  15,69 CS
40,Defeat,162 days ago,20min,1  /  7  /  2,68 CS
41,Victory,162 days ago,36min,6  /  9  /  15,117 CS
42,Defeat,162 days ago,16min,0  /  1  /  0,19 CS
43,Defeat,163 days ago,33min,0  /  7  /  16,47 CS
44,Defeat,173 days ago,44min,2  /  15  /  18,53 CS
45,Victory,180 days ago,22min,1  /  6  /  8,25 CS
46,Defeat,186 days ago,40min,2  /  14  /  14,82 CS
47,Defeat,191 days ago,36min,1  /  9  /  20,47 CS
48,Defeat,195 days ago,41min,3  /  12  /  24,35 CS
49,Victory,198 days ago,33min,1  /  10  /  21,40 CS
50,Defeat,201 days ago,29min,4  /  8  /  10,45 CS
51,Defeat,203 days ago,25min,3  /  9  /  7,43 CS
52,Defeat,203 days ago,29min,2  /  9  /  10,8 CS
53,Defeat,203 days ago,38min,12  /  10  /  12,195 CS
54,Victory,205 days ago,40min,3  /  12  /  19,54 CS
55,Defeat,205 days ago,26min,1  /  8  /  7,30 CS
56,Defeat,213 days ago,18min,0  /  7  /  4,6 CS
57,Victory,214 days ago,26min,2  /  4  /  15,24 CS
58,Defeat,217 days ago,29min,1  /  7  /  8,51 CS
59,Victory,217 days ago,48min,1  /  21  /  30,30 CS
60,Remake,217 days ago,3min,0  /  1  /  0,0 CS
61,Victory,231 days ago,28min,2  /  5  /  20,19 CS
62,Victory,232 days ago,33min,3  /  7  /  17,48 CS
63,Victory,233 days ago,34min,0  /  11  /  21,12 CS
64,Defeat,235 days ago,23min,3  /  12  /  11,19 CS
65,Victory,235 days ago,44min,0  /  13  /  26,28 CS
66,Remake,235 days ago,3min,0  /  0  /  0,0 CS
67,Victory,237 days ago,40min,4  /  7  /  15,181 CS
68,Defeat,239 days ago,33min,0  /  11  /  9,108 CS
69,Defeat,239 days ago,28min,5  /  10  /  7,118 CS
