Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
DiaCraOne,Silver III,Victory,2020-11-09,36,5,11,37,3.82,20
DiaCraOne,Silver III,Victory,2020-11-02,33,3,6,9,2.0,135
DiaCraOne,Silver III,Victory,2020-11-02,36,7,9,23,3.33,52
DiaCraOne,Silver III,Defeat,2020-11-02,31,1,14,10,0.79,22
DiaCraOne,Silver III,Victory,2020-11-01,25,0,2,4,2.0,139
DiaCraOne,Silver III,Victory,2020-10-28,25,4,4,22,6.5,18
DiaCraOne,Silver III,Defeat,2020-10-28,32,3,9,6,1.0,43
DiaCraOne,Silver III,Defeat,2020-10-06,36,1,8,13,1.75,23
DiaCraOne,Silver III,Victory,2020-09-29,32,3,7,5,1.14,31
DiaCraOne,Silver III,Defeat,2020-08-08,37,1,11,9,0.91,39
DiaCraOne,Silver III,Defeat,2020-08-08,26,2,10,10,1.2,6
DiaCraOne,Silver III,Victory,2020-08-06,36,3,3,9,4.0,172
DiaCraOne,Silver III,Victory,2020-08-06,22,1,3,6,2.33,106
DiaCraOne,Silver III,Defeat,2020-08-02,45,4,15,18,1.47,48
DiaCraOne,Silver III,Defeat,2020-08-02,25,1,6,4,0.83,25
DiaCraOne,Silver III,Victory,2020-07-28,22,2,5,12,2.8,22
DiaCraOne,Silver III,Victory,2020-07-28,32,5,7,13,2.57,35
DiaCraOne,Silver III,Defeat,2020-07-20,29,5,8,14,2.38,24
DiaCraOne,Silver III,Victory,2020-07-13,22,0,4,7,1.75,14
DiaCraOne,Silver III,Victory,2020-07-02,35,6,7,14,2.86,131
DiaCraOne,Silver III,Defeat,2020-06-29,29,3,11,7,0.91,7
DiaCraOne,Silver III,Victory,2020-06-28,29,7,7,11,2.57,87
DiaCraOne,Silver III,Victory,2020-06-28,20,1,2,15,8.0,7
DiaCraOne,Silver III,Victory,2020-06-28,26,2,4,19,5.25,14
DiaCraOne,Silver III,Defeat,2020-06-28,24,2,8,5,0.88,109
DiaCraOne,Silver III,Defeat,2020-06-23,23,1,8,5,0.75,25
DiaCraOne,Silver III,Victory,2020-06-23,39,6,5,12,3.6,193
DiaCraOne,Silver III,Defeat,2020-06-23,27,3,10,1,0.4,118
DiaCraOne,Silver III,Defeat,2020-06-23,24,7,8,3,1.25,99
DiaCraOne,Silver III,Defeat,2020-06-23,29,1,12,9,0.83,14
DiaCraOne,Silver III,Defeat,2020-06-19,32,6,8,7,1.62,69
DiaCraOne,Silver III,Victory,2020-06-11,42,10,8,26,4.5,155
DiaCraOne,Silver III,Defeat,2020-06-08,40,1,9,8,1.0,59
DiaCraOne,Silver III,Defeat,2020-06-08,36,2,9,15,1.89,69
DiaCraOne,Silver III,Defeat,2020-06-08,20,1,7,2,0.43,68
DiaCraOne,Silver III,Victory,2020-06-08,36,6,9,15,2.33,117
DiaCraOne,Silver III,Defeat,2020-06-08,16,0,1,0,0.0,19
DiaCraOne,Silver III,Defeat,2020-06-06,33,0,7,16,2.29,47
DiaCraOne,Silver III,Defeat,2020-05-28,44,2,15,18,1.33,53
DiaCraOne,Silver III,Victory,2020-05-20,22,1,6,8,1.5,25
DiaCraOne,Silver III,Defeat,2020-05-14,40,2,14,14,1.14,82
DiaCraOne,Silver III,Defeat,2020-05-10,36,1,9,20,2.33,47
DiaCraOne,Silver III,Defeat,2020-05-06,41,3,12,24,2.25,35
DiaCraOne,Silver III,Victory,2020-05-02,33,1,10,21,2.2,40
DiaCraOne,Silver III,Defeat,2020-04-29,29,4,8,10,1.75,45
DiaCraOne,Silver III,Defeat,2020-04-28,25,3,9,7,1.11,43
DiaCraOne,Silver III,Defeat,2020-04-28,29,2,9,10,1.33,8
DiaCraOne,Silver III,Defeat,2020-04-27,38,12,10,12,2.4,195
DiaCraOne,Silver III,Victory,2020-04-25,40,3,12,19,1.83,54
DiaCraOne,Silver III,Defeat,2020-04-25,26,1,8,7,1.0,30
DiaCraOne,Silver III,Defeat,2020-04-17,18,0,7,4,0.57,6
DiaCraOne,Silver III,Victory,2020-04-17,26,2,4,15,4.25,24
DiaCraOne,Silver III,Defeat,2020-04-13,29,1,7,8,1.29,51
DiaCraOne,Silver III,Victory,2020-04-13,48,1,21,30,1.48,30
DiaCraOne,Silver III,Victory,2020-03-30,28,2,5,20,4.4,19
DiaCraOne,Silver III,Victory,2020-03-29,33,3,7,17,2.86,48
DiaCraOne,Silver III,Victory,2020-03-29,34,0,11,21,1.91,12
DiaCraOne,Silver III,Defeat,2020-03-26,23,3,12,11,1.17,19
DiaCraOne,Silver III,Victory,2020-03-26,44,0,13,26,2.0,28
DiaCraOne,Silver III,Victory,2020-03-24,40,4,7,15,2.71,181
DiaCraOne,Silver III,Defeat,2020-03-22,33,0,11,9,0.82,108
DiaCraOne,Silver III,Defeat,2020-03-22,28,5,10,7,1.2,118
DiaCraOne,Silver III,Defeat,2020-03-22,29,2,11,9,1.0,17
DiaCraOne,Silver III,Victory,2020-03-21,35,7,10,17,2.4,144
DiaCraOne,Silver III,Defeat,2020-03-21,39,1,8,9,1.25,65
DiaCraOne,Silver III,Defeat,2020-03-21,29,6,8,7,1.62,117
DiaCraOne,Silver III,Defeat,2020-03-20,33,1,8,12,1.62,45
DiaCraOne,Silver III,Defeat,2020-03-19,41,6,13,14,1.54,175
DiaCraOne,Silver III,Victory,2020-03-19,29,4,6,15,3.17,25
DiaCraOne,Silver III,Victory,2020-03-19,31,7,5,9,3.2,150
DiaCraOne,Silver III,Victory,2020-03-18,33,6,5,7,2.6,160
DiaCraOne,Silver III,Defeat,2020-03-18,42,3,12,23,2.17,21
DiaCraOne,Silver III,Victory,2020-03-18,19,3,1,3,6.0,125
DiaCraOne,Silver III,Victory,2020-03-18,28,8,4,13,5.25,97
DiaCraOne,Silver III,Victory,2020-03-14,42,12,9,12,2.67,189
DiaCraOne,Silver III,Defeat,2020-03-13,31,8,6,4,2.0,131
DiaCraOne,Silver III,Defeat,2020-03-13,20,3,7,1,0.57,80
DiaCraOne,Silver III,Defeat,2020-03-13,53,2,19,28,1.58,37
DiaCraOne,Silver III,Defeat,2020-03-12,29,0,10,4,0.4,54
