Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Don Miguel,Defeat,2020-09-26,26,3,5,5,1.6,145
Don Miguel,Defeat,2020-09-25,34,8,5,9,3.4,151
Don Miguel,Defeat,2020-09-24,21,2,4,4,1.5,129
Don Miguel,Defeat,2020-09-24,19,3,3,1,1.33,143
Don Miguel,Defeat,2020-09-24,16,7,3,9,5.33,80
Don Miguel,Defeat,2020-09-24,24,3,4,5,2.0,168
Don Miguel,Defeat,2020-09-24,23,14,4,12,6.5,154
Don Miguel,Defeat,2019-10-13,29,9,7,9,2.57,147
Don Miguel,Victory,2019-10-13,23,2,6,7,1.5,113
Don Miguel,Defeat,2019-10-13,29,2,5,8,2.0,156
Don Miguel,Victory,2019-10-13,34,0,4,9,2.25,139
Don Miguel,Defeat,2019-10-13,19,1,5,3,0.8,96
Don Miguel,Victory,2019-10-13,28,1,10,14,1.5,99
Don Miguel,Defeat,2019-10-13,19,3,5,3,1.2,92
Don Miguel,Defeat,2019-10-06,34,9,6,6,2.5,205
Don Miguel,Victory,2019-10-06,32,8,8,10,2.25,157
Don Miguel,Defeat,2019-10-06,17,2,2,2,2.0,93
Don Miguel,Victory,2019-10-06,23,7,3,5,4.0,141
Don Miguel,Victory,2019-10-06,24,2,3,6,2.67,143
Don Miguel,Defeat,2019-09-30,23,5,6,12,2.83,67
Don Miguel,Defeat,2019-09-30,18,2,6,3,0.83,75
Don Miguel,Defeat,2019-09-30,27,3,7,6,1.29,122
Don Miguel,Defeat,2019-09-29,21,3,4,2,1.25,106
Don Miguel,Victory,2019-09-29,17,3,3,0,1.0,87
Don Miguel,Defeat,2019-09-29,26,4,10,3,0.7,105
Don Miguel,Victory,2019-09-29,21,5,5,14,3.8,102
Don Miguel,Defeat,2019-09-29,31,3,10,13,1.6,138
Don Miguel,Defeat,2019-09-23,30,5,6,10,2.5,45
Don Miguel,Victory,2019-09-23,29,2,10,14,1.6,44
Don Miguel,Defeat,2019-09-21,34,16,12,6,1.83,140
Don Miguel,Victory,2019-09-20,30,5,1,12,17.0,173
Don Miguel,Victory,2019-09-20,29,11,4,8,4.75,158
Don Miguel,Victory,2019-09-19,36,8,6,17,4.17,148
Don Miguel,Victory,2019-09-17,19,4,6,3,1.17,110
Don Miguel,Defeat,2019-09-17,20,8,8,1,1.12,62
Don Miguel,Defeat,2019-09-16,30,3,8,13,2.0,39
Don Miguel,Defeat,2019-09-08,15,1,2,2,1.5,28
Don Miguel,Defeat,2019-08-05,27,1,7,5,0.86,129
Don Miguel,Defeat,2019-08-05,34,5,5,12,3.4,180
Don Miguel,Victory,2019-08-05,25,6,3,13,6.33,160
Don Miguel,Defeat,2019-08-05,23,6,9,5,1.22,147
Don Miguel,Defeat,2019-08-05,24,3,5,10,2.6,150
Don Miguel,Victory,2019-08-04,26,8,5,12,4.0,122
Don Miguel,Victory,2019-08-04,20,7,1,6,13.0,116
Don Miguel,Victory,2019-08-04,27,12,4,12,6.0,106
Don Miguel,Victory,2019-08-04,24,7,2,13,10.0,110
Don Miguel,Defeat,2019-08-02,29,8,4,9,4.25,170
Don Miguel,Victory,2019-08-02,30,8,5,7,3.0,195
Don Miguel,Defeat,2019-08-02,24,2,3,2,1.33,165
Don Miguel,Defeat,2019-08-02,26,1,7,10,1.57,177
Don Miguel,Defeat,2019-07-25,25,0,6,4,0.67,53
Don Miguel,Victory,2019-07-24,16,0,3,5,1.67,112
Don Miguel,Victory,2019-07-24,25,10,3,13,7.67,181
Don Miguel,Defeat,2019-07-24,43,9,6,4,2.17,280
Don Miguel,Victory,2019-07-24,39,18,7,8,3.71,252
Don Miguel,Victory,2019-07-19,28,10,8,4,1.75,89
Don Miguel,Defeat,2019-07-19,30,5,8,5,1.25,119
Don Miguel,Victory,2019-07-13,27,17,5,6,4.6,198
Don Miguel,Defeat,2019-07-13,44,13,9,13,2.89,322
Don Miguel,Defeat,2019-07-13,23,8,4,2,2.5,162
Don Miguel,Victory,2019-07-13,29,9,7,14,3.29,201
Don Miguel,Victory,2019-07-11,34,11,1,10,21.0,190
Don Miguel,Victory,2019-07-11,36,2,9,12,1.56,168
Don Miguel,Victory,2019-07-11,25,20,2,6,13.0,133
Don Miguel,Victory,2019-07-11,22,7,3,7,4.67,143
Don Miguel,Victory,2019-07-07,28,14,7,6,2.86,165
Don Miguel,Victory,2019-07-07,26,15,4,7,5.5,215
Don Miguel,Defeat,2019-07-06,27,18,10,4,2.2,163
Don Miguel,Victory,2019-07-06,25,10,8,5,1.88,144
Don Miguel,Defeat,2019-07-06,22,7,9,0,0.78,100
Don Miguel,Defeat,2019-07-06,22,6,6,4,1.67,122
Don Miguel,Victory,2019-07-02,30,8,7,7,2.14,188
Don Miguel,Defeat,2019-06-22,32,18,9,8,2.89,141
Don Miguel,Victory,2019-06-22,28,16,8,11,3.38,168
Don Miguel,Victory,2019-06-21,28,8,5,12,4.0,198
Don Miguel,Victory,2019-06-21,22,7,1,7,14.0,130
Don Miguel,Defeat,2019-06-21,34,9,8,8,2.12,179
Don Miguel,Victory,2019-06-21,37,11,4,10,5.25,270
Don Miguel,Defeat,2019-06-19,31,5,12,5,0.83,130
Don Miguel,Victory,2019-06-19,32,8,5,13,4.2,209
Don Miguel,Defeat,2019-06-17,40,17,9,9,2.89,218
Don Miguel,Defeat,2019-06-16,18,7,4,2,2.25,98
Don Miguel,Victory,2019-06-16,38,12,8,11,2.88,190
Don Miguel,Victory,2019-06-14,26,19,3,6,8.33,196
Don Miguel,Victory,2019-06-11,19,6,1,9,15.0,150
Don Miguel,Victory,2019-06-11,28,9,5,11,4.0,215
Don Miguel,Victory,2019-06-11,16,6,0,3,9.0,95
Don Miguel,Victory,2019-06-10,32,13,6,14,4.5,200
Don Miguel,Victory,2019-05-17,28,8,4,10,4.5,151
Don Miguel,Victory,2019-05-17,32,12,6,11,3.83,217
Don Miguel,Defeat,2019-05-17,24,10,8,1,1.38,129
Don Miguel,Victory,2019-01-29,23,6,5,6,2.4,114
Don Miguel,Defeat,2019-01-29,22,6,8,5,1.38,115
Don Miguel,Victory,2019-01-28,27,4,1,5,9.0,189
Don Miguel,Victory,2019-01-27,17,1,3,10,3.67,25
Don Miguel,Defeat,2019-01-27,38,10,8,3,1.62,269
Don Miguel,Victory,2019-01-27,25,9,6,5,2.33,161
