Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
Don Miguel,Defeat,474daysago,37min,14,4,11,6.25,245CS
Don Miguel,Defeat,474daysago,22min,4,7,3,1.0,101CS
Don Miguel,Victory,475daysago,28min,6,6,13,3.17,173CS
Don Miguel,Victory,475daysago,21min,5,2,9,7.0,158CS
Don Miguel,Victory,475daysago,24min,2,1,8,10.0,164CS
Don Miguel,Victory,475daysago,24min,5,0,16,21.0,132CS
Don Miguel,Victory,475daysago,23min,4,0,7,11.0,117CS
Don Miguel,Defeat,485daysago,27min,5,8,4,1.12,98CS
Don Miguel,Defeat,485daysago,20min,1,8,0,0.12,31CS
Don Miguel,Victory,494daysago,26min,9,2,7,8.0,194CS
Don Miguel,Defeat,517daysago,38min,11,10,10,2.1,173CS
Don Miguel,Victory,519daysago,27min,15,4,7,5.5,157CS
Don Miguel,Defeat,520daysago,26min,1,4,7,2.0,21CS
Don Miguel,Victory,521daysago,33min,1,2,24,12.5,26CS
Don Miguel,Defeat,521daysago,29min,0,2,5,2.5,9CS
Don Miguel,Defeat,521daysago,23min,1,7,6,1.0,12CS
Don Miguel,Defeat,521daysago,32min,0,5,4,0.8,0CS
Don Miguel,Victory,523daysago,28min,5,5,4,1.8,170CS
Don Miguel,Victory,523daysago,34min,11,8,2,1.62,218CS
Don Miguel,Defeat,524daysago,38min,12,14,10,1.57,211CS
Don Miguel,Defeat,524daysago,37min,4,13,12,1.23,157CS
Don Miguel,Victory,524daysago,24min,12,4,5,4.25,153CS
