Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
EI Trapo,Platinum I,Defeat,2020-11-07,28,1,4,10,2.75,43
EI Trapo,Platinum I,Defeat,2020-11-07,28,3,5,6,1.8,35
EI Trapo,Platinum I,Defeat,2020-11-06,22,1,2,6,3.5,17
EI Trapo,Platinum I,Victory,2020-11-06,31,3,2,11,7.0,36
EI Trapo,Platinum I,Defeat,2020-11-06,28,2,6,12,2.33,47
EI Trapo,Platinum I,Victory,2020-11-06,22,3,1,12,15.0,14
EI Trapo,Platinum I,Victory,2020-11-06,25,6,2,12,9.0,25
EI Trapo,Platinum I,Defeat,2020-11-06,38,7,10,22,2.9,60
EI Trapo,Platinum I,Defeat,2020-11-05,29,1,5,12,2.6,36
EI Trapo,Platinum I,Victory,2020-11-05,25,3,0,12,15.0,31
EI Trapo,Platinum I,Victory,2020-11-04,31,1,1,17,18.0,8
EI Trapo,Platinum I,Victory,2020-11-03,53,4,12,21,2.08,38
EI Trapo,Platinum I,Victory,2020-11-02,20,0,1,6,6.0,22
EI Trapo,Platinum I,Victory,2020-11-02,20,2,1,7,9.0,25
EI Trapo,Platinum I,Victory,2020-10-30,28,2,0,10,12.0,38
EI Trapo,Platinum I,Victory,2020-09-18,31,10,5,19,5.8,29
EI Trapo,Platinum I,Victory,2020-09-17,26,4,2,9,6.5,35
EI Trapo,Platinum I,Defeat,2020-09-16,27,1,7,11,1.71,33
EI Trapo,Platinum I,Defeat,2020-09-16,27,1,5,14,3.0,9
EI Trapo,Platinum I,Victory,2020-09-13,39,2,6,22,4.0,43
EI Trapo,Platinum I,Victory,2020-09-13,21,0,3,11,3.67,3
EI Trapo,Platinum I,Defeat,2020-09-13,29,0,4,10,2.5,55
EI Trapo,Platinum I,Victory,2020-09-12,21,2,1,13,15.0,11
EI Trapo,Platinum I,Defeat,2020-09-09,28,2,5,13,3.0,39
EI Trapo,Platinum I,Defeat,2020-09-09,30,2,7,13,2.14,33
EI Trapo,Platinum I,Victory,2020-09-08,15,1,2,6,3.5,8
EI Trapo,Platinum I,Victory,2020-09-07,30,2,4,19,5.25,56
EI Trapo,Platinum I,Victory,2020-09-02,28,2,2,20,11.0,28
EI Trapo,Platinum I,Defeat,2020-09-02,32,1,2,6,3.5,33
EI Trapo,Platinum I,Defeat,2020-08-23,22,0,1,1,1.0,32
EI Trapo,Platinum I,Victory,2020-08-23,32,3,7,14,2.43,37
EI Trapo,Platinum I,Defeat,2020-08-22,34,2,4,9,2.75,46
EI Trapo,Platinum I,Victory,2020-08-22,29,2,4,11,3.25,50
EI Trapo,Platinum I,Victory,2020-08-15,25,3,5,12,3.0,28
EI Trapo,Platinum I,Victory,2020-08-15,22,4,3,10,4.67,15
EI Trapo,Platinum I,Defeat,2020-08-15,26,4,5,9,2.6,47
EI Trapo,Platinum I,Victory,2020-08-06,23,3,4,18,5.25,5
EI Trapo,Platinum I,Victory,2020-08-04,24,1,2,18,9.5,28
EI Trapo,Platinum I,Victory,2020-07-30,27,1,2,17,9.0,34
EI Trapo,Platinum I,Defeat,2020-06-24,29,0,4,11,2.75,37
EI Trapo,Platinum I,Defeat,2020-06-22,44,0,5,18,3.6,71
EI Trapo,Platinum I,Defeat,2020-06-21,29,1,10,11,1.2,34
EI Trapo,Platinum I,Defeat,2020-06-21,33,4,8,15,2.38,33
EI Trapo,Platinum I,Victory,2020-06-16,26,3,4,12,3.75,41
EI Trapo,Platinum I,Defeat,2020-06-13,27,3,3,7,3.33,41
EI Trapo,Platinum I,Defeat,2020-06-13,28,1,4,6,1.75,48
EI Trapo,Platinum I,Victory,2020-06-13,34,3,3,19,7.33,47
EI Trapo,Platinum I,Victory,2020-06-12,26,0,2,14,7.0,45
EI Trapo,Platinum I,Victory,2020-06-12,38,5,6,27,5.33,56
EI Trapo,Platinum I,Defeat,2020-06-11,25,4,5,7,2.2,30
EI Trapo,Platinum I,Victory,2020-06-11,38,2,9,17,2.11,39
EI Trapo,Platinum I,Defeat,2020-06-11,23,0,7,10,1.43,37
EI Trapo,Platinum I,Victory,2020-06-10,31,1,5,24,5.0,36
EI Trapo,Platinum I,Defeat,2020-06-10,27,2,6,5,1.17,30
EI Trapo,Platinum I,Victory,2020-06-10,38,4,5,19,4.6,47
EI Trapo,Platinum I,Defeat,2020-06-10,33,4,8,17,2.62,38
EI Trapo,Platinum I,Victory,2020-06-10,25,2,3,14,5.33,34
EI Trapo,Platinum I,Defeat,2020-06-10,23,1,4,8,2.25,36
EI Trapo,Platinum I,Victory,2020-06-09,34,2,8,22,3.0,43
EI Trapo,Platinum I,Victory,2020-06-08,25,3,2,12,7.5,44
EI Trapo,Platinum I,Defeat,2020-06-08,27,6,3,9,5.0,31
EI Trapo,Platinum I,Victory,2020-06-07,31,4,4,15,4.75,40
EI Trapo,Platinum I,Victory,2020-06-06,18,1,0,10,11.0,32
EI Trapo,Platinum I,Victory,2020-06-05,18,3,3,7,3.33,28
EI Trapo,Platinum I,Defeat,2020-06-04,33,2,8,17,2.38,45
EI Trapo,Platinum I,Defeat,2020-06-04,27,1,4,5,1.5,43
EI Trapo,Platinum I,Victory,2020-06-04,27,7,5,12,3.8,38
