Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
EI ritardo,Defeat,2020-11-22,38,5,4,14,4.75,59
EI ritardo,Defeat,2020-11-22,33,6,5,16,4.4,52
EI ritardo,Defeat,2020-11-22,24,5,4,21,6.5,28
EI ritardo,Victory,2020-11-22,15,1,1,15,16.0,22
EI ritardo,Defeat,2020-11-22,28,13,9,4,1.89,150
EI ritardo,Defeat,2020-11-22,51,32,12,15,3.92,323
EI ritardo,Victory,2020-11-22,35,10,4,3,3.25,245
EI ritardo,Victory,2020-11-19,19,2,2,14,8.0,36
EI ritardo,Victory,2020-11-19,33,5,2,25,15.0,60
EI ritardo,Victory,2020-11-18,29,18,4,5,5.75,241
EI ritardo,Victory,2020-11-18,27,13,4,3,4.0,164
EI ritardo,Defeat,2020-11-16,100,31,15,37,4.53,407
EI ritardo,Defeat,2020-11-15,73,26,10,35,6.1,233
EI ritardo,Defeat,2020-11-15,34,9,4,5,3.5,59
EI ritardo,Defeat,2020-11-15,30,3,6,10,2.17,30
EI ritardo,Defeat,2020-11-15,38,6,8,6,1.5,215
EI ritardo,Victory,2020-11-14,23,14,2,2,8.0,147
EI ritardo,Victory,2020-11-14,20,13,3,2,5.0,121
EI ritardo,Defeat,2020-11-14,21,3,5,2,1.0,111
EI ritardo,Victory,2020-11-14,30,5,2,17,11.0,47
EI ritardo,Defeat,2020-11-14,28,5,3,2,2.33,135
EI ritardo,Defeat,2020-11-04,56,7,10,20,2.7,264
EI ritardo,Victory,2020-11-01,33,14,5,5,3.8,216
EI ritardo,Victory,2020-11-01,17,7,0,6,13.0,123
EI ritardo,Victory,2020-11-01,37,6,3,11,5.67,276
EI ritardo,Defeat,2020-11-01,63,27,14,14,2.93,400
EI ritardo,Defeat,2020-11-01,23,4,6,25,4.83,27
EI ritardo,Victory,2020-11-01,35,17,9,5,2.44,214
EI ritardo,Defeat,2020-10-22,27,3,12,6,0.75,132
EI ritardo,Defeat,2020-10-15,31,19,7,9,4.0,212
EI ritardo,Defeat,2020-10-15,20,14,3,5,6.33,119
EI ritardo,Defeat,2020-10-15,35,5,6,12,2.83,126
EI ritardo,Victory,2020-10-15,25,7,1,9,16.0,137
EI ritardo,Victory,2020-10-15,25,4,2,7,5.5,136
EI ritardo,Defeat,2020-10-15,50,7,9,39,5.11,70
EI ritardo,Defeat,2020-10-05,16,1,1,5,6.0,95
EI ritardo,Defeat,2020-10-05,20,4,2,6,5.0,110
EI ritardo,Defeat,2020-10-05,15,5,1,2,7.0,100
EI ritardo,Defeat,2020-10-05,19,9,7,1,1.43,93
EI ritardo,Defeat,2020-10-05,15,1,5,6,1.4,62
EI ritardo,Defeat,2020-10-05,19,10,4,1,2.75,110
EI ritardo,Victory,2020-10-01,48,18,5,26,8.8,219
EI ritardo,Defeat,2020-10-01,50,4,8,45,6.12,8
EI ritardo,Defeat,2020-10-01,23,9,1,4,13.0,133
EI ritardo,Defeat,2020-10-01,15,0,1,10,10.0,22
EI ritardo,Defeat,2020-10-01,38,21,4,11,8.0,232
EI ritardo,Defeat,2020-10-01,26,1,3,9,3.33,137
EI ritardo,Victory,2020-10-01,19,5,3,3,2.67,132
EI ritardo,Defeat,2020-10-01,16,6,0,0,6.0,100
EI ritardo,Defeat,2020-10-01,16,6,2,4,5.0,96
EI ritardo,Defeat,2020-10-01,18,6,4,2,2.0,117
EI ritardo,Defeat,2020-10-01,17,8,2,1,4.5,117
EI ritardo,Defeat,2020-10-01,17,3,0,0,3.0,103
EI ritardo,Defeat,2020-10-01,21,0,0,4,4.0,155
EI ritardo,Defeat,2020-10-01,23,9,3,4,4.33,150
EI ritardo,Defeat,2020-09-30,19,2,6,13,2.5,35
EI ritardo,Defeat,2020-09-30,19,2,3,11,4.33,102
EI ritardo,Victory,2020-09-30,20,4,4,8,3.0,35
EI ritardo,Victory,2020-09-30,19,1,1,4,5.0,113
EI ritardo,Defeat,2020-09-30,15,15,0,1,16.0,123
EI ritardo,Defeat,2020-09-30,15,6,1,9,15.0,84
EI ritardo,Defeat,2020-09-30,20,7,5,5,2.4,110
EI ritardo,Defeat,2020-09-30,18,3,1,4,7.0,93
EI ritardo,Defeat,2020-09-30,20,7,4,4,2.75,121
EI ritardo,Defeat,2020-09-30,17,6,0,3,9.0,105
EI ritardo,Defeat,2020-09-30,15,4,0,4,8.0,96
EI ritardo,Victory,2020-09-28,23,7,4,13,5.0,49
EI ritardo,Defeat,2020-09-28,32,16,5,14,6.0,173
EI ritardo,Victory,2020-09-28,20,11,3,5,5.33,96
EI ritardo,Defeat,2020-09-28,26,8,1,5,13.0,171
EI ritardo,Defeat,2020-09-28,25,13,1,27,40.0,38
EI ritardo,Defeat,2020-09-28,15,5,0,6,11.0,7
EI ritardo,Defeat,2020-09-28,18,4,2,8,6.0,36
EI ritardo,Defeat,2020-09-27,25,8,7,6,2.0,131
EI ritardo,Defeat,2020-09-27,15,7,0,0,7.0,92
EI ritardo,Defeat,2020-09-27,21,6,2,1,3.5,131
EI ritardo,Defeat,2020-09-27,15,5,2,8,6.5,99
EI ritardo,Defeat,2020-09-27,24,5,4,10,3.75,130
EI ritardo,Defeat,2020-09-27,17,8,1,4,12.0,115
EI ritardo,Victory,2020-09-26,15,6,2,7,6.5,91
EI ritardo,Defeat,2020-09-26,21,4,1,4,8.0,129
EI ritardo,Defeat,2020-09-26,19,4,5,3,1.4,99
EI ritardo,Defeat,2020-09-26,24,5,1,8,13.0,153
EI ritardo,Defeat,2020-09-26,19,9,1,6,15.0,109
EI ritardo,Victory,2020-09-26,23,6,3,15,7.0,153
EI ritardo,Defeat,2020-09-26,51,3,6,24,4.5,47
EI ritardo,Defeat,2020-09-26,26,1,5,4,1.0,39
EI ritardo,Defeat,2020-09-25,34,12,5,13,5.0,90
EI ritardo,Victory,2020-09-24,23,5,1,18,23.0,37
EI ritardo,Defeat,2020-09-24,23,10,2,8,9.0,133
EI ritardo,Defeat,2020-09-24,21,7,4,7,3.5,103
EI ritardo,Defeat,2020-09-24,21,5,5,4,1.8,19
EI ritardo,Defeat,2020-09-24,19,1,5,4,1.0,22
EI ritardo,Defeat,2020-09-24,16,9,3,10,6.33,40
EI ritardo,Defeat,2020-09-24,24,3,1,17,20.0,32
EI ritardo,Defeat,2020-09-24,23,1,5,17,3.6,24
EI ritardo,Defeat,2020-09-17,42,4,5,27,6.2,50
EI ritardo,Defeat,2020-09-17,35,1,5,19,4.0,57
EI ritardo,Defeat,2020-09-17,19,11,3,12,7.67,139
EI ritardo,Defeat,2020-09-17,15,2,4,7,2.25,26
