Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Eipa,Defeat,2020-11-07,37,3,5,13,3.2,162
Eipa,Victory,2020-11-07,20,5,1,4,9.0,106
Eipa,Defeat,2020-10-26,33,7,8,11,2.25,218
Eipa,Defeat,2020-09-26,38,4,6,24,4.67,41
Eipa,Victory,2020-09-26,26,4,1,17,21.0,30
Eipa,Defeat,2020-09-26,33,5,5,23,5.6,42
Eipa,Victory,2020-09-26,49,6,8,35,5.12,42
Eipa,Victory,2020-09-21,20,2,2,15,8.5,2
Eipa,Defeat,2020-09-21,25,0,5,18,3.6,26
Eipa,Victory,2020-09-19,21,10,2,7,8.5,134
Eipa,Victory,2020-09-19,33,8,4,14,5.5,216
Eipa,Victory,2020-09-19,37,25,3,5,10.0,231
Eipa,Defeat,2020-09-19,23,3,2,0,1.5,142
Eipa,Victory,2020-09-14,35,14,4,7,5.25,190
Eipa,Victory,2020-09-14,22,4,2,4,4.0,104
Eipa,Victory,2020-09-02,31,7,5,2,1.8,162
Eipa,Defeat,2020-08-30,32,0,13,17,1.31,126
Eipa,Defeat,2020-08-29,22,0,5,4,0.8,112
Eipa,Defeat,2020-08-28,45,5,8,36,5.12,40
Eipa,Defeat,2020-08-28,25,7,1,5,12.0,169
Eipa,Defeat,2020-08-28,34,2,9,6,0.89,137
Eipa,Victory,2020-08-28,28,7,3,7,4.67,180
Eipa,Victory,2020-08-28,24,11,4,6,4.25,152
Eipa,Defeat,2020-08-27,21,2,5,2,0.8,147
Eipa,Defeat,2020-08-15,21,1,7,3,0.57,114
Eipa,Defeat,2020-08-14,19,3,6,2,0.83,94
Eipa,Defeat,2020-08-14,28,0,11,7,0.64,31
Eipa,Defeat,2020-08-08,18,2,5,3,1.0,2
Eipa,Defeat,2020-07-08,35,7,8,15,2.75,115
Eipa,Defeat,2020-07-07,24,3,4,10,3.25,28
Eipa,Victory,2020-07-07,31,3,7,11,2.0,118
Eipa,Defeat,2020-07-07,24,4,6,1,0.83,122
Eipa,Victory,2020-07-07,33,13,7,15,4.0,145
Eipa,Defeat,2020-07-07,26,2,5,8,2.0,7
Eipa,Victory,2020-07-06,39,5,10,10,1.5,44
Eipa,Victory,2020-07-06,19,0,1,3,3.0,113
Eipa,Victory,2020-07-05,24,3,3,6,3.0,14
Eipa,Victory,2020-07-05,34,8,9,22,3.33,16
Eipa,Victory,2020-07-05,26,2,5,16,3.6,25
Eipa,Defeat,2020-06-29,33,3,9,11,1.56,71
Eipa,Defeat,2020-06-25,29,7,7,17,3.43,107
Eipa,Defeat,2020-06-24,37,11,13,12,1.77,34
Eipa,Defeat,2020-06-23,25,11,4,4,3.75,67
Eipa,Victory,2020-06-23,40,27,7,9,5.14,159
Eipa,Victory,2020-06-22,23,6,0,4,10.0,132
Eipa,Victory,2020-06-22,23,5,0,8,13.0,99
Eipa,Defeat,2020-06-22,33,2,8,11,1.62,113
Eipa,Victory,2020-06-22,26,7,5,17,4.8,25
Eipa,Defeat,2020-06-22,22,1,3,6,2.33,16
Eipa,Defeat,2020-06-22,38,13,5,18,6.2,176
Eipa,Defeat,2020-06-21,31,7,11,14,1.91,19
Eipa,Victory,2020-06-21,40,13,4,16,7.25,186
Eipa,Defeat,2020-06-20,29,2,3,4,2.0,121
Eipa,Defeat,2020-06-20,47,22,5,24,9.2,180
Eipa,Victory,2020-06-20,34,12,5,18,6.0,135
Eipa,Victory,2020-06-20,28,11,1,9,20.0,118
Eipa,Victory,2020-06-20,34,6,7,10,2.29,40
Eipa,Victory,2020-06-19,31,15,5,12,5.4,113
Eipa,Victory,2020-06-19,39,6,10,29,3.5,168
Eipa,Victory,2020-06-19,32,8,2,19,13.5,106
Eipa,Victory,2020-06-19,27,7,1,10,17.0,116
Eipa,Victory,2020-06-19,45,8,11,15,2.09,198
Eipa,Victory,2020-06-18,36,11,2,19,15.0,151
Eipa,Defeat,2020-06-18,32,6,4,9,3.75,108
Eipa,Victory,2020-06-18,25,12,0,15,27.0,110
Eipa,Victory,2020-06-18,22,7,4,10,4.25,102
Eipa,Victory,2020-06-18,27,10,3,8,6.0,116
Eipa,Victory,2020-06-18,41,16,7,15,4.43,147
Eipa,Victory,2020-06-17,24,2,3,9,3.67,26
Eipa,Defeat,2020-06-17,23,3,10,3,0.6,49
Eipa,Defeat,2020-06-17,20,7,8,1,1.0,82
Eipa,Victory,2020-05-02,30,19,1,6,25.0,102
Eipa,Defeat,2020-03-16,38,7,11,10,1.55,245
Eipa,Defeat,2020-03-16,27,5,8,1,0.75,160
Eipa,Defeat,2020-03-16,18,6,6,2,1.33,93
Eipa,Defeat,2020-01-08,40,5,10,5,1.0,133
Eipa,Defeat,2019-12-26,39,19,18,7,1.44,175
Eipa,Defeat,2019-12-24,19,6,11,0,0.55,30
Eipa,Defeat,2019-12-19,31,3,6,6,1.5,172
Eipa,Victory,2019-12-18,22,4,2,3,3.5,175
Eipa,Defeat,2019-12-17,36,3,4,7,2.5,284
Eipa,Defeat,2019-12-17,27,4,5,6,2.0,166
Eipa,Defeat,2019-12-17,26,1,4,3,1.0,144
Eipa,Defeat,2019-12-17,31,5,7,3,1.14,213
Eipa,Defeat,2019-12-09,35,13,8,3,2.0,191
Eipa,Defeat,2019-12-09,34,3,7,9,1.71,250
Eipa,Defeat,2019-12-06,37,9,5,1,2.0,271
Eipa,Defeat,2019-12-06,36,12,9,5,1.89,280
Eipa,Victory,2019-12-05,28,3,11,11,1.27,162
