,W/L/R,Date,Duration,KDA,CS
0,Defeat,20 days ago,40min,6  /  4  /  7,229 CS
1,Defeat,47 days ago,24min,0  /  8  /  4,88 CS
2,Victory,47 days ago,35min,14  /  7  /  10,204 CS
3,Defeat,47 days ago,23min,3  /  6  /  4,166 CS
4,Victory,47 days ago,25min,9  /  8  /  9,188 CS
5,Defeat,47 days ago,21min,2  /  3  /  6,24 CS
6,Victory,47 days ago,25min,4  /  1  /  15,37 CS
7,Remake,47 days ago,3min,0  /  0  /  1,3 CS
8,Victory,68 days ago,23min,3  /  4  /  7,135 CS
9,Victory,76 days ago,40min,13  /  6  /  11,275 CS
10,Victory,76 days ago,42min,10  /  8  /  13,226 CS
11,Victory,76 days ago,24min,19  /  4  /  4,187 CS
12,Victory,76 days ago,33min,15  /  6  /  6,219 CS
13,Remake,76 days ago,3min,0  /  1  /  0,9 CS
14,Victory,76 days ago,28min,8  /  4  /  10,205 CS
15,Victory,76 days ago,30min,25  /  3  /  2,198 CS
16,Victory,76 days ago,45min,15  /  7  /  18,288 CS
17,Defeat,77 days ago,29min,8  /  7  /  6,210 CS
18,Defeat,77 days ago,33min,11  /  7  /  4,259 CS
19,Victory,77 days ago,25min,9  /  2  /  8,165 CS
20,Victory,77 days ago,26min,6  /  7  /  6,169 CS
21,Victory,77 days ago,35min,11  /  7  /  14,229 CS
22,Victory,77 days ago,19min,5  /  4  /  9,128 CS
23,Defeat,77 days ago,25min,4  /  6  /  3,147 CS
24,Defeat,77 days ago,22min,1  /  5  /  2,138 CS
25,Victory,77 days ago,22min,3  /  3  /  9,131 CS
26,Remake,78 days ago,3min,0  /  0  /  0,0 CS
27,Defeat,78 days ago,35min,4  /  11  /  11,72 CS
28,Victory,78 days ago,31min,12  /  8  /  9,215 CS
29,Remake,78 days ago,3min,1  /  0  /  0,11 CS
30,Remake,78 days ago,3min,0  /  0  /  0,11 CS
31,Defeat,78 days ago,28min,4  /  6  /  5,184 CS
32,Defeat,80 days ago,20min,1  /  5  /  4,12 CS
33,Victory,80 days ago,26min,7  /  4  /  10,150 CS
34,Victory,80 days ago,29min,10  /  6  /  9,170 CS
35,Defeat,81 days ago,36min,2  /  10  /  4,47 CS
36,Victory,81 days ago,23min,6  /  4  /  10,145 CS
37,Victory,81 days ago,35min,10  /  8  /  16,192 CS
38,Victory,81 days ago,31min,10  /  10  /  13,187 CS
39,Victory,82 days ago,28min,9  /  4  /  7,167 CS
40,Defeat,82 days ago,28min,2  /  4  /  0,171 CS
41,Defeat,82 days ago,20min,4  /  5  /  0,117 CS
42,Victory,82 days ago,18min,6  /  1  /  3,102 CS
43,Defeat,84 days ago,51min,5  /  17  /  13,220 CS
44,Victory,84 days ago,29min,3  /  0  /  20,159 CS
45,Victory,84 days ago,29min,9  /  4  /  1,147 CS
46,Victory,85 days ago,31min,16  /  4  /  6,238 CS
47,Defeat,85 days ago,27min,3  /  7  /  1,125 CS
48,Defeat,85 days ago,27min,4  /  8  /  8,129 CS
49,Victory,85 days ago,32min,14  /  5  /  12,188 CS
50,Defeat,101 days ago,39min,11  /  8  /  18,138 CS
51,Defeat,129 days ago,37min,11  /  6  /  15,110 CS
52,Defeat,129 days ago,31min,7  /  9  /  6,101 CS
53,Victory,130 days ago,23min,5  /  3  /  10,77 CS
54,Victory,130 days ago,21min,4  /  0  /  10,10 CS
55,Defeat,135 days ago,25min,4  /  10  /  5,68 CS
56,Defeat,135 days ago,16min,3  /  4  /  2,66 CS
57,Defeat,135 days ago,33min,8  /  7  /  7,113 CS
58,Defeat,135 days ago,20min,1  /  6  /  0,85 CS
59,Victory,136 days ago,23min,3  /  2  /  8,111 CS
60,Defeat,136 days ago,23min,4  /  6  /  2,88 CS
61,Victory,136 days ago,23min,8  /  2  /  3,91 CS
62,Defeat,137 days ago,26min,9  /  7  /  4,77 CS
