Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
Eipa,Defeat,22daysago,40min,6,4,7,3.25,229CS
Eipa,Defeat,49daysago,24min,0,8,4,0.5,88CS
Eipa,Victory,49daysago,35min,14,7,10,3.43,204CS
Eipa,Defeat,49daysago,23min,3,6,4,1.17,166CS
Eipa,Victory,49daysago,25min,9,8,9,2.25,188CS
Eipa,Defeat,49daysago,21min,2,3,6,2.67,24CS
Eipa,Victory,49daysago,25min,4,1,15,19.0,37CS
Eipa,Victory,70daysago,23min,3,4,7,2.5,135CS
Eipa,Victory,78daysago,40min,13,6,11,4.0,275CS
Eipa,Victory,78daysago,42min,10,8,13,2.88,226CS
Eipa,Victory,78daysago,24min,19,4,4,5.75,187CS
Eipa,Victory,78daysago,33min,15,6,6,3.5,219CS
Eipa,Victory,78daysago,28min,8,4,10,4.5,205CS
Eipa,Victory,78daysago,30min,25,3,2,9.0,198CS
Eipa,Victory,78daysago,45min,15,7,18,4.71,288CS
Eipa,Defeat,79daysago,29min,8,7,6,2.0,210CS
Eipa,Defeat,79daysago,33min,11,7,4,2.14,259CS
Eipa,Victory,79daysago,25min,9,2,8,8.5,165CS
Eipa,Victory,79daysago,26min,6,7,6,1.71,169CS
Eipa,Victory,79daysago,35min,11,7,14,3.57,229CS
Eipa,Victory,79daysago,19min,5,4,9,3.5,128CS
Eipa,Defeat,79daysago,25min,4,6,3,1.17,147CS
Eipa,Defeat,79daysago,22min,1,5,2,0.6,138CS
Eipa,Victory,79daysago,22min,3,3,9,4.0,131CS
Eipa,Defeat,80daysago,35min,4,11,11,1.36,72CS
Eipa,Victory,80daysago,31min,12,8,9,2.62,215CS
Eipa,Defeat,80daysago,28min,4,6,5,1.5,184CS
Eipa,Defeat,82daysago,20min,1,5,4,1.0,12CS
Eipa,Victory,82daysago,26min,7,4,10,4.25,150CS
Eipa,Victory,82daysago,29min,10,6,9,3.17,170CS
Eipa,Defeat,83daysago,36min,2,10,4,0.6,47CS
Eipa,Victory,83daysago,23min,6,4,10,4.0,145CS
Eipa,Victory,83daysago,35min,10,8,16,3.25,192CS
Eipa,Victory,83daysago,31min,10,10,13,2.3,187CS
Eipa,Victory,84daysago,28min,9,4,7,4.0,167CS
Eipa,Defeat,84daysago,28min,2,4,0,0.5,171CS
Eipa,Defeat,84daysago,20min,4,5,0,0.8,117CS
Eipa,Victory,84daysago,18min,6,1,3,9.0,102CS
Eipa,Defeat,86daysago,51min,5,17,13,1.06,220CS
Eipa,Victory,86daysago,29min,3,0,20,23.0,159CS
Eipa,Victory,86daysago,29min,9,4,1,2.5,147CS
Eipa,Victory,87daysago,31min,16,4,6,5.5,238CS
Eipa,Defeat,87daysago,27min,3,7,1,0.57,125CS
Eipa,Defeat,87daysago,27min,4,8,8,1.5,129CS
Eipa,Victory,87daysago,32min,14,5,12,5.2,188CS
Eipa,Defeat,103daysago,39min,11,8,18,3.62,138CS
Eipa,Defeat,131daysago,37min,11,6,15,4.33,110CS
Eipa,Defeat,131daysago,31min,7,9,6,1.44,101CS
Eipa,Victory,132daysago,23min,5,3,10,5.0,77CS
Eipa,Victory,132daysago,21min,4,0,10,14.0,10CS
Eipa,Defeat,137daysago,25min,4,10,5,0.9,68CS
Eipa,Defeat,137daysago,16min,3,4,2,1.25,66CS
Eipa,Defeat,137daysago,33min,8,7,7,2.14,113CS
Eipa,Defeat,137daysago,20min,1,6,0,0.17,85CS
Eipa,Victory,138daysago,23min,3,2,8,5.5,111CS
Eipa,Defeat,138daysago,23min,4,6,2,1.0,88CS
Eipa,Victory,138daysago,23min,8,2,3,5.5,91CS
Eipa,Defeat,139daysago,26min,9,7,4,1.86,77CS
Eipa,Victory,140daysago,15min,6,1,8,14.0,52CS
Eipa,Victory,140daysago,24min,4,2,8,6.0,96CS
Eipa,Defeat,140daysago,24min,7,4,6,3.25,79CS
Eipa,Defeat,140daysago,16min,3,3,2,1.67,75CS
Eipa,Defeat,141daysago,39min,5,12,10,1.25,40CS
Eipa,Defeat,141daysago,32min,9,5,20,5.8,89CS
Eipa,Victory,141daysago,29min,11,4,11,5.5,105CS
Eipa,Victory,141daysago,36min,7,6,16,3.83,104CS
Eipa,Defeat,141daysago,22min,5,4,6,2.75,52CS
Eipa,Victory,141daysago,23min,7,2,9,8.0,102CS
Eipa,Defeat,142daysago,29min,5,5,9,2.8,89CS
Eipa,Victory,142daysago,24min,13,0,10,23.0,94CS
Eipa,Victory,142daysago,27min,9,3,10,6.33,29CS
Eipa,Victory,142daysago,28min,12,3,14,8.67,115CS
Eipa,Victory,143daysago,32min,11,2,5,8.0,130CS
Eipa,Defeat,144daysago,36min,13,3,15,9.33,160CS
Eipa,Defeat,144daysago,30min,15,5,18,6.6,109CS
Eipa,Victory,144daysago,31min,4,9,11,1.67,69CS
Eipa,Victory,145daysago,35min,9,8,18,3.38,44CS
Eipa,Victory,147daysago,32min,4,9,15,2.11,79CS
Eipa,Defeat,149daysago,22min,4,9,4,0.89,68CS
Eipa,Victory,149daysago,25min,10,4,13,5.75,74CS
Eipa,Defeat,149daysago,30min,7,8,13,2.5,103CS
Eipa,Victory,150daysago,31min,10,3,11,7.0,80CS
Eipa,Defeat,151daysago,36min,1,7,5,0.86,111CS
Eipa,Defeat,151daysago,27min,1,8,2,0.38,106CS
Eipa,Defeat,151daysago,42min,2,13,9,0.85,40CS
Eipa,Victory,151daysago,43min,7,9,19,2.89,158CS
Eipa,Defeat,151daysago,35min,11,12,11,1.83,43CS
Eipa,Victory,152daysago,39min,13,5,10,4.6,144CS
Eipa,Defeat,154daysago,31min,15,7,9,3.43,113CS
Eipa,Victory,154daysago,25min,5,3,10,5.0,84CS
Eipa,Victory,163daysago,38min,17,8,13,3.75,86CS
Eipa,Defeat,201daysago,25min,3,6,4,1.17,88CS
Eipa,Defeat,208daysago,29min,7,5,8,3.0,92CS
Eipa,Defeat,247daysago,34min,2,11,4,0.55,162CS
