Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
El Brayayin,Defeat,2020-11-19,35,24,8,16,5.0,172
El Brayayin,Victory,2020-11-19,21,16,2,5,10.5,125
El Brayayin,Victory,2020-11-19,28,14,3,18,10.67,182
El Brayayin,Victory,2020-11-19,32,16,6,11,4.5,193
El Brayayin,Victory,2020-11-19,23,11,4,8,4.75,156
El Brayayin,Defeat,2020-11-19,41,17,6,14,5.17,326
El Brayayin,Victory,2020-11-18,32,6,7,18,3.43,165
El Brayayin,Defeat,2020-11-18,25,1,10,2,0.3,153
El Brayayin,Defeat,2020-11-18,15,0,0,1,1.0,28
El Brayayin,Defeat,2020-11-18,35,12,10,7,1.9,158
El Brayayin,Defeat,2020-11-18,32,14,7,9,3.29,284
El Brayayin,Victory,2020-11-18,33,23,6,9,5.33,178
El Brayayin,Victory,2020-11-18,33,17,10,14,3.1,174
El Brayayin,Defeat,2020-11-17,30,10,10,12,2.2,142
El Brayayin,Victory,2020-11-17,23,10,7,5,2.14,158
El Brayayin,Victory,2020-11-17,15,9,3,1,3.33,133
El Brayayin,Victory,2020-11-16,26,18,7,5,3.29,226
El Brayayin,Victory,2020-11-16,15,2,0,1,3.0,145
El Brayayin,Victory,2020-11-16,33,6,9,6,1.33,155
El Brayayin,Defeat,2020-11-16,34,24,9,9,3.67,216
El Brayayin,Defeat,2020-11-14,44,17,5,14,6.2,320
El Brayayin,Defeat,2020-11-14,24,3,5,4,1.4,187
El Brayayin,Victory,2020-11-14,21,6,7,5,1.57,143
El Brayayin,Victory,2020-11-14,23,17,3,10,9.0,167
El Brayayin,Victory,2020-11-13,22,12,2,8,10.0,181
El Brayayin,Defeat,2020-11-13,27,4,10,7,1.1,167
El Brayayin,Defeat,2020-11-13,38,19,10,8,2.7,306
El Brayayin,Defeat,2020-11-13,27,8,3,5,4.33,237
El Brayayin,Victory,2020-11-12,30,15,6,13,4.67,179
El Brayayin,Victory,2020-11-12,31,6,7,5,1.57,199
El Brayayin,Victory,2020-11-12,24,9,2,15,12.0,177
El Brayayin,Victory,2020-11-12,27,3,5,10,2.6,196
El Brayayin,Defeat,2020-11-12,16,2,5,0,0.4,78
El Brayayin,Victory,2020-11-12,21,13,1,8,21.0,225
El Brayayin,Victory,2020-11-11,34,19,11,15,3.09,202
El Brayayin,Victory,2020-11-11,26,8,5,5,2.6,197
El Brayayin,Defeat,2020-11-11,30,9,4,10,4.75,211
El Brayayin,Defeat,2020-11-10,32,16,9,12,3.11,202
El Brayayin,Victory,2020-11-10,30,22,4,13,8.75,257
El Brayayin,Victory,2020-11-10,20,5,2,7,6.0,171
El Brayayin,Defeat,2020-11-10,27,11,6,1,2.0,193
El Brayayin,Victory,2020-11-05,31,2,11,20,2.0,11
El Brayayin,Defeat,2020-11-04,38,9,11,20,2.64,267
El Brayayin,Victory,2020-11-04,45,19,11,20,3.55,345
El Brayayin,Defeat,2020-11-04,33,8,9,7,1.67,260
El Brayayin,Defeat,2020-11-01,40,4,11,9,1.18,332
El Brayayin,Victory,2020-10-30,24,7,3,14,7.0,173
El Brayayin,Victory,2020-10-30,20,1,2,1,1.0,155
El Brayayin,Victory,2020-10-30,24,5,2,10,7.5,216
El Brayayin,Defeat,2020-10-30,31,5,5,6,2.2,262
El Brayayin,Victory,2020-10-30,22,5,4,7,3.0,180
El Brayayin,Victory,2020-10-30,36,8,7,4,1.71,294
El Brayayin,Victory,2020-10-30,15,5,0,1,6.0,137
El Brayayin,Defeat,2020-10-29,46,18,8,10,3.5,302
El Brayayin,Victory,2020-10-29,21,10,3,5,5.0,163
El Brayayin,Victory,2020-10-28,37,8,9,6,1.56,281
El Brayayin,Victory,2020-10-28,30,3,6,7,1.67,201
El Brayayin,Defeat,2020-10-25,21,2,2,2,2.0,97
El Brayayin,Victory,2020-10-25,24,10,8,6,2.0,165
El Brayayin,Victory,2020-10-25,19,14,3,7,7.0,156
El Brayayin,Victory,2020-10-25,33,25,4,4,7.25,314
El Brayayin,Victory,2020-10-25,36,11,7,12,3.29,274
El Brayayin,Victory,2020-10-23,27,6,5,17,4.6,170
El Brayayin,Victory,2020-10-23,22,19,3,8,9.0,203
El Brayayin,Victory,2020-10-22,38,6,5,9,3.0,323
El Brayayin,Victory,2020-10-22,33,12,6,10,3.67,216
El Brayayin,Victory,2020-10-20,40,11,7,14,3.57,332
El Brayayin,Victory,2020-10-20,31,12,6,8,3.33,246
El Brayayin,Victory,2020-10-20,20,10,1,10,20.0,200
El Brayayin,Victory,2020-10-20,33,4,7,10,2.0,284
El Brayayin,Victory,2020-10-19,20,8,1,2,10.0,196
El Brayayin,Victory,2020-10-19,26,9,4,5,3.5,219
El Brayayin,Victory,2020-10-17,26,6,7,6,1.71,201
El Brayayin,Victory,2020-10-16,22,14,1,5,19.0,174
El Brayayin,Victory,2020-10-16,37,14,6,13,4.5,282
El Brayayin,Defeat,2020-10-15,41,26,6,11,6.17,345
El Brayayin,Victory,2020-10-15,28,4,5,11,3.0,186
El Brayayin,Victory,2020-10-11,29,12,3,4,5.33,238
El Brayayin,Victory,2020-10-11,30,14,4,6,5.0,237
El Brayayin,Victory,2020-10-08,35,8,6,10,3.0,288
El Brayayin,Victory,2020-10-06,26,4,3,10,4.67,155
El Brayayin,Victory,2020-10-06,32,9,4,20,7.25,241
El Brayayin,Victory,2020-10-01,32,15,6,9,4.0,263
El Brayayin,Victory,2020-09-30,27,13,7,9,3.14,206
El Brayayin,Victory,2020-09-30,30,12,4,9,5.25,253
El Brayayin,Defeat,2020-09-30,25,3,8,2,0.62,137
El Brayayin,Defeat,2020-09-23,23,2,8,8,1.25,184
El Brayayin,Defeat,2020-09-23,26,8,8,0,1.0,165
El Brayayin,Defeat,2020-09-23,22,6,5,5,2.2,126
El Brayayin,Defeat,2020-09-21,23,4,6,15,3.17,27
El Brayayin,Victory,2020-09-20,27,6,5,5,2.2,277
El Brayayin,Victory,2020-09-16,21,6,4,15,5.25,166
El Brayayin,Defeat,2020-09-13,18,0,6,3,0.5,97
El Brayayin,Victory,2020-09-09,39,26,4,15,10.25,268
El Brayayin,Defeat,2020-09-01,21,4,8,5,1.12,154
El Brayayin,Victory,2020-08-25,17,2,5,6,1.6,105
El Brayayin,Defeat,2020-08-25,25,6,4,3,2.25,228
El Brayayin,Victory,2020-08-18,23,16,3,9,8.33,183
