,W/L/R,Date,Duration,KDA,CS
0,Victory,3 days ago,19min,3  /  3  /  5,121 CS
1,Victory,7 days ago,42min,8  /  6  /  9,291 CS
2,Victory,8 days ago,16min,5  /  1  /  4,114 CS
3,Victory,9 days ago,24min,12  /  4  /  14,205 CS
4,Defeat,9 days ago,27min,4  /  8  /  7,191 CS
5,Victory,9 days ago,26min,10  /  2  /  7,233 CS
6,Defeat,9 days ago,21min,2  /  3  /  0,148 CS
7,Defeat,9 days ago,27min,1  /  4  /  3,214 CS
8,Defeat,10 days ago,24min,5  /  5  /  3,160 CS
9,Victory,10 days ago,33min,6  /  8  /  4,265 CS
10,Victory,10 days ago,25min,14  /  2  /  7,191 CS
11,Defeat,10 days ago,24min,7  /  8  /  5,152 CS
12,Victory,10 days ago,34min,8  /  5  /  11,211 CS
13,Victory,10 days ago,24min,14  /  1  /  11,176 CS
14,Defeat,10 days ago,24min,3  /  4  /  7,200 CS
15,Defeat,10 days ago,20min,1  /  4  /  0,154 CS
16,Victory,10 days ago,24min,9  /  2  /  11,181 CS
17,Victory,11 days ago,30min,9  /  6  /  10,205 CS
18,Victory,11 days ago,25min,6  /  3  /  9,220 CS
19,Victory,11 days ago,30min,10  /  4  /  9,221 CS
20,Victory,11 days ago,19min,10  /  2  /  3,145 CS
21,Victory,12 days ago,25min,2  /  5  /  11,172 CS
22,Defeat,12 days ago,27min,0  /  9  /  11,126 CS
23,Victory,12 days ago,28min,12  /  5  /  10,204 CS
24,Victory,16 days ago,24min,2  /  1  /  5,168 CS
25,Victory,21 days ago,25min,5  /  5  /  5,151 CS
26,Victory,24 days ago,37min,8  /  8  /  11,238 CS
27,Victory,24 days ago,16min,5  /  2  /  8,126 CS
28,Victory,24 days ago,26min,6  /  5  /  10,211 CS
29,Victory,24 days ago,36min,10  /  5  /  16,241 CS
30,Victory,24 days ago,21min,10  /  3  /  11,130 CS
31,Victory,24 days ago,27min,5  /  1  /  10,185 CS
32,Defeat,24 days ago,29min,8  /  10  /  5,149 CS
33,Victory,26 days ago,26min,13  /  3  /  6,173 CS
34,Victory,26 days ago,29min,12  /  1  /  12,226 CS
35,Victory,26 days ago,30min,5  /  5  /  6,206 CS
36,Victory,30 days ago,27min,7  /  1  /  11,234 CS
37,Victory,30 days ago,37min,6  /  10  /  18,222 CS
38,Victory,30 days ago,34min,9  /  9  /  11,264 CS
39,Defeat,30 days ago,29min,7  /  10  /  9,163 CS
40,Victory,34 days ago,36min,9  /  9  /  21,199 CS
41,Victory,34 days ago,17min,14  /  0  /  1,139 CS
42,Victory,34 days ago,22min,9  /  0  /  6,168 CS
43,Victory,34 days ago,17min,5  /  1  /  4,138 CS
44,Victory,34 days ago,15min,13  /  2  /  0,121 CS
45,Victory,34 days ago,16min,13  /  0  /  6,115 CS
46,Victory,34 days ago,15min,2  /  0  /  6,121 CS
47,Defeat,34 days ago,28min,8  /  3  /  4,210 CS
48,Victory,35 days ago,22min,14  /  1  /  6,131 CS
49,Victory,35 days ago,24min,16  /  2  /  6,203 CS
50,Victory,35 days ago,18min,1  /  1  /  5,158 CS
51,Victory,35 days ago,29min,7  /  6  /  3,223 CS
52,Defeat,35 days ago,15min,1  /  4  /  1,85 CS
53,Defeat,35 days ago,23min,6  /  6  /  4,149 CS
54,Victory,35 days ago,20min,8  /  2  /  6,139 CS
55,Defeat,35 days ago,28min,3  /  4  /  8,172 CS
56,Defeat,35 days ago,21min,2  /  5  /  0,164 CS
57,Victory,35 days ago,22min,2  /  1  /  3,196 CS
58,Victory,36 days ago,23min,8  /  1  /  6,139 CS
59,Remake,36 days ago,3min,0  /  1  /  0,6 CS
60,Defeat,36 days ago,25min,10  /  6  /  4,169 CS
61,Defeat,37 days ago,30min,3  /  6  /  8,189 CS
62,Victory,38 days ago,21min,3  /  2  /  5,153 CS
63,Defeat,38 days ago,22min,3  /  4  /  4,146 CS
64,Defeat,38 days ago,24min,11  /  7  /  5,153 CS
65,Victory,38 days ago,15min,7  /  0  /  4,106 CS
66,Victory,38 days ago,27min,6  /  1  /  5,226 CS
67,Defeat,38 days ago,18min,4  /  5  /  4,94 CS
68,Defeat,38 days ago,27min,6  /  5  /  4,176 CS
69,Victory,39 days ago,30min,10  /  2  /  7,203 CS
70,Victory,39 days ago,16min,4  /  2  /  5,121 CS
71,Defeat,40 days ago,35min,3  /  12  /  10,218 CS
72,Defeat,40 days ago,28min,2  /  8  /  11,134 CS
73,Victory,40 days ago,31min,16  /  2  /  11,207 CS
74,Defeat,40 days ago,23min,3  /  7  /  6,139 CS
75,Defeat,40 days ago,14min,1  /  3  /  2,75 CS
76,Victory,42 days ago,31min,6  /  5  /  13,176 CS
77,Victory,46 days ago,29min,6  /  1  /  14,246 CS
78,Defeat,46 days ago,29min,9  /  7  /  5,180 CS
79,Remake,47 days ago,3min,2  /  0  /  0,16 CS
80,Defeat,47 days ago,15min,1  /  2  /  0,99 CS
81,Victory,47 days ago,27min,4  /  6  /  9,136 CS
82,Victory,47 days ago,27min,9  /  3  /  10,246 CS
83,Defeat,47 days ago,24min,3  /  5  /  1,152 CS
84,Defeat,47 days ago,30min,1  /  3  /  4,194 CS
85,Victory,47 days ago,15min,4  /  2  /  7,106 CS
