Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
El Brayayin,Challenger,Victory,2020-12-12,33,17,2,10,13.5,256
El Brayayin,Challenger,Defeat,2020-12-02,32,9,5,7,3.2,263
El Brayayin,Challenger,Victory,2020-11-29,31,11,4,13,6.0,255
El Brayayin,Challenger,Victory,2020-11-28,23,13,4,11,6.0,182
El Brayayin,Challenger,Victory,2020-11-27,23,13,3,7,6.67,172
El Brayayin,Challenger,Defeat,2020-11-27,20,2,5,0,0.4,128
El Brayayin,Challenger,Victory,2020-11-27,35,14,2,10,12.0,237
El Brayayin,Challenger,Defeat,2020-11-27,22,5,10,8,1.3,121
El Brayayin,Challenger,Victory,2020-11-26,30,11,2,8,9.5,245
El Brayayin,Challenger,Defeat,2020-11-26,26,5,8,5,1.25,110
El Brayayin,Challenger,Victory,2020-11-26,30,8,1,11,19.0,228
El Brayayin,Challenger,Victory,2020-11-26,30,8,3,12,6.67,236
El Brayayin,Challenger,Defeat,2020-11-26,23,3,3,1,1.33,192
El Brayayin,Challenger,Victory,2020-11-26,26,8,5,6,2.8,215
El Brayayin,Challenger,Victory,2020-11-26,27,9,3,11,6.67,157
El Brayayin,Challenger,Defeat,2020-11-26,22,4,2,2,3.0,164
El Brayayin,Challenger,Victory,2020-11-26,20,3,1,9,12.0,137
El Brayayin,Challenger,Victory,2020-11-25,23,17,4,4,5.25,172
El Brayayin,Challenger,Victory,2020-11-25,32,15,5,11,5.2,238
El Brayayin,Challenger,Victory,2020-11-25,32,5,7,10,2.14,189
El Brayayin,Challenger,Victory,2020-11-25,29,10,5,8,3.6,210
El Brayayin,Challenger,Victory,2020-11-25,18,8,1,5,13.0,144
El Brayayin,Challenger,Defeat,2020-11-25,35,11,7,11,3.14,272
El Brayayin,Challenger,Victory,2020-11-13,19,3,3,5,2.67,121
El Brayayin,Challenger,Victory,2020-11-09,42,8,6,9,2.83,291
El Brayayin,Challenger,Victory,2020-11-09,16,5,1,4,9.0,114
El Brayayin,Challenger,Victory,2020-11-08,24,12,4,14,6.5,205
El Brayayin,Challenger,Defeat,2020-11-08,27,4,8,7,1.38,191
El Brayayin,Challenger,Victory,2020-11-08,26,10,2,7,8.5,233
El Brayayin,Challenger,Defeat,2020-11-08,21,2,3,0,0.67,148
El Brayayin,Challenger,Defeat,2020-11-07,27,1,4,3,1.0,214
El Brayayin,Challenger,Defeat,2020-11-07,24,5,5,3,1.6,160
El Brayayin,Challenger,Victory,2020-11-07,33,6,8,4,1.25,265
El Brayayin,Challenger,Victory,2020-11-07,25,14,2,7,10.5,191
El Brayayin,Challenger,Defeat,2020-11-07,24,7,8,5,1.5,152
El Brayayin,Challenger,Victory,2020-11-07,34,8,5,11,3.8,211
El Brayayin,Challenger,Victory,2020-11-07,24,14,1,11,25.0,176
El Brayayin,Challenger,Defeat,2020-11-07,24,3,4,7,2.5,200
El Brayayin,Challenger,Defeat,2020-11-07,20,1,4,0,0.25,154
El Brayayin,Challenger,Victory,2020-11-06,24,9,2,11,10.0,181
El Brayayin,Challenger,Victory,2020-11-06,30,9,6,10,3.17,205
El Brayayin,Challenger,Victory,2020-11-06,25,6,3,9,5.0,220
El Brayayin,Challenger,Victory,2020-11-06,30,10,4,9,4.75,221
El Brayayin,Challenger,Victory,2020-11-06,19,10,2,3,6.5,145
El Brayayin,Challenger,Victory,2020-11-05,25,2,5,11,2.6,172
El Brayayin,Challenger,Defeat,2020-11-05,27,0,9,11,1.22,126
El Brayayin,Challenger,Victory,2020-11-04,28,12,5,10,4.4,204
El Brayayin,Challenger,Victory,2020-10-31,24,2,1,5,7.0,168
El Brayayin,Challenger,Victory,2020-10-27,25,5,5,5,2.0,151
El Brayayin,Challenger,Victory,2020-10-24,37,8,8,11,2.38,238
El Brayayin,Challenger,Victory,2020-10-24,16,5,2,8,6.5,126
El Brayayin,Challenger,Victory,2020-10-24,26,6,5,10,3.2,211
El Brayayin,Challenger,Victory,2020-10-24,36,10,5,16,5.2,241
El Brayayin,Challenger,Victory,2020-10-24,21,10,3,11,7.0,130
El Brayayin,Challenger,Victory,2020-10-24,27,5,1,10,15.0,185
El Brayayin,Challenger,Defeat,2020-10-24,29,8,10,5,1.3,149
El Brayayin,Challenger,Victory,2020-10-22,26,13,3,6,6.33,173
El Brayayin,Challenger,Victory,2020-10-22,29,12,1,12,24.0,226
El Brayayin,Challenger,Victory,2020-10-22,30,5,5,6,2.2,206
El Brayayin,Challenger,Victory,2020-10-18,27,7,1,11,18.0,234
El Brayayin,Challenger,Victory,2020-10-18,37,6,10,18,2.4,222
El Brayayin,Challenger,Victory,2020-10-18,34,9,9,11,2.22,264
El Brayayin,Challenger,Defeat,2020-10-18,29,7,10,9,1.6,163
El Brayayin,Challenger,Victory,2020-10-14,36,9,9,21,3.33,199
El Brayayin,Challenger,Victory,2020-10-14,17,14,0,1,15.0,139
El Brayayin,Challenger,Victory,2020-10-14,22,9,0,6,15.0,168
El Brayayin,Challenger,Victory,2020-10-14,17,5,1,4,9.0,138
El Brayayin,Challenger,Victory,2020-10-13,15,13,2,0,6.5,121
El Brayayin,Challenger,Victory,2020-10-13,16,13,0,6,19.0,115
El Brayayin,Challenger,Victory,2020-10-13,15,2,0,6,8.0,121
El Brayayin,Challenger,Defeat,2020-10-13,28,8,3,4,4.0,210
El Brayayin,Challenger,Victory,2020-10-13,22,14,1,6,20.0,131
El Brayayin,Challenger,Victory,2020-10-13,24,16,2,6,11.0,203
El Brayayin,Challenger,Victory,2020-10-13,18,1,1,5,6.0,158
El Brayayin,Challenger,Victory,2020-10-13,29,7,6,3,1.67,223
El Brayayin,Challenger,Defeat,2020-10-13,15,1,4,1,0.5,85
El Brayayin,Challenger,Defeat,2020-10-13,23,6,6,4,1.67,149
El Brayayin,Challenger,Victory,2020-10-13,20,8,2,6,7.0,139
El Brayayin,Challenger,Defeat,2020-10-12,28,3,4,8,2.75,172
El Brayayin,Challenger,Defeat,2020-10-12,21,2,5,0,0.4,164
El Brayayin,Challenger,Victory,2020-10-12,22,2,1,3,5.0,196
El Brayayin,Challenger,Victory,2020-10-12,23,8,1,6,14.0,139
El Brayayin,Challenger,Defeat,2020-10-11,25,10,6,4,2.33,169
El Brayayin,Challenger,Defeat,2020-10-11,30,3,6,8,1.83,189
El Brayayin,Challenger,Victory,2020-10-10,21,3,2,5,4.0,153
El Brayayin,Challenger,Defeat,2020-10-10,22,3,4,4,1.75,146
El Brayayin,Challenger,Defeat,2020-10-10,24,11,7,5,2.29,153
El Brayayin,Challenger,Victory,2020-10-10,15,7,0,4,11.0,106
El Brayayin,Challenger,Victory,2020-10-10,27,6,1,5,11.0,226
El Brayayin,Challenger,Defeat,2020-10-10,18,4,5,4,1.6,94
El Brayayin,Challenger,Defeat,2020-10-10,27,6,5,4,2.0,176
El Brayayin,Challenger,Victory,2020-10-09,30,10,2,7,8.5,203
