Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
El Mega,Master,Defeat,2020-12-12,21,1,5,2,0.6,133
El Mega,Master,Victory,2020-12-12,10,1,1,3,4.0,19
El Mega,Master,Victory,2020-12-12,27,9,4,9,4.5,225
El Mega,Master,Victory,2020-12-12,18,4,1,2,6.0,153
El Mega,Master,Victory,2020-12-08,23,19,2,6,12.5,162
El Mega,Master,Defeat,2020-12-06,12,2,3,4,2.0,28
El Mega,Master,Defeat,2020-12-01,27,5,7,1,0.86,164
El Mega,Master,Victory,2020-12-01,24,13,1,11,24.0,147
El Mega,Master,Victory,2020-12-01,27,17,4,11,7.0,149
El Mega,Master,Victory,2020-12-01,31,14,7,12,3.71,204
El Mega,Master,Defeat,2020-12-01,23,3,10,3,0.6,123
El Mega,Master,Victory,2020-12-01,23,18,3,8,8.67,198
El Mega,Master,Victory,2020-12-01,27,6,4,17,5.75,191
El Mega,Master,Defeat,2020-11-30,23,1,7,1,0.29,86
El Mega,Master,Defeat,2020-11-25,18,4,3,0,1.33,116
El Mega,Master,Defeat,2020-11-23,25,3,13,6,0.69,137
El Mega,Master,Defeat,2020-11-23,26,6,8,6,1.5,108
El Mega,Master,Victory,2020-11-23,29,10,4,11,5.25,206
El Mega,Master,Defeat,2020-11-22,24,5,6,3,1.33,165
El Mega,Master,Victory,2020-11-22,26,17,7,5,3.14,188
El Mega,Master,Defeat,2020-11-22,28,18,8,10,3.5,194
El Mega,Master,Victory,2020-11-22,30,4,7,17,3.0,128
El Mega,Master,Defeat,2020-11-22,26,4,10,7,1.1,121
El Mega,Master,Defeat,2020-11-03,27,6,10,9,1.5,186
El Mega,Master,Defeat,2020-11-02,16,1,4,0,0.25,90
El Mega,Master,Defeat,2020-10-30,29,0,12,11,0.92,120
El Mega,Master,Defeat,2020-10-22,23,2,3,2,1.33,115
El Mega,Master,Victory,2020-10-22,41,5,5,17,4.4,220
El Mega,Master,Defeat,2020-10-20,33,0,6,10,1.67,229
El Mega,Master,Victory,2020-10-20,24,10,0,3,13.0,215
El Mega,Master,Victory,2020-10-20,32,7,7,5,1.71,234
El Mega,Master,Defeat,2020-10-18,23,6,7,2,1.14,179
El Mega,Master,Defeat,2020-10-18,21,3,6,6,1.5,140
El Mega,Master,Defeat,2020-10-18,27,1,10,10,1.1,48
El Mega,Master,Defeat,2020-10-15,23,1,9,5,0.67,108
El Mega,Master,Defeat,2020-10-15,20,2,4,1,0.75,98
El Mega,Master,Defeat,2020-10-15,26,3,6,3,1.0,151
El Mega,Master,Victory,2020-10-14,17,5,0,3,8.0,129
El Mega,Master,Defeat,2020-10-14,36,5,10,13,1.8,186
El Mega,Master,Victory,2020-10-13,23,8,2,5,6.5,167
El Mega,Master,Victory,2020-10-13,23,6,3,6,4.0,171
El Mega,Master,Defeat,2020-10-10,30,11,6,5,2.67,229
