Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Elisma97,Bronze III,Victory,2020-07-12,35,3,9,9,1.33,126
Elisma97,Bronze III,Defeat,2020-03-08,20,1,3,0,0.33,132
Elisma97,Bronze III,Defeat,2020-03-08,25,2,8,3,0.62,120
Elisma97,Bronze III,Victory,2020-02-29,25,4,2,2,3.0,194
Elisma97,Bronze III,Victory,2020-02-24,29,11,5,3,2.8,191
Elisma97,Bronze III,Victory,2020-02-24,33,5,1,7,12.0,206
Elisma97,Bronze III,Defeat,2020-02-24,27,7,5,4,2.2,130
Elisma97,Bronze III,Defeat,2020-02-22,22,1,4,5,1.5,116
Elisma97,Bronze III,Defeat,2020-02-22,31,7,7,1,1.14,178
Elisma97,Bronze III,Victory,2020-02-19,27,8,2,3,5.5,161
Elisma97,Bronze III,Victory,2020-02-19,40,16,7,6,3.14,248
Elisma97,Bronze III,Defeat,2020-01-14,29,4,5,2,1.2,155
Elisma97,Bronze III,Defeat,2020-01-14,29,0,6,2,0.33,136
Elisma97,Bronze III,Victory,2020-01-13,28,4,4,7,2.75,125
Elisma97,Bronze III,Defeat,2019-07-05,15,0,4,0,0.0,73
