Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Eudus,GrandMaster,Defeat,2020-11-10,30,2,10,21,2.3,35
Eudus,GrandMaster,Defeat,2020-11-09,26,2,4,3,1.25,177
Eudus,GrandMaster,Defeat,2020-11-08,22,2,8,3,0.62,133
Eudus,GrandMaster,Victory,2020-11-07,28,6,4,5,2.75,225
Eudus,GrandMaster,Victory,2020-11-07,29,11,4,5,4.0,230
Eudus,GrandMaster,Victory,2020-11-06,35,7,6,10,2.83,264
Eudus,GrandMaster,Victory,2020-11-04,29,10,8,13,2.88,180
Eudus,GrandMaster,Defeat,2020-11-04,24,2,7,0,0.29,187
Eudus,GrandMaster,Victory,2020-10-31,32,3,7,11,2.0,265
Eudus,GrandMaster,Defeat,2020-10-31,18,1,2,0,0.5,147
Eudus,GrandMaster,Victory,2020-10-31,22,1,3,5,2.0,169
Eudus,GrandMaster,Victory,2020-10-30,28,6,3,6,4.0,196
Eudus,GrandMaster,Defeat,2020-10-30,26,6,6,10,2.67,171
Eudus,GrandMaster,Victory,2020-10-27,19,6,2,6,6.0,171
Eudus,GrandMaster,Victory,2020-10-27,26,7,2,4,5.5,212
Eudus,GrandMaster,Defeat,2020-10-27,27,4,6,3,1.17,201
Eudus,GrandMaster,Defeat,2020-10-25,31,7,10,6,1.3,168
Eudus,GrandMaster,Victory,2020-10-24,37,6,8,5,1.38,309
Eudus,GrandMaster,Victory,2020-10-23,32,9,8,23,4.0,170
Eudus,GrandMaster,Defeat,2020-10-22,21,3,9,0,0.33,128
Eudus,GrandMaster,Victory,2020-10-21,31,1,6,12,2.17,208
Eudus,GrandMaster,Victory,2020-10-18,18,2,1,1,3.0,145
Eudus,GrandMaster,Victory,2020-10-18,20,4,5,9,2.6,147
Eudus,GrandMaster,Victory,2020-10-17,26,5,1,5,10.0,234
Eudus,GrandMaster,Defeat,2020-10-17,34,7,12,4,0.92,214
Eudus,GrandMaster,Victory,2020-10-16,16,8,1,2,10.0,155
Eudus,GrandMaster,Defeat,2020-10-15,21,4,7,3,1.0,160
Eudus,GrandMaster,Victory,2020-10-13,32,7,2,7,7.0,226
Eudus,GrandMaster,Defeat,2020-10-12,20,0,5,3,0.6,141
Eudus,GrandMaster,Defeat,2020-10-11,25,2,6,7,1.5,190
Eudus,GrandMaster,Defeat,2020-10-11,31,6,8,3,1.12,240
Eudus,GrandMaster,Defeat,2020-10-10,15,1,2,1,1.0,138
