Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
EyF123,Bronze I,Defeat,2020-08-21,26,0,0,0,0.0,0
EyF123,Bronze I,Defeat,2020-08-21,30,2,4,1,0.75,175
EyF123,Bronze I,Victory,2020-08-21,28,3,3,6,3.0,150
EyF123,Bronze I,Defeat,2020-08-21,29,6,10,3,0.9,106
EyF123,Bronze I,Victory,2020-08-20,25,5,3,8,4.33,98
EyF123,Bronze I,Defeat,2020-08-20,34,8,7,10,2.57,141
EyF123,Bronze I,Victory,2020-08-20,35,8,4,5,3.25,161
EyF123,Bronze I,Defeat,2020-08-20,43,4,8,7,1.38,203
EyF123,Bronze I,Defeat,2020-08-20,33,8,9,5,1.44,148
EyF123,Bronze I,Victory,2020-08-20,30,5,9,11,1.78,133
EyF123,Bronze I,Defeat,2020-08-18,28,3,5,1,0.8,172
EyF123,Bronze I,Defeat,2020-08-18,27,0,9,9,1.0,138
EyF123,Bronze I,Victory,2020-08-18,33,3,6,8,1.83,151
