Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Fayta,Gold I,Defeat,2020-11-26,32,5,11,17,2.0,131
Fayta,Gold I,Victory,2020-11-20,32,8,7,5,1.86,38
Fayta,Gold I,Defeat,2020-09-06,36,12,11,10,2.0,206
Fayta,Gold I,Victory,2020-09-06,29,13,9,10,2.56,148
Fayta,Gold I,Defeat,2020-09-05,33,15,9,11,2.89,226
Fayta,Gold I,Victory,2020-09-05,32,14,9,12,2.89,167
Fayta,Gold I,Victory,2020-09-05,25,6,4,5,2.75,154
Fayta,Gold I,Defeat,2020-09-03,21,0,7,1,0.14,82
Fayta,Gold I,Defeat,2020-09-02,43,14,14,18,2.29,225
Fayta,Gold I,Victory,2020-09-02,28,15,9,16,3.44,215
Fayta,Gold I,Victory,2020-09-02,34,15,6,11,4.33,245
Fayta,Gold I,Victory,2020-09-02,28,11,8,12,2.88,143
Fayta,Gold I,Victory,2020-09-02,34,9,10,5,1.4,205
Fayta,Gold I,Victory,2020-09-02,26,9,7,8,2.43,146
Fayta,Gold I,Victory,2020-09-02,31,20,3,9,9.67,221
Fayta,Gold I,Defeat,2020-06-16,19,1,3,0,0.33,41
Fayta,Gold I,Defeat,2020-04-20,32,2,5,5,1.4,182
Fayta,Gold I,Victory,2020-04-20,34,2,2,9,5.5,235
Fayta,Gold I,Victory,2020-04-20,25,3,2,4,3.5,202
Fayta,Gold I,Victory,2020-04-19,34,4,5,8,2.4,302
Fayta,Gold I,Victory,2020-04-19,31,11,3,7,6.0,204
Fayta,Gold I,Victory,2020-04-19,20,3,2,1,2.0,182
Fayta,Gold I,Defeat,2020-04-19,17,2,2,2,2.0,146
Fayta,Gold I,Defeat,2020-04-19,25,3,2,2,2.5,235
Fayta,Gold I,Victory,2020-04-19,25,5,3,5,3.33,237
Fayta,Gold I,Victory,2020-04-18,22,1,3,9,3.33,50
Fayta,Gold I,Defeat,2020-04-18,28,4,3,1,1.67,240
Fayta,Gold I,Victory,2020-04-18,35,9,9,8,1.89,243
Fayta,Gold I,Victory,2020-04-18,21,19,1,2,21.0,170
Fayta,Gold I,Victory,2020-04-18,27,5,1,10,15.0,250
Fayta,Gold I,Defeat,2020-04-17,40,13,4,11,6.0,290
Fayta,Gold I,Defeat,2020-04-17,31,6,2,2,4.0,323
Fayta,Gold I,Victory,2020-04-17,31,9,5,14,4.6,196
Fayta,Gold I,Victory,2020-04-17,28,17,4,3,5.0,174
Fayta,Gold I,Defeat,2020-04-17,28,4,7,9,1.86,156
Fayta,Gold I,Defeat,2020-04-17,31,7,9,13,2.22,51
Fayta,Gold I,Defeat,2020-03-30,34,6,12,10,1.33,197
Fayta,Gold I,Victory,2020-03-25,35,10,4,0,2.5,227
Fayta,Gold I,Defeat,2020-03-25,22,2,8,0,0.25,129
Fayta,Gold I,Defeat,2020-03-24,24,4,9,3,0.78,107
Fayta,Gold I,Defeat,2020-03-24,37,6,4,8,3.5,250
Fayta,Gold I,Victory,2020-03-24,27,19,7,4,3.29,139
Fayta,Gold I,Victory,2020-03-24,36,12,10,11,2.3,269
Fayta,Gold I,Victory,2020-03-06,38,4,8,28,4.0,49
Fayta,Gold I,Victory,2020-03-06,32,0,7,19,2.71,33
Fayta,Gold I,Victory,2020-03-06,44,10,15,18,1.87,110
Fayta,Gold I,Victory,2020-03-06,25,4,6,16,3.33,31
Fayta,Gold I,Defeat,2020-03-03,29,10,5,8,3.6,183
Fayta,Gold I,Defeat,2020-03-03,37,3,9,14,1.89,42
Fayta,Gold I,Defeat,2020-03-03,30,8,9,8,1.78,49
Fayta,Gold I,Victory,2020-03-02,33,8,5,5,2.6,267
Fayta,Gold I,Victory,2020-03-02,32,9,4,8,4.25,261
Fayta,Gold I,Defeat,2020-03-02,27,1,3,9,3.33,20
Fayta,Gold I,Victory,2020-02-27,30,3,4,21,6.0,45
Fayta,Gold I,Victory,2020-02-27,22,6,2,12,9.0,22
Fayta,Gold I,Defeat,2020-02-27,33,7,8,8,1.88,223
Fayta,Gold I,Victory,2020-02-26,32,6,7,13,2.71,235
Fayta,Gold I,Victory,2020-02-26,28,7,6,12,3.17,161
Fayta,Gold I,Victory,2020-02-04,23,4,7,3,1.0,161
Fayta,Gold I,Defeat,2020-02-02,28,2,12,2,0.33,142
Fayta,Gold I,Defeat,2020-02-02,22,3,7,1,0.57,156
Fayta,Gold I,Victory,2020-02-02,20,11,4,4,3.75,152
Fayta,Gold I,Victory,2020-02-02,25,8,6,4,2.0,159
Fayta,Gold I,Defeat,2020-02-02,34,4,14,3,0.5,189
Fayta,Gold I,Defeat,2020-02-02,30,3,9,7,1.11,237
