Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
FerMx,Gold I,Victory,2020-11-22,31,13,3,5,6.0,237
FerMx,Gold I,Defeat,2020-10-29,33,10,6,13,3.83,214
FerMx,Gold I,Defeat,2020-10-26,25,1,1,6,7.0,170
FerMx,Gold I,Defeat,2020-10-23,25,0,2,1,0.5,150
FerMx,Gold I,Defeat,2020-08-17,47,16,8,13,3.62,295
FerMx,Gold I,Victory,2020-08-17,21,1,2,13,7.0,14
FerMx,Gold I,Victory,2020-08-17,36,10,5,6,3.2,203
FerMx,Gold I,Defeat,2020-08-03,37,7,7,11,2.57,216
FerMx,Gold I,Defeat,2020-08-02,20,1,2,0,0.5,148
FerMx,Gold I,Victory,2020-08-02,27,9,4,9,4.5,164
FerMx,Gold I,Victory,2020-08-01,31,9,2,15,12.0,214
FerMx,Gold I,Victory,2020-08-01,29,4,3,9,4.33,137
FerMx,Gold I,Defeat,2020-08-01,32,3,2,17,10.0,78
FerMx,Gold I,Defeat,2020-08-01,29,11,6,7,3.0,174
FerMx,Gold I,Victory,2020-08-01,32,1,3,10,3.67,176
FerMx,Gold I,Defeat,2020-07-29,38,9,5,3,2.4,266
FerMx,Gold I,Victory,2020-07-29,35,9,5,10,3.8,232
FerMx,Gold I,Victory,2020-07-29,37,15,3,8,7.67,225
FerMx,Gold I,Victory,2020-06-18,26,4,2,3,3.5,165
FerMx,Gold I,Victory,2020-06-18,29,7,3,10,5.67,179
FerMx,Gold I,Victory,2020-06-18,25,11,2,13,12.0,166
FerMx,Gold I,Defeat,2020-06-18,29,5,7,5,1.43,167
FerMx,Gold I,Victory,2020-06-18,32,10,4,9,4.75,138
FerMx,Gold I,Victory,2020-06-18,26,10,4,13,5.75,135
FerMx,Gold I,Victory,2020-05-25,24,4,1,13,17.0,152
FerMx,Gold I,Defeat,2020-05-13,19,2,2,2,2.0,67
FerMx,Gold I,Defeat,2020-05-13,36,6,4,7,3.25,214
FerMx,Gold I,Defeat,2020-05-13,22,0,2,0,0.0,115
FerMx,Gold I,Defeat,2020-05-03,31,2,7,5,1.0,191
FerMx,Gold I,Victory,2020-05-03,25,6,0,7,13.0,182
FerMx,Gold I,Defeat,2020-05-02,15,2,4,1,0.75,116
FerMx,Gold I,Defeat,2020-05-02,26,3,6,1,0.67,233
FerMx,Gold I,Victory,2020-05-02,29,9,3,7,5.33,220
FerMx,Gold I,Defeat,2020-05-02,32,3,10,5,0.8,216
FerMx,Gold I,Defeat,2020-05-02,20,4,3,1,1.67,127
FerMx,Gold I,Victory,2020-05-02,31,6,2,4,5.0,276
FerMx,Gold I,Victory,2020-05-01,26,5,2,9,7.0,211
FerMx,Gold I,Victory,2020-05-01,30,8,1,5,13.0,255
FerMx,Gold I,Defeat,2020-05-01,40,4,7,11,2.14,301
FerMx,Gold I,Defeat,2020-05-01,26,7,9,2,1.0,120
FerMx,Gold I,Victory,2020-05-01,22,3,2,4,3.5,172
FerMx,Gold I,Victory,2020-04-30,23,6,0,10,16.0,138
FerMx,Gold I,Defeat,2020-04-26,23,2,4,3,1.25,128
FerMx,Gold I,Defeat,2020-04-26,36,6,9,14,2.22,237
FerMx,Gold I,Victory,2020-04-21,27,8,2,7,7.5,188
FerMx,Gold I,Victory,2020-04-18,23,5,3,2,2.33,200
FerMx,Gold I,Victory,2020-04-18,28,5,4,2,1.75,234
FerMx,Gold I,Victory,2020-04-18,35,15,2,11,13.0,292
FerMx,Gold I,Defeat,2020-04-17,30,3,5,5,1.6,217
FerMx,Gold I,Defeat,2020-04-17,34,6,6,0,1.0,277
FerMx,Gold I,Defeat,2020-04-04,31,7,6,4,1.83,240
FerMx,Gold I,Victory,2020-04-02,21,7,3,7,4.67,159
FerMx,Gold I,Victory,2020-04-02,26,6,2,12,9.0,200
FerMx,Gold I,Defeat,2020-04-02,40,7,8,15,2.75,270
FerMx,Gold I,Victory,2020-03-26,22,3,4,5,2.0,151
FerMx,Gold I,Victory,2020-03-26,31,9,3,7,5.33,191
FerMx,Gold I,Defeat,2020-03-26,28,3,7,3,0.86,219
FerMx,Gold I,Victory,2020-03-26,23,7,0,0,7.0,220
FerMx,Gold I,Defeat,2020-03-25,38,9,8,6,1.88,216
FerMx,Gold I,Victory,2020-03-25,38,15,4,13,7.0,269
FerMx,Gold I,Victory,2020-03-24,27,3,2,19,11.0,20
FerMx,Gold I,Victory,2020-03-24,33,6,0,8,14.0,298
FerMx,Gold I,Victory,2020-03-24,30,19,3,5,8.0,229
FerMx,Gold I,Victory,2020-03-24,24,7,2,4,5.5,197
FerMx,Gold I,Defeat,2020-03-23,21,3,3,1,1.33,149
FerMx,Gold I,Victory,2020-03-23,26,6,0,11,17.0,238
FerMx,Gold I,Victory,2020-03-18,27,10,3,3,4.33,215
FerMx,Gold I,Victory,2020-03-18,24,4,3,3,2.33,172
FerMx,Gold I,Defeat,2020-03-18,30,8,4,9,4.25,218
FerMx,Gold I,Victory,2020-03-13,24,3,2,3,3.0,211
FerMx,Gold I,Defeat,2020-03-13,38,11,8,15,3.25,294
FerMx,Gold I,Victory,2020-03-13,20,6,3,10,5.33,169
FerMx,Gold I,Victory,2020-03-12,22,7,2,6,6.5,103
FerMx,Gold I,Victory,2020-03-12,37,10,5,10,4.0,268
FerMx,Gold I,Defeat,2019-11-18,29,5,4,7,3.0,226
FerMx,Gold I,Defeat,2019-11-18,36,4,3,5,3.0,281
FerMx,Gold I,Victory,2019-11-18,30,5,2,17,11.0,139
FerMx,Gold I,Victory,2019-11-14,30,11,1,9,20.0,223
FerMx,Gold I,Victory,2019-11-14,27,6,3,12,6.0,196
FerMx,Gold I,Defeat,2019-11-14,24,2,2,6,4.0,146
FerMx,Gold I,Victory,2019-11-13,26,20,5,13,6.6,172
FerMx,Gold I,Defeat,2019-11-08,24,1,4,4,1.25,162
FerMx,Gold I,Victory,2019-11-08,31,3,3,15,6.0,200
FerMx,Gold I,Defeat,2019-11-08,27,6,4,2,2.0,194
FerMx,Gold I,Defeat,2019-11-08,28,7,6,4,1.83,183
FerMx,Gold I,Defeat,2019-11-08,33,5,6,11,2.67,171
FerMx,Gold I,Defeat,2019-11-06,29,4,3,4,2.67,190
FerMx,Gold I,Defeat,2019-11-05,25,3,4,3,1.5,142
FerMx,Gold I,Victory,2019-11-05,35,7,3,14,7.0,210
FerMx,Gold I,Victory,2019-11-05,33,12,4,12,6.0,142
FerMx,Gold I,Victory,2019-11-05,19,4,0,13,17.0,120
FerMx,Gold I,Defeat,2019-11-05,30,6,3,1,2.33,210
FerMx,Gold I,Defeat,2019-10-29,33,10,3,3,4.33,216
FerMx,Gold I,Defeat,2019-10-28,33,11,3,4,5.0,199
FerMx,Gold I,Victory,2019-10-28,31,10,1,7,17.0,182
FerMx,Gold I,Defeat,2019-10-21,26,2,7,4,0.86,118
FerMx,Gold I,Defeat,2019-10-11,29,5,5,1,1.2,181
FerMx,Gold I,Defeat,2019-10-11,35,8,10,14,2.2,185
