Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Fieldset,Diamond I,Defeat,2020-11-09,19,1,11,2,0.27,87
Fieldset,Diamond I,Victory,2020-11-05,21,4,0,5,9.0,162
Fieldset,Diamond I,Victory,2020-10-05,34,6,2,4,5.0,267
Fieldset,Diamond I,Defeat,2020-10-04,32,6,6,4,1.67,257
Fieldset,Diamond I,Victory,2020-10-04,26,6,2,6,6.0,211
Fieldset,Diamond I,Defeat,2020-10-03,18,2,6,4,1.0,87
Fieldset,Diamond I,Victory,2020-10-01,29,9,7,14,3.29,175
Fieldset,Diamond I,Victory,2020-09-27,27,6,3,3,3.0,236
Fieldset,Diamond I,Victory,2020-09-26,34,5,6,15,3.33,221
Fieldset,Diamond I,Defeat,2020-09-26,26,5,7,3,1.14,159
Fieldset,Diamond I,Victory,2020-09-26,29,6,3,7,4.33,202
Fieldset,Diamond I,Victory,2020-09-21,27,2,5,10,2.4,167
Fieldset,Diamond I,Victory,2020-09-21,26,7,3,10,5.67,142
Fieldset,Diamond I,Victory,2020-09-17,28,11,1,4,15.0,224
Fieldset,Diamond I,Victory,2020-09-07,25,3,2,8,5.5,192
Fieldset,Diamond I,Victory,2020-09-06,26,5,1,11,16.0,188
Fieldset,Diamond I,Victory,2020-09-06,36,2,2,17,9.5,235
Fieldset,Diamond I,Victory,2020-09-06,24,4,3,10,4.67,202
Fieldset,Diamond I,Victory,2020-09-06,20,3,0,3,6.0,165
Fieldset,Diamond I,Victory,2020-09-06,21,4,2,3,3.5,113
Fieldset,Diamond I,Victory,2020-09-06,27,5,5,2,1.4,174
Fieldset,Diamond I,Defeat,2020-09-06,47,6,8,10,2.0,341
Fieldset,Diamond I,Victory,2020-09-06,21,7,2,3,5.0,184
Fieldset,Diamond I,Defeat,2020-09-06,38,7,7,7,2.0,238
Fieldset,Diamond I,Victory,2020-09-06,22,2,0,7,9.0,182
Fieldset,Diamond I,Victory,2020-09-05,28,7,1,5,12.0,192
Fieldset,Diamond I,Victory,2020-09-05,16,6,0,1,7.0,162
Fieldset,Diamond I,Victory,2020-09-05,22,4,2,10,7.0,165
Fieldset,Diamond I,Defeat,2020-09-05,29,6,7,1,1.0,193
Fieldset,Diamond I,Victory,2020-09-05,28,8,2,10,9.0,194
Fieldset,Diamond I,Defeat,2020-09-05,25,0,5,4,0.8,43
Fieldset,Diamond I,Defeat,2020-09-02,15,1,3,0,0.33,93
Fieldset,Diamond I,Defeat,2020-08-28,33,10,4,7,4.25,274
Fieldset,Diamond I,Victory,2020-08-28,22,10,1,1,11.0,212
Fieldset,Diamond I,Victory,2020-08-28,31,16,2,7,11.5,259
Fieldset,Diamond I,Defeat,2020-08-01,37,4,9,3,0.78,283
Fieldset,Diamond I,Victory,2020-08-01,37,9,5,13,4.4,300
Fieldset,Diamond I,Defeat,2020-07-31,37,5,6,3,1.33,289
Fieldset,Diamond I,Victory,2020-07-31,31,12,8,12,3.0,217
Fieldset,Diamond I,Victory,2020-07-28,23,7,1,5,12.0,238
Fieldset,Diamond I,Defeat,2020-07-20,36,8,2,5,6.5,302
Fieldset,Diamond I,Defeat,2020-05-04,21,3,7,3,0.86,107
Fieldset,Diamond I,Defeat,2020-05-03,35,6,7,16,3.14,208
Fieldset,Diamond I,Victory,2020-05-03,28,9,5,27,7.2,153
Fieldset,Diamond I,Victory,2020-05-03,25,9,2,15,12.0,173
Fieldset,Diamond I,Defeat,2020-05-03,29,8,4,11,4.75,178
Fieldset,Diamond I,Victory,2020-05-02,15,4,2,3,3.5,100
Fieldset,Diamond I,Victory,2020-05-01,16,5,3,7,4.0,101
Fieldset,Diamond I,Victory,2020-05-01,35,5,3,13,6.0,226
Fieldset,Diamond I,Victory,2020-05-01,25,5,4,8,3.25,119
Fieldset,Diamond I,Defeat,2020-05-01,30,6,10,4,1.0,141
Fieldset,Diamond I,Defeat,2020-04-27,31,10,5,11,4.2,212
Fieldset,Diamond I,Defeat,2020-04-27,30,5,5,4,1.8,208
Fieldset,Diamond I,Defeat,2020-04-27,28,1,6,1,0.33,181
Fieldset,Diamond I,Victory,2020-04-27,19,2,2,3,2.5,135
Fieldset,Diamond I,Defeat,2020-04-27,15,0,5,1,0.2,82
Fieldset,Diamond I,Victory,2020-04-27,28,5,7,9,2.0,178
Fieldset,Diamond I,Victory,2020-04-27,34,1,3,10,3.67,191
Fieldset,Diamond I,Victory,2020-04-26,20,5,1,3,8.0,133
Fieldset,Diamond I,Victory,2020-04-26,27,3,5,21,4.8,171
Fieldset,Diamond I,Victory,2020-04-26,24,13,2,7,10.0,142
Fieldset,Diamond I,Victory,2020-04-26,26,7,6,17,4.0,132
Fieldset,Diamond I,Victory,2020-04-26,31,7,5,14,4.2,233
Fieldset,Diamond I,Victory,2020-04-26,28,8,4,8,4.0,159
Fieldset,Diamond I,Defeat,2020-04-25,25,1,7,3,0.57,157
Fieldset,Diamond I,Victory,2020-04-25,20,3,4,9,3.0,140
Fieldset,Diamond I,Defeat,2020-04-25,36,9,8,13,2.75,195
Fieldset,Diamond I,Victory,2020-04-25,26,4,3,7,3.67,146
Fieldset,Diamond I,Victory,2020-04-25,30,5,2,10,7.5,270
Fieldset,Diamond I,Victory,2020-04-25,24,5,1,5,10.0,159
Fieldset,Diamond I,Victory,2020-04-24,28,3,2,11,7.0,161
Fieldset,Diamond I,Defeat,2020-04-24,22,1,4,1,0.5,182
Fieldset,Diamond I,Victory,2020-04-24,23,9,2,7,8.0,119
Fieldset,Diamond I,Victory,2020-04-24,23,6,2,4,5.0,146
Fieldset,Diamond I,Victory,2020-04-24,32,13,6,11,4.0,256
Fieldset,Diamond I,Victory,2020-04-23,34,7,4,13,5.0,199
Fieldset,Diamond I,Defeat,2020-04-23,28,4,3,10,4.67,225
Fieldset,Diamond I,Victory,2020-04-23,20,7,1,10,17.0,141
