Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Gatrix2103,Bronze I,Defeat,2020-10-25,36,9,10,5,1.4,227
Gatrix2103,Bronze I,Defeat,2020-10-25,29,5,2,3,4.0,185
Gatrix2103,Bronze I,Defeat,2020-10-23,45,4,5,15,3.8,194
Gatrix2103,Bronze I,Victory,2020-10-23,32,5,6,9,2.33,146
Gatrix2103,Bronze I,Victory,2020-10-22,25,1,2,9,5.0,143
Gatrix2103,Bronze I,Victory,2020-10-22,22,9,2,9,9.0,109
Gatrix2103,Bronze I,Defeat,2020-10-22,26,3,3,1,1.33,150
Gatrix2103,Bronze I,Defeat,2020-10-20,30,3,8,10,1.62,126
Gatrix2103,Bronze I,Defeat,2020-10-19,33,6,4,3,2.25,225
Gatrix2103,Bronze I,Defeat,2020-10-19,21,0,5,2,0.4,80
Gatrix2103,Bronze I,Defeat,2020-10-18,17,0,7,1,0.14,58
Gatrix2103,Bronze I,Victory,2020-10-18,31,4,6,9,2.17,174
Gatrix2103,Bronze I,Defeat,2020-10-18,26,1,7,3,0.57,95
Gatrix2103,Bronze I,Defeat,2020-10-18,32,0,7,9,1.29,145
Gatrix2103,Bronze I,Victory,2020-10-17,21,2,2,8,5.0,131
Gatrix2103,Bronze I,Defeat,2020-10-15,23,1,10,0,0.1,146
