Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
GodSungJinWoo,GrandMaster,Defeat,2020-11-15,21,0,9,3,0.33,107
GodSungJinWoo,GrandMaster,Defeat,2020-11-07,22,2,4,1,0.75,167
GodSungJinWoo,GrandMaster,Defeat,2020-11-07,24,4,5,9,2.6,150
GodSungJinWoo,GrandMaster,Victory,2020-10-29,26,5,2,6,5.5,232
GodSungJinWoo,GrandMaster,Victory,2020-10-29,29,5,4,6,2.75,195
GodSungJinWoo,GrandMaster,Victory,2020-10-29,27,8,6,6,2.33,193
GodSungJinWoo,GrandMaster,Victory,2020-10-29,23,6,3,4,3.33,207
GodSungJinWoo,GrandMaster,Victory,2020-10-29,17,1,0,1,2.0,201
GodSungJinWoo,GrandMaster,Victory,2020-10-28,16,3,0,0,3.0,174
GodSungJinWoo,GrandMaster,Victory,2020-10-28,22,4,3,6,3.33,193
GodSungJinWoo,GrandMaster,Defeat,2020-10-28,26,2,4,1,0.75,220
GodSungJinWoo,GrandMaster,Victory,2020-10-28,22,5,2,6,5.5,174
GodSungJinWoo,GrandMaster,Defeat,2020-10-28,18,1,4,1,0.5,117
GodSungJinWoo,GrandMaster,Defeat,2020-10-28,20,0,2,2,1.0,155
GodSungJinWoo,GrandMaster,Defeat,2020-10-28,30,3,5,4,1.4,222
GodSungJinWoo,GrandMaster,Defeat,2020-10-28,31,3,9,5,0.89,198
GodSungJinWoo,GrandMaster,Victory,2020-10-28,34,2,1,13,15.0,347
GodSungJinWoo,GrandMaster,Victory,2020-10-27,22,11,0,5,16.0,194
GodSungJinWoo,GrandMaster,Victory,2020-10-27,21,2,1,3,5.0,187
GodSungJinWoo,GrandMaster,Defeat,2020-10-27,31,5,8,12,2.12,183
GodSungJinWoo,GrandMaster,Victory,2020-10-27,33,9,5,6,3.0,245
GodSungJinWoo,GrandMaster,Defeat,2020-10-27,24,2,8,1,0.38,156
GodSungJinWoo,GrandMaster,Victory,2020-10-27,33,10,7,21,4.43,256
GodSungJinWoo,GrandMaster,Victory,2020-10-27,26,4,1,6,10.0,243
GodSungJinWoo,GrandMaster,Victory,2020-10-27,22,3,2,5,4.0,183
GodSungJinWoo,GrandMaster,Victory,2020-10-26,29,1,7,8,1.29,164
GodSungJinWoo,GrandMaster,Victory,2020-10-26,26,13,4,5,4.5,178
GodSungJinWoo,GrandMaster,Defeat,2020-10-26,32,11,3,3,4.67,278
GodSungJinWoo,GrandMaster,Defeat,2020-10-26,15,2,6,0,0.33,83
GodSungJinWoo,GrandMaster,Victory,2020-10-26,23,4,8,11,1.88,140
GodSungJinWoo,GrandMaster,Victory,2020-10-23,23,7,1,5,12.0,172
GodSungJinWoo,GrandMaster,Defeat,2020-10-23,30,4,8,9,1.62,198
GodSungJinWoo,GrandMaster,Victory,2020-10-22,24,5,2,0,2.5,229
GodSungJinWoo,GrandMaster,Defeat,2020-10-22,26,3,3,6,3.0,191
GodSungJinWoo,GrandMaster,Victory,2020-10-22,34,5,9,14,2.11,177
GodSungJinWoo,GrandMaster,Defeat,2020-10-22,30,5,7,0,0.71,203
GodSungJinWoo,GrandMaster,Defeat,2020-10-21,26,2,8,3,0.62,183
GodSungJinWoo,GrandMaster,Defeat,2020-10-21,26,9,3,2,3.67,165
GodSungJinWoo,GrandMaster,Defeat,2020-10-21,26,7,4,2,2.25,213
GodSungJinWoo,GrandMaster,Victory,2020-10-19,33,4,6,5,1.5,285
GodSungJinWoo,GrandMaster,Defeat,2020-10-19,22,1,6,1,0.33,163
GodSungJinWoo,GrandMaster,Victory,2020-10-17,36,11,5,4,3.0,286
GodSungJinWoo,GrandMaster,Defeat,2020-10-17,37,5,2,4,4.5,236
GodSungJinWoo,GrandMaster,Defeat,2020-10-17,30,3,3,10,4.33,162
GodSungJinWoo,GrandMaster,Defeat,2020-10-17,23,4,3,5,3.0,170
GodSungJinWoo,GrandMaster,Victory,2020-10-16,30,4,1,4,8.0,282
GodSungJinWoo,GrandMaster,Victory,2020-10-16,31,10,6,2,2.0,210
GodSungJinWoo,GrandMaster,Defeat,2020-10-16,28,1,9,6,0.78,159
GodSungJinWoo,GrandMaster,Victory,2020-10-16,20,1,2,1,1.0,215
GodSungJinWoo,GrandMaster,Victory,2020-10-16,27,8,4,5,3.25,144
GodSungJinWoo,GrandMaster,Victory,2020-10-16,32,3,8,8,1.38,229
GodSungJinWoo,GrandMaster,Victory,2020-10-16,31,2,1,22,24.0,19
GodSungJinWoo,GrandMaster,Defeat,2020-10-16,21,3,4,1,1.0,149
GodSungJinWoo,GrandMaster,Defeat,2020-10-16,27,3,6,2,0.83,147
GodSungJinWoo,GrandMaster,Victory,2020-10-15,30,14,1,12,26.0,304
GodSungJinWoo,GrandMaster,Defeat,2020-10-15,25,3,5,2,1.0,177
GodSungJinWoo,GrandMaster,Defeat,2020-10-15,23,3,6,1,0.67,171
GodSungJinWoo,GrandMaster,Defeat,2020-10-15,15,1,1,2,3.0,119
GodSungJinWoo,GrandMaster,Defeat,2020-10-15,30,3,4,0,0.75,218
GodSungJinWoo,GrandMaster,Defeat,2020-10-15,24,2,3,2,1.33,197
GodSungJinWoo,GrandMaster,Victory,2020-10-15,20,3,4,6,2.25,141
GodSungJinWoo,GrandMaster,Defeat,2020-10-14,33,4,6,3,1.17,244
GodSungJinWoo,GrandMaster,Victory,2020-10-14,32,12,4,3,3.75,237
GodSungJinWoo,GrandMaster,Victory,2020-10-14,24,6,2,3,4.5,243
GodSungJinWoo,GrandMaster,Defeat,2020-10-14,13,2,5,0,0.4,68
GodSungJinWoo,GrandMaster,Victory,2020-10-14,15,4,0,1,5.0,125
GodSungJinWoo,GrandMaster,Victory,2020-10-14,16,2,3,1,1.0,154
GodSungJinWoo,GrandMaster,Defeat,2020-10-13,24,3,5,4,1.4,172
GodSungJinWoo,GrandMaster,Victory,2020-10-13,32,3,6,8,1.83,262
GodSungJinWoo,GrandMaster,Victory,2020-10-12,27,15,2,5,10.0,282
GodSungJinWoo,GrandMaster,Victory,2020-10-11,27,4,1,16,20.0,169
GodSungJinWoo,GrandMaster,Victory,2020-10-11,20,6,3,3,3.0,145
GodSungJinWoo,GrandMaster,Defeat,2020-10-11,25,4,5,3,1.4,162
GodSungJinWoo,GrandMaster,Victory,2020-10-11,36,7,5,7,2.8,266
GodSungJinWoo,GrandMaster,Defeat,2020-10-09,29,2,6,7,1.5,137
GodSungJinWoo,GrandMaster,Defeat,2020-10-09,27,4,5,7,2.2,167
GodSungJinWoo,GrandMaster,Victory,2020-10-09,38,7,5,6,2.6,274
GodSungJinWoo,GrandMaster,Defeat,2020-10-09,23,3,4,3,1.5,187
GodSungJinWoo,GrandMaster,Victory,2020-10-09,36,11,3,8,6.33,293
GodSungJinWoo,GrandMaster,Defeat,2020-10-09,23,1,7,3,0.57,116
GodSungJinWoo,GrandMaster,Victory,2020-10-09,31,8,4,4,3.0,234
GodSungJinWoo,GrandMaster,Victory,2020-10-08,30,8,2,6,7.0,247
GodSungJinWoo,GrandMaster,Victory,2020-10-08,21,4,6,8,2.0,147
GodSungJinWoo,GrandMaster,Victory,2020-10-08,20,8,1,2,10.0,188
GodSungJinWoo,GrandMaster,Defeat,2020-10-08,16,2,2,3,2.5,104
GodSungJinWoo,GrandMaster,Defeat,2020-10-08,32,2,9,8,1.11,209
GodSungJinWoo,GrandMaster,Defeat,2020-10-07,36,5,8,5,1.25,235
GodSungJinWoo,GrandMaster,Defeat,2020-10-07,24,2,10,6,0.8,151
GodSungJinWoo,GrandMaster,Victory,2020-10-07,15,3,3,0,1.0,110
GodSungJinWoo,GrandMaster,Victory,2020-10-07,27,11,5,8,3.8,223
GodSungJinWoo,GrandMaster,Victory,2020-10-07,22,3,1,10,13.0,195
GodSungJinWoo,GrandMaster,Victory,2020-10-06,27,3,4,3,1.5,213
GodSungJinWoo,GrandMaster,Victory,2020-10-06,34,10,4,6,4.0,232
GodSungJinWoo,GrandMaster,Defeat,2020-10-06,23,5,7,4,1.29,149
GodSungJinWoo,GrandMaster,Victory,2020-10-06,38,11,4,13,6.0,305
GodSungJinWoo,GrandMaster,Defeat,2020-10-05,25,4,7,2,0.86,180
GodSungJinWoo,GrandMaster,Victory,2020-10-05,29,5,3,8,4.33,235
GodSungJinWoo,GrandMaster,Victory,2020-10-05,28,6,1,12,18.0,172
GodSungJinWoo,GrandMaster,Defeat,2020-10-05,15,0,3,0,0.0,131
GodSungJinWoo,GrandMaster,Defeat,2020-10-05,19,1,5,0,0.2,142
GodSungJinWoo,GrandMaster,Defeat,2020-10-05,32,6,6,7,2.17,186
GodSungJinWoo,GrandMaster,Victory,2020-10-05,34,7,6,13,3.33,244
GodSungJinWoo,GrandMaster,Defeat,2020-10-05,34,3,8,14,2.12,167
GodSungJinWoo,GrandMaster,Defeat,2020-10-05,27,7,5,9,3.2,189
GodSungJinWoo,GrandMaster,Defeat,2020-10-05,25,9,3,4,4.33,161
GodSungJinWoo,GrandMaster,Victory,2020-10-04,33,5,7,13,2.57,191
GodSungJinWoo,GrandMaster,Defeat,2020-10-04,29,1,2,2,1.5,254
GodSungJinWoo,GrandMaster,Victory,2020-10-02,22,7,1,2,9.0,210
GodSungJinWoo,GrandMaster,Defeat,2020-09-20,27,4,6,7,1.83,199
