Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Grygory RM,Iron I,Defeat,2020-08-21,33,12,9,3,1.67,143
Grygory RM,Iron I,Defeat,2020-03-10,38,5,8,10,1.88,167
Grygory RM,Iron I,Defeat,2020-03-08,35,5,7,2,1.0,174
Grygory RM,Iron I,Defeat,2020-03-08,23,0,5,0,0.0,30
Grygory RM,Iron I,Defeat,2020-03-08,47,18,11,11,2.64,212
Grygory RM,Iron I,Victory,2020-03-02,39,11,6,13,4.0,195
Grygory RM,Iron I,Defeat,2020-03-02,31,10,3,4,4.67,147
Grygory RM,Iron I,Victory,2020-02-27,21,6,1,2,8.0,95
Grygory RM,Iron I,Defeat,2020-02-27,32,2,5,5,1.4,163
Grygory RM,Iron I,Victory,2020-02-27,28,5,2,5,5.0,150
Grygory RM,Iron I,Victory,2020-02-27,20,7,0,0,7.0,115
Grygory RM,Iron I,Victory,2020-02-27,30,12,3,5,5.67,143
Grygory RM,Iron I,Victory,2020-02-23,35,2,9,7,1.0,41
Grygory RM,Iron I,Victory,2020-02-23,40,9,8,10,2.38,202
Grygory RM,Iron I,Defeat,2020-02-22,45,15,10,13,2.8,196
Grygory RM,Iron I,Defeat,2020-02-22,21,6,5,0,1.2,80
Grygory RM,Iron I,Defeat,2020-02-22,39,11,8,4,1.88,148
Grygory RM,Iron I,Defeat,2020-02-22,33,4,9,2,0.67,149
Grygory RM,Iron I,Defeat,2020-02-22,25,2,8,1,0.38,96
Grygory RM,Iron I,Victory,2020-02-22,33,10,4,7,4.25,157
Grygory RM,Iron I,Victory,2020-02-15,15,5,0,2,7.0,100
Grygory RM,Iron I,Defeat,2020-02-15,32,1,8,3,0.5,38
Grygory RM,Iron I,Defeat,2020-02-14,41,7,10,13,2.0,158
Grygory RM,Iron I,Victory,2020-02-14,36,12,4,3,3.75,191
Grygory RM,Iron I,Victory,2020-02-12,32,5,5,4,1.8,142
Grygory RM,Iron I,Defeat,2020-02-12,32,10,7,4,2.0,175
Grygory RM,Iron I,Defeat,2020-02-11,38,1,5,6,1.4,171
Grygory RM,Iron I,Victory,2020-02-11,22,8,1,5,13.0,144
Grygory RM,Iron I,Victory,2020-02-11,21,3,1,3,6.0,115
Grygory RM,Iron I,Defeat,2020-02-10,35,6,6,3,1.5,190
Grygory RM,Iron I,Defeat,2020-02-10,33,6,8,2,1.0,139
Grygory RM,Iron I,Defeat,2020-02-10,28,6,7,2,1.14,152
Grygory RM,Iron I,Defeat,2020-02-09,51,12,13,10,1.69,254
Grygory RM,Iron I,Defeat,2020-02-09,48,16,12,5,1.75,189
Grygory RM,Iron I,Defeat,2020-02-09,34,1,5,3,0.8,71
Grygory RM,Iron I,Defeat,2020-02-08,51,1,9,8,1.0,212
Grygory RM,Iron I,Defeat,2020-02-08,20,5,8,1,0.75,91
Grygory RM,Iron I,Defeat,2019-12-04,23,1,7,2,0.43,121
Grygory RM,Iron I,Defeat,2019-07-26,28,5,8,2,0.88,119
Grygory RM,Iron I,Defeat,2019-05-27,26,1,8,7,1.0,97
Grygory RM,Iron I,Defeat,2019-05-27,26,2,9,11,1.44,137
Grygory RM,Iron I,Victory,2019-05-27,50,12,9,18,3.33,134
Grygory RM,Iron I,Defeat,2019-05-20,15,0,2,0,0.0,11
Grygory RM,Iron I,Defeat,2019-05-20,28,5,5,9,2.8,136
Grygory RM,Iron I,Defeat,2019-05-14,32,1,2,1,1.0,35
Grygory RM,Iron I,Victory,2019-02-26,37,11,3,11,7.33,181
