Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Hugo Roberto,Bronze I,Victory,2020-06-16,29,10,4,7,4.25,188
Hugo Roberto,Bronze I,Victory,2020-06-06,26,8,3,9,5.67,148
Hugo Roberto,Bronze I,Defeat,2020-05-26,34,11,5,7,3.6,215
Hugo Roberto,Bronze I,Victory,2020-05-25,29,5,2,20,12.5,81
Hugo Roberto,Bronze I,Victory,2020-05-25,25,1,5,15,3.2,33
Hugo Roberto,Bronze I,Victory,2020-05-25,29,6,2,14,10.0,53
Hugo Roberto,Bronze I,Defeat,2020-05-23,34,5,5,5,2.0,267
Hugo Roberto,Bronze I,Defeat,2020-05-23,32,9,7,6,2.14,238
Hugo Roberto,Bronze I,Victory,2020-05-23,39,9,8,19,3.5,92
Hugo Roberto,Bronze I,Defeat,2020-04-06,24,4,4,3,1.75,136
Hugo Roberto,Bronze I,Defeat,2020-04-06,32,9,6,11,3.33,176
Hugo Roberto,Bronze I,Victory,2020-04-06,38,9,8,13,2.75,213
Hugo Roberto,Bronze I,Victory,2020-04-06,24,3,0,3,6.0,121
Hugo Roberto,Bronze I,Defeat,2020-04-06,34,11,9,3,1.56,242
Hugo Roberto,Bronze I,Victory,2020-03-16,28,9,4,9,4.5,189
Hugo Roberto,Bronze I,Victory,2020-03-16,19,5,1,2,7.0,127
Hugo Roberto,Bronze I,Defeat,2020-03-16,27,11,4,7,4.5,194
Hugo Roberto,Bronze I,Victory,2020-03-16,26,13,2,3,8.0,186
Hugo Roberto,Bronze I,Victory,2020-03-16,21,7,2,4,5.5,113
Hugo Roberto,Bronze I,Victory,2019-06-22,36,11,3,28,13.0,169
Hugo Roberto,Bronze I,Defeat,2019-06-20,38,4,7,11,2.14,87
Hugo Roberto,Bronze I,Victory,2019-06-20,24,2,4,8,2.5,20
Hugo Roberto,Bronze I,Defeat,2019-05-27,37,13,7,6,2.71,250
Hugo Roberto,Bronze I,Victory,2019-05-25,20,14,1,5,19.0,119
Hugo Roberto,Bronze I,Victory,2019-05-25,22,5,0,7,12.0,142
Hugo Roberto,Bronze I,Victory,2019-05-10,25,9,1,5,14.0,173
Hugo Roberto,Bronze I,Victory,2019-05-08,36,18,1,4,22.0,223
Hugo Roberto,Bronze I,Victory,2019-05-08,33,5,6,7,2.0,239
Hugo Roberto,Bronze I,Defeat,2019-05-08,47,15,4,17,8.0,362
Hugo Roberto,Bronze I,Victory,2019-05-08,29,3,5,7,2.0,137
Hugo Roberto,Bronze I,Victory,2019-05-08,23,10,3,1,3.67,184
Hugo Roberto,Bronze I,Victory,2019-05-05,27,2,2,5,3.5,192
Hugo Roberto,Bronze I,Defeat,2019-05-01,31,3,3,4,2.33,216
Hugo Roberto,Bronze I,Defeat,2019-04-02,32,6,5,2,1.6,161
Hugo Roberto,Bronze I,Defeat,2019-04-02,31,2,3,2,1.33,204
Hugo Roberto,Bronze I,Defeat,2019-03-20,31,7,4,8,3.75,159
Hugo Roberto,Bronze I,Victory,2019-03-17,38,1,3,20,7.0,82
Hugo Roberto,Bronze I,Defeat,2019-03-17,39,3,4,10,3.25,64
Hugo Roberto,Bronze I,Defeat,2019-03-16,36,2,6,5,1.17,272
Hugo Roberto,Bronze I,Victory,2019-03-16,39,9,1,10,19.0,88
Hugo Roberto,Bronze I,Defeat,2019-03-16,23,7,5,6,2.6,175
Hugo Roberto,Bronze I,Defeat,2019-03-16,35,5,3,4,3.0,263
Hugo Roberto,Bronze I,Victory,2019-03-08,25,1,5,11,2.4,174
