Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
IGothboi,Platinum I,Defeat,2020-04-21,15,0,4,0,0.0,57
IGothboi,Platinum I,Victory,2020-04-21,21,2,0,3,5.0,176
IGothboi,Platinum I,Defeat,2020-03-24,34,5,5,8,2.6,268
IGothboi,Platinum I,Victory,2020-03-22,29,5,3,3,2.67,258
IGothboi,Platinum I,Defeat,2020-03-22,26,1,7,2,0.43,174
IGothboi,Platinum I,Defeat,2020-03-21,32,1,4,3,1.0,290
IGothboi,Platinum I,Defeat,2020-03-16,25,5,6,6,1.83,188
IGothboi,Platinum I,Defeat,2020-03-16,29,1,3,5,2.0,219
IGothboi,Platinum I,Victory,2020-03-15,21,4,2,5,4.5,163
IGothboi,Platinum I,Defeat,2020-03-15,21,1,8,2,0.38,125
IGothboi,Platinum I,Victory,2020-03-14,25,6,5,11,3.4,178
IGothboi,Platinum I,Victory,2020-03-13,20,9,1,5,14.0,163
IGothboi,Platinum I,Defeat,2020-03-13,22,0,11,3,0.27,115
IGothboi,Platinum I,Victory,2020-03-13,27,1,7,6,1.0,208
IGothboi,Platinum I,Victory,2020-03-13,35,17,3,9,8.67,333
IGothboi,Platinum I,Victory,2020-03-12,22,10,1,6,16.0,193
IGothboi,Platinum I,Defeat,2020-03-12,28,2,7,3,0.71,170
IGothboi,Platinum I,Victory,2020-03-12,27,9,2,15,12.0,232
IGothboi,Platinum I,Defeat,2020-03-12,24,5,3,5,3.33,187
IGothboi,Platinum I,Victory,2020-03-12,33,6,1,9,15.0,279
IGothboi,Platinum I,Victory,2020-03-11,28,10,3,11,7.0,217
IGothboi,Platinum I,Defeat,2020-03-11,30,13,7,3,2.29,211
IGothboi,Platinum I,Victory,2020-03-10,27,5,2,9,7.0,227
IGothboi,Platinum I,Victory,2020-03-10,20,2,1,7,9.0,181
IGothboi,Platinum I,Defeat,2020-02-27,19,1,8,6,0.88,23
IGothboi,Platinum I,Defeat,2020-02-27,33,0,10,3,0.3,202
IGothboi,Platinum I,Defeat,2020-02-27,30,4,8,7,1.38,167
IGothboi,Platinum I,Defeat,2020-02-27,35,10,12,12,1.83,234
IGothboi,Platinum I,Defeat,2020-02-27,42,4,9,8,1.33,248
IGothboi,Platinum I,Defeat,2020-02-27,29,4,7,6,1.43,230
IGothboi,Platinum I,Defeat,2020-02-27,32,4,9,7,1.22,203
IGothboi,Platinum I,Victory,2020-02-26,28,9,1,9,18.0,220
IGothboi,Platinum I,Defeat,2020-02-26,19,1,4,1,0.5,119
IGothboi,Platinum I,Defeat,2020-02-26,34,5,10,5,1.0,182
IGothboi,Platinum I,Victory,2020-02-26,34,10,3,13,7.67,229
IGothboi,Platinum I,Victory,2020-02-24,15,4,0,1,5.0,114
IGothboi,Platinum I,Victory,2020-02-24,34,6,5,11,3.4,291
IGothboi,Platinum I,Defeat,2020-02-24,27,6,10,7,1.3,180
IGothboi,Platinum I,Defeat,2020-02-24,31,1,8,7,1.0,202
IGothboi,Platinum I,Victory,2020-02-24,26,14,2,8,11.0,199
IGothboi,Platinum I,Defeat,2020-02-23,25,5,4,2,1.75,182
IGothboi,Platinum I,Defeat,2020-02-23,28,2,8,4,0.75,218
IGothboi,Platinum I,Victory,2020-02-22,29,14,4,12,6.5,206
IGothboi,Platinum I,Victory,2020-02-22,31,3,4,19,5.5,10
IGothboi,Platinum I,Victory,2020-02-22,21,3,2,4,3.5,178
IGothboi,Platinum I,Defeat,2020-02-22,31,5,9,5,1.11,212
IGothboi,Platinum I,Defeat,2020-02-22,28,8,5,10,3.6,202
IGothboi,Platinum I,Victory,2020-02-22,36,8,5,11,3.8,280
IGothboi,Platinum I,Victory,2020-02-22,27,8,4,12,5.0,179
IGothboi,Platinum I,Victory,2020-02-22,22,2,2,7,4.5,27
IGothboi,Platinum I,Defeat,2020-02-22,16,1,2,0,0.5,33
IGothboi,Platinum I,Defeat,2020-02-22,28,4,8,7,1.38,206
IGothboi,Platinum I,Defeat,2020-02-22,31,12,6,5,2.83,230
IGothboi,Platinum I,Defeat,2020-02-22,26,4,6,5,1.5,204
IGothboi,Platinum I,Defeat,2020-02-22,20,0,4,1,0.25,136
IGothboi,Platinum I,Defeat,2020-02-22,25,3,4,7,2.5,191
IGothboi,Platinum I,Victory,2020-02-21,25,7,4,10,4.25,177
IGothboi,Platinum I,Defeat,2020-02-21,29,6,7,10,2.29,199
IGothboi,Platinum I,Victory,2020-02-21,38,8,9,14,2.44,267
IGothboi,Platinum I,Victory,2020-02-21,36,6,10,9,1.5,234
IGothboi,Platinum I,Defeat,2020-02-21,30,2,9,2,0.44,187
