Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
IvanRomeroEnFB,Victory,2020-11-22,24,4,2,15,9.5,100
IvanRomeroEnFB,Victory,2020-11-22,31,16,5,17,6.6,243
IvanRomeroEnFB,Victory,2020-11-20,36,10,5,17,5.4,176
IvanRomeroEnFB,Victory,2020-11-20,24,5,3,11,5.33,123
IvanRomeroEnFB,Defeat,2020-11-20,18,2,3,11,4.33,21
IvanRomeroEnFB,Victory,2020-11-19,32,11,3,29,13.33,160
IvanRomeroEnFB,Defeat,2020-11-19,23,1,8,1,0.25,122
IvanRomeroEnFB,Victory,2020-11-18,26,10,0,11,21.0,122
IvanRomeroEnFB,Defeat,2020-11-18,28,9,6,13,3.67,104
IvanRomeroEnFB,Defeat,2020-11-18,26,5,2,7,6.0,139
IvanRomeroEnFB,Victory,2020-11-17,34,5,5,4,1.8,242
IvanRomeroEnFB,Defeat,2020-11-17,26,5,6,11,2.67,19
IvanRomeroEnFB,Victory,2020-11-17,29,0,6,14,2.33,39
IvanRomeroEnFB,Victory,2020-11-14,39,7,6,15,3.67,175
IvanRomeroEnFB,Defeat,2020-11-14,38,3,8,20,2.88,44
IvanRomeroEnFB,Defeat,2020-11-13,24,8,5,4,2.4,176
IvanRomeroEnFB,Defeat,2020-11-13,25,6,9,5,1.22,95
IvanRomeroEnFB,Defeat,2020-11-13,23,3,6,4,1.17,36
IvanRomeroEnFB,Defeat,2020-11-11,20,1,4,3,1.0,120
IvanRomeroEnFB,Defeat,2020-11-11,20,4,5,2,1.2,109
IvanRomeroEnFB,Victory,2020-11-08,33,0,5,23,4.6,27
IvanRomeroEnFB,Defeat,2020-11-08,32,1,5,8,1.8,39
IvanRomeroEnFB,Victory,2020-11-08,16,4,0,12,16.0,18
IvanRomeroEnFB,Victory,2020-11-08,23,4,3,11,5.0,40
IvanRomeroEnFB,Defeat,2020-11-08,34,7,9,14,2.33,177
IvanRomeroEnFB,Defeat,2020-11-08,45,16,8,14,3.75,230
IvanRomeroEnFB,Defeat,2020-11-08,35,4,11,9,1.18,158
IvanRomeroEnFB,Defeat,2020-10-13,21,3,6,7,1.67,102
IvanRomeroEnFB,Victory,2020-10-13,25,6,1,9,15.0,195
IvanRomeroEnFB,Victory,2020-10-10,21,0,2,7,3.5,29
IvanRomeroEnFB,Victory,2020-10-10,32,4,4,9,3.25,244
IvanRomeroEnFB,Victory,2020-10-03,27,9,5,8,3.4,216
IvanRomeroEnFB,Victory,2020-09-13,31,3,3,16,6.33,176
IvanRomeroEnFB,Defeat,2020-09-13,26,5,4,7,3.0,112
IvanRomeroEnFB,Victory,2020-09-13,20,3,0,6,9.0,102
IvanRomeroEnFB,Defeat,2020-09-09,33,2,6,6,1.33,48
IvanRomeroEnFB,Victory,2020-09-07,31,5,4,15,5.0,182
IvanRomeroEnFB,Defeat,2020-09-06,33,3,6,5,1.33,197
IvanRomeroEnFB,Defeat,2020-09-03,26,6,5,10,3.2,130
IvanRomeroEnFB,Victory,2020-09-03,37,8,5,19,5.4,221
IvanRomeroEnFB,Victory,2020-09-02,28,4,2,14,9.0,150
IvanRomeroEnFB,Victory,2020-09-02,28,10,1,9,19.0,147
IvanRomeroEnFB,Defeat,2020-09-01,43,2,4,6,2.0,299
IvanRomeroEnFB,Victory,2020-09-01,41,16,1,12,28.0,349
IvanRomeroEnFB,Defeat,2020-09-01,37,4,6,3,1.17,187
IvanRomeroEnFB,Defeat,2020-08-30,25,5,9,2,0.78,119
IvanRomeroEnFB,Defeat,2020-08-30,22,2,6,11,2.17,90
IvanRomeroEnFB,Victory,2020-08-30,29,3,7,11,2.0,121
IvanRomeroEnFB,Defeat,2020-08-25,44,2,6,12,2.33,224
IvanRomeroEnFB,Defeat,2020-08-10,23,0,4,4,1.0,167
IvanRomeroEnFB,Victory,2020-08-10,32,3,4,12,3.75,42
IvanRomeroEnFB,Defeat,2020-08-10,32,8,7,6,2.0,229
IvanRomeroEnFB,Victory,2020-08-10,33,4,5,14,3.6,274
IvanRomeroEnFB,Victory,2020-08-10,33,9,6,11,3.33,171
IvanRomeroEnFB,Defeat,2020-08-10,27,3,3,6,3.0,67
IvanRomeroEnFB,Victory,2020-08-10,27,12,3,11,7.67,148
IvanRomeroEnFB,Victory,2020-08-10,21,7,0,3,10.0,155
IvanRomeroEnFB,Victory,2020-08-06,23,2,3,16,6.0,127
