,W/L/R,Date,Duration,KDA,CS
0,Defeat,13 days ago,27min,0  /  4  /  4,21 CS
1,Victory,13 days ago,26min,4  /  0  /  12,41 CS
2,Defeat,14 days ago,20min,2  /  4  /  2,101 CS
3,Defeat,14 days ago,37min,5  /  6  /  17,39 CS
4,Victory,15 days ago,32min,4  /  6  /  17,24 CS
5,Victory,15 days ago,23min,8  /  1  /  13,137 CS
6,Victory,15 days ago,22min,1  /  5  /  21,10 CS
7,Victory,16 days ago,22min,4  /  1  /  3,176 CS
8,Defeat,16 days ago,52min,3  /  6  /  19,63 CS
9,Victory,17 days ago,44min,3  /  7  /  15,45 CS
10,Defeat,20 days ago,26min,1  /  4  /  3,24 CS
11,Victory,20 days ago,38min,5  /  6  /  16,175 CS
12,Victory,20 days ago,27min,3  /  7  /  17,29 CS
13,Defeat,21 days ago,25min,1  /  7  /  7,22 CS
14,Defeat,21 days ago,34min,6  /  9  /  7,35 CS
15,Victory,21 days ago,22min,2  /  3  /  14,33 CS
16,Defeat,22 days ago,33min,2  /  9  /  14,38 CS
17,Victory,22 days ago,31min,3  /  5  /  15,207 CS
18,Defeat,23 days ago,30min,1  /  5  /  7,40 CS
19,Victory,23 days ago,39min,3  /  9  /  23,40 CS
20,Victory,23 days ago,30min,0  /  4  /  17,36 CS
21,Defeat,23 days ago,21min,1  /  8  /  6,32 CS
22,Victory,23 days ago,24min,2  /  8  /  11,26 CS
23,Remake,23 days ago,3min,0  /  0  /  0,3 CS
24,Defeat,26 days ago,27min,2  /  5  /  4,201 CS
25,Defeat,35 days ago,26min,0  /  7  /  3,176 CS
26,Victory,43 days ago,30min,14  /  4  /  10,129 CS
27,Defeat,43 days ago,30min,3  /  7  /  6,45 CS
28,Defeat,43 days ago,16min,0  /  2  /  3,76 CS
29,Victory,43 days ago,24min,5  /  3  /  11,20 CS
30,Victory,43 days ago,31min,5  /  4  /  12,57 CS
31,Victory,43 days ago,25min,2  /  1  /  19,29 CS
32,Defeat,54 days ago,29min,2  /  4  /  9,33 CS
33,Victory,54 days ago,24min,3  /  3  /  7,34 CS
34,Defeat,54 days ago,32min,2  /  9  /  17,30 CS
35,Defeat,55 days ago,20min,5  /  4  /  1,97 CS
36,Victory,55 days ago,28min,2  /  5  /  14,20 CS
37,Defeat,55 days ago,32min,0  /  9  /  10,36 CS
38,Victory,55 days ago,37min,1  /  8  /  11,39 CS
39,Defeat,55 days ago,23min,2  /  7  /  3,15 CS
40,Victory,56 days ago,40min,3  /  8  /  19,43 CS
41,Victory,56 days ago,23min,2  /  9  /  8,24 CS
42,Victory,56 days ago,35min,4  /  6  /  7,45 CS
43,Defeat,56 days ago,24min,4  /  7  /  3,39 CS
44,Defeat,56 days ago,27min,0  /  3  /  7,35 CS
45,Victory,57 days ago,36min,4  /  7  /  18,48 CS
46,Victory,57 days ago,33min,6  /  5  /  12,57 CS
47,Defeat,57 days ago,30min,2  /  6  /  12,32 CS
48,Victory,57 days ago,27min,5  /  0  /  4,136 CS
49,Victory,59 days ago,28min,3  /  4  /  17,34 CS
50,Victory,59 days ago,38min,2  /  10  /  13,35 CS
51,Victory,59 days ago,16min,2  /  0  /  12,26 CS
52,Defeat,59 days ago,28min,4  /  4  /  13,38 CS
53,Defeat,59 days ago,24min,1  /  5  /  1,160 CS
54,Defeat,60 days ago,42min,6  /  11  /  4,204 CS
55,Defeat,60 days ago,25min,3  /  6  /  4,88 CS
56,Victory,60 days ago,38min,5  /  7  /  5,261 CS
57,Victory,60 days ago,25min,7  /  1  /  3,114 CS
58,Defeat,60 days ago,20min,2  /  5  /  3,107 CS
59,Victory,60 days ago,32min,4  /  1  /  14,43 CS
60,Victory,62 days ago,40min,2  /  13  /  22,106 CS
61,Defeat,62 days ago,28min,3  /  7  /  9,104 CS
62,Victory,62 days ago,31min,6  /  5  /  9,146 CS
63,Victory,62 days ago,28min,9  /  3  /  8,161 CS
64,Defeat,62 days ago,39min,4  /  4  /  6,193 CS
65,Victory,68 days ago,28min,2  /  3  /  10,121 CS
66,Defeat,68 days ago,32min,2  /  8  /  7,213 CS
67,Defeat,69 days ago,26min,2  /  5  /  6,153 CS
68,Victory,69 days ago,22min,3  /  4  /  7,101 CS
69,Defeat,69 days ago,19min,3  /  3  /  2,104 CS
70,Victory,117 days ago,28min,4  /  3  /  4,161 CS
71,Defeat,207 days ago,26min,2  /  5  /  4,151 CS
72,Victory,207 days ago,41min,5  /  7  /  15,241 CS
73,Victory,207 days ago,32min,5  /  4  /  2,177 CS
74,Defeat,207 days ago,21min,4  /  6  /  5,105 CS
75,Defeat,209 days ago,36min,1  /  8  /  4,206 CS
76,Remake,209 days ago,3min,0  /  0  /  0,12 CS
77,Defeat,209 days ago,42min,6  /  8  /  9,206 CS
78,Defeat,209 days ago,29min,1  /  8  /  8,185 CS
79,Defeat,210 days ago,31min,4  /  5  /  9,153 CS
80,Victory,210 days ago,21min,5  /  2  /  8,115 CS
81,Defeat,210 days ago,36min,5  /  5  /  11,184 CS
82,Defeat,215 days ago,25min,1  /  8  /  0,136 CS
83,Defeat,215 days ago,15min,2  /  8  /  0,84 CS
84,Victory,215 days ago,24min,0  /  5  /  6,139 CS
85,Defeat,215 days ago,21min,3  /  7  /  2,108 CS
86,Defeat,215 days ago,35min,1  /  11  /  4,133 CS
87,Defeat,215 days ago,21min,1  /  4  /  6,127 CS
88,Defeat,215 days ago,26min,2  /  8  /  4,154 CS
89,Victory,215 days ago,41min,6  /  3  /  27,50 CS
90,Defeat,215 days ago,32min,9  /  6  /  15,140 CS
91,Defeat,216 days ago,31min,10  /  4  /  4,227 CS
92,Defeat,221 days ago,33min,2  /  11  /  6,183 CS
93,Victory,222 days ago,20min,3  /  1  /  5,140 CS
94,Victory,222 days ago,30min,4  /  3  /  5,164 CS
95,Defeat,222 days ago,20min,1  /  5  /  5,92 CS
96,Victory,222 days ago,23min,2  /  2  /  5,104 CS
