Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
IvanRomeroEnFB,Defeat,15daysago,27min,0,4,4,1.0,21CS
IvanRomeroEnFB,Victory,15daysago,26min,4,0,12,16.0,41CS
IvanRomeroEnFB,Defeat,16daysago,20min,2,4,2,1.0,101CS
IvanRomeroEnFB,Defeat,16daysago,37min,5,6,17,3.67,39CS
IvanRomeroEnFB,Victory,17daysago,32min,4,6,17,3.5,24CS
IvanRomeroEnFB,Victory,17daysago,23min,8,1,13,21.0,137CS
IvanRomeroEnFB,Victory,17daysago,22min,1,5,21,4.4,10CS
IvanRomeroEnFB,Victory,18daysago,22min,4,1,3,7.0,176CS
IvanRomeroEnFB,Defeat,18daysago,52min,3,6,19,3.67,63CS
IvanRomeroEnFB,Victory,19daysago,44min,3,7,15,2.57,45CS
IvanRomeroEnFB,Defeat,22daysago,26min,1,4,3,1.0,24CS
IvanRomeroEnFB,Victory,22daysago,38min,5,6,16,3.5,175CS
IvanRomeroEnFB,Victory,22daysago,27min,3,7,17,2.86,29CS
IvanRomeroEnFB,Defeat,23daysago,25min,1,7,7,1.14,22CS
IvanRomeroEnFB,Defeat,23daysago,34min,6,9,7,1.44,35CS
IvanRomeroEnFB,Victory,23daysago,22min,2,3,14,5.33,33CS
IvanRomeroEnFB,Defeat,24daysago,33min,2,9,14,1.78,38CS
IvanRomeroEnFB,Victory,24daysago,31min,3,5,15,3.6,207CS
IvanRomeroEnFB,Defeat,25daysago,30min,1,5,7,1.6,40CS
IvanRomeroEnFB,Victory,25daysago,39min,3,9,23,2.89,40CS
IvanRomeroEnFB,Victory,25daysago,30min,0,4,17,4.25,36CS
IvanRomeroEnFB,Defeat,25daysago,21min,1,8,6,0.88,32CS
IvanRomeroEnFB,Victory,25daysago,24min,2,8,11,1.62,26CS
IvanRomeroEnFB,Defeat,28daysago,27min,2,5,4,1.2,201CS
IvanRomeroEnFB,Defeat,37daysago,26min,0,7,3,0.43,176CS
IvanRomeroEnFB,Victory,45daysago,30min,14,4,10,6.0,129CS
IvanRomeroEnFB,Defeat,45daysago,30min,3,7,6,1.29,45CS
IvanRomeroEnFB,Defeat,45daysago,16min,0,2,3,1.5,76CS
IvanRomeroEnFB,Victory,45daysago,24min,5,3,11,5.33,20CS
IvanRomeroEnFB,Victory,45daysago,31min,5,4,12,4.25,57CS
IvanRomeroEnFB,Victory,45daysago,25min,2,1,19,21.0,29CS
IvanRomeroEnFB,Defeat,56daysago,29min,2,4,9,2.75,33CS
IvanRomeroEnFB,Victory,56daysago,24min,3,3,7,3.33,34CS
IvanRomeroEnFB,Defeat,56daysago,32min,2,9,17,2.11,30CS
IvanRomeroEnFB,Defeat,57daysago,20min,5,4,1,1.5,97CS
IvanRomeroEnFB,Victory,57daysago,28min,2,5,14,3.2,20CS
IvanRomeroEnFB,Defeat,57daysago,32min,0,9,10,1.11,36CS
IvanRomeroEnFB,Victory,57daysago,37min,1,8,11,1.5,39CS
IvanRomeroEnFB,Defeat,57daysago,23min,2,7,3,0.71,15CS
IvanRomeroEnFB,Victory,58daysago,40min,3,8,19,2.75,43CS
IvanRomeroEnFB,Victory,58daysago,23min,2,9,8,1.11,24CS
IvanRomeroEnFB,Victory,58daysago,35min,4,6,7,1.83,45CS
IvanRomeroEnFB,Defeat,58daysago,24min,4,7,3,1.0,39CS
IvanRomeroEnFB,Defeat,58daysago,27min,0,3,7,2.33,35CS
IvanRomeroEnFB,Victory,59daysago,36min,4,7,18,3.14,48CS
IvanRomeroEnFB,Victory,59daysago,33min,6,5,12,3.6,57CS
IvanRomeroEnFB,Defeat,59daysago,30min,2,6,12,2.33,32CS
IvanRomeroEnFB,Victory,59daysago,27min,5,0,4,9.0,136CS
