Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Jar Jar Pink,Master,Defeat,2020-12-12,22,7,3,1,2.67,136
Jar Jar Pink,Master,Victory,2020-12-12,24,10,2,9,9.5,140
Jar Jar Pink,Master,Victory,2020-12-12,20,9,1,3,12.0,157
Jar Jar Pink,Master,Defeat,2020-12-12,33,8,12,12,1.67,186
Jar Jar Pink,Master,Victory,2020-12-12,13,1,1,2,3.0,90
Jar Jar Pink,Master,Defeat,2020-12-12,23,7,7,4,1.57,171
Jar Jar Pink,Master,Victory,2020-12-12,28,6,4,6,3.0,176
Jar Jar Pink,Master,Victory,2020-12-12,23,6,1,5,11.0,139
Jar Jar Pink,Master,Defeat,2020-12-12,25,2,4,3,1.25,139
Jar Jar Pink,Master,Victory,2020-12-12,26,3,2,14,8.5,163
Jar Jar Pink,Master,Victory,2020-12-12,16,1,0,5,6.0,100
Jar Jar Pink,Master,Victory,2020-12-12,24,10,4,1,2.75,160
Jar Jar Pink,Master,Victory,2020-12-12,29,9,3,5,4.67,211
Jar Jar Pink,Master,Victory,2020-12-10,26,5,1,5,10.0,148
Jar Jar Pink,Master,Victory,2020-12-10,29,10,5,6,3.2,174
Jar Jar Pink,Master,Victory,2020-12-10,37,3,4,5,2.0,264
Jar Jar Pink,Master,Defeat,2020-12-10,35,12,6,3,2.5,258
Jar Jar Pink,Master,Defeat,2020-12-10,19,3,3,1,1.33,154
Jar Jar Pink,Master,Victory,2020-12-09,27,6,3,5,3.67,202
Jar Jar Pink,Master,Victory,2020-12-09,22,7,0,3,10.0,160
Jar Jar Pink,Master,Defeat,2020-12-09,22,0,5,0,0.0,92
Jar Jar Pink,Master,Defeat,2020-12-09,23,6,9,7,1.44,99
Jar Jar Pink,Master,Victory,2020-12-09,31,4,2,9,6.5,196
Jar Jar Pink,Master,Victory,2020-12-09,28,12,4,9,5.25,191
Jar Jar Pink,Master,Defeat,2020-12-09,31,2,2,7,4.5,222
Jar Jar Pink,Master,Victory,2020-12-08,25,24,2,5,14.5,143
Jar Jar Pink,Master,Victory,2020-12-08,27,0,2,23,11.5,23
Jar Jar Pink,Master,Victory,2020-12-06,25,5,2,9,7.0,166
Jar Jar Pink,Master,Defeat,2020-12-06,26,4,5,10,2.8,166
Jar Jar Pink,Master,Victory,2020-12-04,30,12,1,7,19.0,227
Jar Jar Pink,Master,Defeat,2020-12-02,35,5,10,9,1.4,146
Jar Jar Pink,Master,Victory,2020-12-02,33,7,2,4,5.5,221
Jar Jar Pink,Master,Defeat,2020-12-01,34,7,4,8,3.75,236
Jar Jar Pink,Master,Victory,2020-12-01,22,3,7,17,2.86,32
Jar Jar Pink,Master,Victory,2020-12-01,36,11,8,6,2.12,212
Jar Jar Pink,Master,Defeat,2020-12-01,21,4,11,3,0.64,99
Jar Jar Pink,Master,Victory,2020-12-01,38,16,8,14,3.75,275
Jar Jar Pink,Master,Defeat,2020-12-01,20,7,4,2,2.25,129
Jar Jar Pink,Master,Defeat,2020-12-01,34,7,5,8,3.0,259
Jar Jar Pink,Master,Victory,2020-12-01,23,8,0,5,13.0,169
Jar Jar Pink,Master,Defeat,2020-12-01,27,5,4,8,3.25,168
Jar Jar Pink,Master,Victory,2020-12-01,33,2,3,20,7.33,169
Jar Jar Pink,Master,Victory,2020-11-30,25,12,1,13,25.0,162
Jar Jar Pink,Master,Defeat,2020-11-30,41,8,5,7,3.0,253
Jar Jar Pink,Master,Victory,2020-11-30,20,1,0,9,10.0,9
Jar Jar Pink,Master,Victory,2020-11-30,34,10,11,10,1.82,138
Jar Jar Pink,Master,Victory,2020-11-30,24,3,2,8,5.5,157
Jar Jar Pink,Master,Victory,2020-11-30,38,3,7,16,2.71,205
Jar Jar Pink,Master,Victory,2020-11-29,31,8,7,11,2.71,145
Jar Jar Pink,Master,Defeat,2020-11-29,29,5,8,3,1.0,189
Jar Jar Pink,Master,Victory,2020-11-29,32,20,4,15,8.75,241
Jar Jar Pink,Master,Defeat,2020-11-29,31,8,9,3,1.22,219
Jar Jar Pink,Master,Victory,2020-11-29,28,15,4,3,4.5,196
Jar Jar Pink,Master,Victory,2020-11-29,21,3,1,10,13.0,149
Jar Jar Pink,Master,Defeat,2020-11-29,21,3,4,4,1.75,159
Jar Jar Pink,Master,Victory,2020-11-28,34,4,4,13,4.25,202
Jar Jar Pink,Master,Victory,2020-11-28,22,6,2,2,4.0,157
Jar Jar Pink,Master,Defeat,2020-11-28,37,9,11,13,2.0,165
Jar Jar Pink,Master,Defeat,2020-11-28,33,4,6,10,2.33,170
Jar Jar Pink,Master,Defeat,2020-11-28,22,6,4,2,2.0,143
Jar Jar Pink,Master,Victory,2020-11-27,30,4,3,15,6.33,141
Jar Jar Pink,Master,Victory,2020-11-27,27,9,4,7,4.0,203
Jar Jar Pink,Master,Victory,2020-11-27,35,6,3,7,4.33,224
Jar Jar Pink,Master,Defeat,2020-11-21,16,2,4,3,1.25,102
Jar Jar Pink,Master,Victory,2020-11-21,22,5,1,7,12.0,166
Jar Jar Pink,Master,Defeat,2020-11-21,27,7,6,5,2.0,142
Jar Jar Pink,Master,Victory,2020-11-21,26,12,6,5,2.83,202
Jar Jar Pink,Master,Victory,2020-11-21,14,1,0,2,3.0,115
Jar Jar Pink,Master,Victory,2020-11-10,21,11,1,13,24.0,189
Jar Jar Pink,Master,Defeat,2020-11-09,21,0,8,5,0.62,130
Jar Jar Pink,Master,Defeat,2020-11-09,25,4,6,6,1.67,146
Jar Jar Pink,Master,Defeat,2020-11-09,16,3,7,1,0.57,81
Jar Jar Pink,Master,Defeat,2020-11-09,34,0,8,6,0.75,193
Jar Jar Pink,Master,Defeat,2020-11-09,21,5,5,1,1.2,137
Jar Jar Pink,Master,Defeat,2020-11-09,29,3,7,8,1.57,155
Jar Jar Pink,Master,Defeat,2020-11-09,23,5,7,3,1.14,118
Jar Jar Pink,Master,Victory,2020-11-09,15,5,1,7,12.0,118
Jar Jar Pink,Master,Victory,2020-11-09,22,4,1,5,9.0,178
Jar Jar Pink,Master,Defeat,2020-11-09,25,4,9,2,0.67,103
Jar Jar Pink,Master,Victory,2020-11-08,31,11,4,4,3.75,233
Jar Jar Pink,Master,Victory,2020-11-08,17,4,2,3,3.5,110
Jar Jar Pink,Master,Victory,2020-11-08,32,5,7,11,2.29,206
Jar Jar Pink,Master,Defeat,2020-11-08,16,1,0,1,2.0,117
Jar Jar Pink,Master,Defeat,2020-11-08,35,10,5,6,3.2,291
Jar Jar Pink,Master,Victory,2020-11-08,22,5,1,5,10.0,170
Jar Jar Pink,Master,Defeat,2020-11-08,34,5,9,9,1.56,223
Jar Jar Pink,Master,Victory,2020-11-08,34,12,4,11,5.75,276
Jar Jar Pink,Master,Defeat,2020-11-08,25,2,6,7,1.5,146
Jar Jar Pink,Master,Defeat,2020-11-08,33,4,8,3,0.88,153
Jar Jar Pink,Master,Victory,2020-11-08,26,16,3,9,8.33,159
Jar Jar Pink,Master,Victory,2020-11-08,24,7,2,4,5.5,171
Jar Jar Pink,Master,Defeat,2020-11-08,21,2,4,1,0.75,102
Jar Jar Pink,Master,Victory,2020-11-08,19,4,0,2,6.0,146
Jar Jar Pink,Master,Victory,2020-11-07,36,9,5,8,3.4,268
Jar Jar Pink,Master,Victory,2020-11-07,26,2,3,5,2.33,138
