Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Jarabee,Challenger,Defeat,2020-11-03,29,3,4,11,3.5,200
Jarabee,Challenger,Defeat,2020-11-03,28,4,4,4,2.0,239
Jarabee,Challenger,Defeat,2020-11-03,31,5,5,9,2.8,187
Jarabee,Challenger,Victory,2020-11-03,31,5,2,15,10.0,274
Jarabee,Challenger,Victory,2020-11-03,27,9,5,16,5.0,185
Jarabee,Challenger,Victory,2020-11-02,28,8,5,10,3.6,246
Jarabee,Challenger,Victory,2020-11-02,16,6,0,1,7.0,152
Jarabee,Challenger,Victory,2020-11-02,29,8,3,12,6.67,230
Jarabee,Challenger,Victory,2020-11-02,17,3,1,11,14.0,25
Jarabee,Challenger,Victory,2020-11-02,28,12,3,4,5.33,198
Jarabee,Challenger,Victory,2020-11-01,31,16,1,11,27.0,191
Jarabee,Challenger,Victory,2020-11-01,24,8,2,6,7.0,218
Jarabee,Challenger,Defeat,2020-11-01,33,1,2,4,2.5,235
Jarabee,Challenger,Defeat,2020-11-01,20,1,6,1,0.33,140
Jarabee,Challenger,Victory,2020-11-01,24,11,2,5,8.0,202
Jarabee,Challenger,Victory,2020-11-01,34,12,2,8,10.0,283
Jarabee,Challenger,Defeat,2020-11-01,23,5,5,1,1.2,151
Jarabee,Challenger,Defeat,2020-10-31,30,8,6,9,2.83,241
Jarabee,Challenger,Defeat,2020-10-31,28,4,3,8,4.0,185
Jarabee,Challenger,Defeat,2020-10-31,23,2,5,4,1.2,133
Jarabee,Challenger,Victory,2020-10-31,18,3,0,8,11.0,192
Jarabee,Challenger,Defeat,2020-10-29,28,5,5,6,2.2,158
Jarabee,Challenger,Victory,2020-10-29,33,10,2,2,6.0,233
Jarabee,Challenger,Victory,2020-10-29,28,5,3,10,5.0,194
Jarabee,Challenger,Defeat,2020-10-29,26,9,4,4,3.25,190
Jarabee,Challenger,Victory,2020-10-29,26,11,4,6,4.25,201
Jarabee,Challenger,Victory,2020-10-28,22,7,1,5,12.0,172
Jarabee,Challenger,Victory,2020-10-28,28,14,2,8,11.0,197
Jarabee,Challenger,Victory,2020-10-28,26,11,2,16,13.5,202
Jarabee,Challenger,Victory,2020-10-28,20,11,1,10,21.0,187
Jarabee,Challenger,Victory,2020-10-28,32,3,7,12,2.14,200
Jarabee,Challenger,Victory,2020-10-28,23,9,2,4,6.5,165
Jarabee,Challenger,Defeat,2020-10-28,16,2,3,0,0.67,130
Jarabee,Challenger,Defeat,2020-10-28,29,4,7,5,1.29,226
Jarabee,Challenger,Victory,2020-10-28,18,4,0,4,8.0,159
Jarabee,Challenger,Victory,2020-10-28,24,11,1,8,19.0,185
Jarabee,Challenger,Victory,2020-10-28,32,18,1,7,25.0,220
Jarabee,Challenger,Victory,2020-10-27,33,13,2,14,13.5,210
Jarabee,Challenger,Victory,2020-10-27,31,13,2,12,12.5,244
Jarabee,Challenger,Victory,2020-10-27,33,6,5,11,3.4,247
Jarabee,Challenger,Victory,2020-10-27,21,8,1,6,14.0,159
Jarabee,Challenger,Victory,2020-10-27,20,16,1,4,20.0,158
Jarabee,Challenger,Victory,2020-10-27,29,9,1,8,17.0,209
Jarabee,Challenger,Defeat,2020-10-27,38,10,5,12,4.4,275
Jarabee,Challenger,Victory,2020-10-27,20,7,2,6,6.5,180
Jarabee,Challenger,Defeat,2020-10-27,29,7,4,4,2.75,205
Jarabee,Challenger,Victory,2020-10-27,31,10,3,8,6.0,228
Jarabee,Challenger,Victory,2020-10-27,21,10,3,11,7.0,154
Jarabee,Challenger,Victory,2020-10-27,28,11,3,11,7.33,210
Jarabee,Challenger,Victory,2020-10-27,24,11,0,4,15.0,177
Jarabee,Challenger,Defeat,2020-10-26,29,9,5,5,2.8,206
Jarabee,Challenger,Victory,2020-10-26,24,4,2,5,4.5,182
Jarabee,Challenger,Defeat,2020-10-26,35,4,3,4,2.67,241
Jarabee,Challenger,Defeat,2020-10-26,22,0,0,0,0.0,185
Jarabee,Challenger,Victory,2020-10-26,34,7,6,14,3.5,88
Jarabee,Challenger,Victory,2020-10-26,35,11,2,8,9.5,300
Jarabee,Challenger,Defeat,2020-10-26,28,7,8,8,1.88,46
Jarabee,Challenger,Victory,2020-10-26,34,9,5,16,5.0,214
Jarabee,Challenger,Victory,2020-10-26,33,13,4,8,5.25,222
Jarabee,Challenger,Victory,2020-10-26,30,15,8,7,2.75,194
Jarabee,Challenger,Defeat,2020-10-26,40,12,8,12,3.0,240
